response-time,status-code,test_name,batch
0.0594,200,aes,openfaas
0.0609,200,aes,openfaas
0.0582,200,aes,openfaas
0.0565,200,aes,openfaas
0.0561,200,aes,openfaas
0.053,200,aes,openfaas
0.0556,200,aes,openfaas
0.0565,200,aes,openfaas
0.0541,200,aes,openfaas
0.0571,200,aes,openfaas
0.056,200,aes,openfaas
0.0533,200,aes,openfaas
0.0583,200,aes,openfaas
0.0517,200,aes,openfaas
0.0539,200,aes,openfaas
0.0465,200,aes,openfaas
0.0348,200,aes,openfaas
0.0357,200,aes,openfaas
0.0344,200,aes,openfaas
0.0341,200,aes,openfaas
0.0335,200,aes,openfaas
0.0458,200,aes,openfaas
0.0563,200,aes,openfaas
0.0561,200,aes,openfaas
0.0427,200,aes,openfaas
0.0334,200,aes,openfaas
0.038,200,aes,openfaas
0.0321,200,aes,openfaas
0.0315,200,aes,openfaas
0.0322,200,aes,openfaas
0.0388,200,aes,openfaas
0.0535,200,aes,openfaas
0.0536,200,aes,openfaas
0.0543,200,aes,openfaas
0.053,200,aes,openfaas
0.055,200,aes,openfaas
0.0568,200,aes,openfaas
0.0532,200,aes,openfaas
0.0466,200,aes,openfaas
0.0426,200,aes,openfaas
0.0376,200,aes,openfaas
0.0368,200,aes,openfaas
0.0546,200,aes,openfaas
0.0506,200,aes,openfaas
0.0547,200,aes,openfaas
0.0574,200,aes,openfaas
0.0565,200,aes,openfaas
0.0558,200,aes,openfaas
0.0564,200,aes,openfaas
0.0545,200,aes,openfaas
0.057,200,aes,openfaas
0.0504,200,aes,openfaas
0.0638,200,aes,openfaas
0.0562,200,aes,openfaas
0.0534,200,aes,openfaas
0.0518,200,aes,openfaas
0.0442,200,aes,openfaas
0.0421,200,aes,openfaas
0.0364,200,aes,openfaas
0.0362,200,aes,openfaas
0.0329,200,aes,openfaas
0.0354,200,aes,openfaas
0.0564,200,aes,openfaas
0.0549,200,aes,openfaas
0.0567,200,aes,openfaas
0.0559,200,aes,openfaas
0.0536,200,aes,openfaas
0.0511,200,aes,openfaas
0.0498,200,aes,openfaas
0.053,200,aes,openfaas
0.058,200,aes,openfaas
0.0564,200,aes,openfaas
0.0547,200,aes,openfaas
0.0556,200,aes,openfaas
0.0555,200,aes,openfaas
0.0517,200,aes,openfaas
0.0538,200,aes,openfaas
0.0515,200,aes,openfaas
0.0488,200,aes,openfaas
0.06,200,aes,openfaas
0.0635,200,aes,openfaas
0.0555,200,aes,openfaas
0.0469,200,aes,openfaas
0.0432,200,aes,openfaas
0.0543,200,aes,openfaas
0.0551,200,aes,openfaas
0.056,200,aes,openfaas
0.0516,200,aes,openfaas
0.0567,200,aes,openfaas
0.0547,200,aes,openfaas
0.0377,200,aes,openfaas
0.0565,200,aes,openfaas
0.0485,200,aes,openfaas
0.0505,200,aes,openfaas
0.0503,200,aes,openfaas
0.0541,200,aes,openfaas
0.057,200,aes,openfaas
0.057,200,aes,openfaas
0.0545,200,aes,openfaas
0.0521,200,aes,openfaas
0.0492,200,aes,openfaas
0.045,200,aes,openfaas
0.0537,200,aes,openfaas
0.0601,200,aes,openfaas
