response-time,status-code,test_name,batch
0.1283,200,fuzzysearch,openfaas
0.1318,200,fuzzysearch,openfaas
0.1122,200,fuzzysearch,openfaas
0.1246,200,fuzzysearch,openfaas
0.1183,200,fuzzysearch,openfaas
0.1262,200,fuzzysearch,openfaas
0.122,200,fuzzysearch,openfaas
0.1285,200,fuzzysearch,openfaas
0.1481,200,fuzzysearch,openfaas
0.134,200,fuzzysearch,openfaas
0.1301,200,fuzzysearch,openfaas
0.1354,200,fuzzysearch,openfaas
0.1208,200,fuzzysearch,openfaas
0.1201,200,fuzzysearch,openfaas
0.1151,200,fuzzysearch,openfaas
0.1216,200,fuzzysearch,openfaas
0.0981,200,fuzzysearch,openfaas
0.087,200,fuzzysearch,openfaas
0.1022,200,fuzzysearch,openfaas
0.1199,200,fuzzysearch,openfaas
0.1234,200,fuzzysearch,openfaas
0.1196,200,fuzzysearch,openfaas
0.1198,200,fuzzysearch,openfaas
0.1172,200,fuzzysearch,openfaas
0.1287,200,fuzzysearch,openfaas
0.1275,200,fuzzysearch,openfaas
0.1327,200,fuzzysearch,openfaas
0.134,200,fuzzysearch,openfaas
0.1215,200,fuzzysearch,openfaas
0.133,200,fuzzysearch,openfaas
0.1367,200,fuzzysearch,openfaas
0.1164,200,fuzzysearch,openfaas
0.1336,200,fuzzysearch,openfaas
0.1261,200,fuzzysearch,openfaas
0.124,200,fuzzysearch,openfaas
0.1607,200,fuzzysearch,openfaas
0.0993,200,fuzzysearch,openfaas
0.1148,200,fuzzysearch,openfaas
0.1324,200,fuzzysearch,openfaas
0.135,200,fuzzysearch,openfaas
0.123,200,fuzzysearch,openfaas
0.1274,200,fuzzysearch,openfaas
0.13,200,fuzzysearch,openfaas
0.1269,200,fuzzysearch,openfaas
0.1267,200,fuzzysearch,openfaas
0.1333,200,fuzzysearch,openfaas
0.1166,200,fuzzysearch,openfaas
0.1201,200,fuzzysearch,openfaas
0.0992,200,fuzzysearch,openfaas
0.1064,200,fuzzysearch,openfaas
0.1302,200,fuzzysearch,openfaas
0.1006,200,fuzzysearch,openfaas
0.0993,200,fuzzysearch,openfaas
0.1025,200,fuzzysearch,openfaas
0.107,200,fuzzysearch,openfaas
0.136,200,fuzzysearch,openfaas
0.1245,200,fuzzysearch,openfaas
0.1341,200,fuzzysearch,openfaas
0.1288,200,fuzzysearch,openfaas
0.1182,200,fuzzysearch,openfaas
0.1316,200,fuzzysearch,openfaas
0.1177,200,fuzzysearch,openfaas
0.1383,200,fuzzysearch,openfaas
0.1268,200,fuzzysearch,openfaas
0.1093,200,fuzzysearch,openfaas
0.1254,200,fuzzysearch,openfaas
0.1264,200,fuzzysearch,openfaas
0.1333,200,fuzzysearch,openfaas
0.1324,200,fuzzysearch,openfaas
0.1248,200,fuzzysearch,openfaas
0.1199,200,fuzzysearch,openfaas
0.1266,200,fuzzysearch,openfaas
0.1257,200,fuzzysearch,openfaas
0.1314,200,fuzzysearch,openfaas
0.129,200,fuzzysearch,openfaas
0.1201,200,fuzzysearch,openfaas
0.1296,200,fuzzysearch,openfaas
0.1313,200,fuzzysearch,openfaas
0.1141,200,fuzzysearch,openfaas
0.113,200,fuzzysearch,openfaas
0.1193,200,fuzzysearch,openfaas
0.1297,200,fuzzysearch,openfaas
0.1285,200,fuzzysearch,openfaas
0.1226,200,fuzzysearch,openfaas
0.1197,200,fuzzysearch,openfaas
0.1328,200,fuzzysearch,openfaas
0.1259,200,fuzzysearch,openfaas
0.1357,200,fuzzysearch,openfaas
0.1296,200,fuzzysearch,openfaas
0.1244,200,fuzzysearch,openfaas
0.1382,200,fuzzysearch,openfaas
0.1194,200,fuzzysearch,openfaas
0.1355,200,fuzzysearch,openfaas
0.1336,200,fuzzysearch,openfaas
0.1334,200,fuzzysearch,openfaas
0.1163,200,fuzzysearch,openfaas
0.1264,200,fuzzysearch,openfaas
0.1298,200,fuzzysearch,openfaas
0.1265,200,fuzzysearch,openfaas
0.1088,200,fuzzysearch,openfaas
0.1254,200,fuzzysearch,openfaas
0.1245,200,fuzzysearch,openfaas
0.1316,200,fuzzysearch,openfaas
0.1221,200,fuzzysearch,openfaas
0.1264,200,fuzzysearch,openfaas
0.1309,200,fuzzysearch,openfaas
0.1201,200,fuzzysearch,openfaas
0.128,200,fuzzysearch,openfaas
0.1329,200,fuzzysearch,openfaas
0.126,200,fuzzysearch,openfaas
0.1168,200,fuzzysearch,openfaas
0.1274,200,fuzzysearch,openfaas
0.1264,200,fuzzysearch,openfaas
0.1304,200,fuzzysearch,openfaas
0.1349,200,fuzzysearch,openfaas
0.1152,200,fuzzysearch,openfaas
0.0905,200,fuzzysearch,openfaas
0.104,200,fuzzysearch,openfaas
0.1271,200,fuzzysearch,openfaas
0.1277,200,fuzzysearch,openfaas
0.1239,200,fuzzysearch,openfaas
0.126,200,fuzzysearch,openfaas
0.1293,200,fuzzysearch,openfaas
0.1239,200,fuzzysearch,openfaas
0.1281,200,fuzzysearch,openfaas
0.1353,200,fuzzysearch,openfaas
0.1284,200,fuzzysearch,openfaas
0.1253,200,fuzzysearch,openfaas
0.1188,200,fuzzysearch,openfaas
0.101,200,fuzzysearch,openfaas
0.0931,200,fuzzysearch,openfaas
0.1009,200,fuzzysearch,openfaas
0.1269,200,fuzzysearch,openfaas
0.1244,200,fuzzysearch,openfaas
0.1298,200,fuzzysearch,openfaas
0.1224,200,fuzzysearch,openfaas
0.122,200,fuzzysearch,openfaas
0.1275,200,fuzzysearch,openfaas
0.1264,200,fuzzysearch,openfaas
0.1146,200,fuzzysearch,openfaas
0.1293,200,fuzzysearch,openfaas
0.1071,200,fuzzysearch,openfaas
0.1297,200,fuzzysearch,openfaas
0.1311,200,fuzzysearch,openfaas
0.1323,200,fuzzysearch,openfaas
0.1304,200,fuzzysearch,openfaas
0.1277,200,fuzzysearch,openfaas
0.1262,200,fuzzysearch,openfaas
0.1213,200,fuzzysearch,openfaas
0.1349,200,fuzzysearch,openfaas
0.1104,200,fuzzysearch,openfaas
0.1161,200,fuzzysearch,openfaas
0.1139,200,fuzzysearch,openfaas
0.1212,200,fuzzysearch,openfaas
0.127,200,fuzzysearch,openfaas
0.1198,200,fuzzysearch,openfaas
0.1337,200,fuzzysearch,openfaas
0.1324,200,fuzzysearch,openfaas
0.1346,200,fuzzysearch,openfaas
0.1337,200,fuzzysearch,openfaas
0.1329,200,fuzzysearch,openfaas
0.1239,200,fuzzysearch,openfaas
0.1202,200,fuzzysearch,openfaas
0.1235,200,fuzzysearch,openfaas
0.1299,200,fuzzysearch,openfaas
0.1146,200,fuzzysearch,openfaas
0.1137,200,fuzzysearch,openfaas
0.123,200,fuzzysearch,openfaas
0.1164,200,fuzzysearch,openfaas
0.1353,200,fuzzysearch,openfaas
0.1175,200,fuzzysearch,openfaas
0.1045,200,fuzzysearch,openfaas
0.1188,200,fuzzysearch,openfaas
0.1352,200,fuzzysearch,openfaas
0.1301,200,fuzzysearch,openfaas
0.1261,200,fuzzysearch,openfaas
0.1174,200,fuzzysearch,openfaas
0.1246,200,fuzzysearch,openfaas
0.1229,200,fuzzysearch,openfaas
0.1228,200,fuzzysearch,openfaas
0.1347,200,fuzzysearch,openfaas
0.1297,200,fuzzysearch,openfaas
0.133,200,fuzzysearch,openfaas
0.1335,200,fuzzysearch,openfaas
0.1338,200,fuzzysearch,openfaas
0.1024,200,fuzzysearch,openfaas
0.1138,200,fuzzysearch,openfaas
0.1263,200,fuzzysearch,openfaas
0.1255,200,fuzzysearch,openfaas
0.1326,200,fuzzysearch,openfaas
0.1237,200,fuzzysearch,openfaas
0.1247,200,fuzzysearch,openfaas
0.1297,200,fuzzysearch,openfaas
0.127,200,fuzzysearch,openfaas
0.1274,200,fuzzysearch,openfaas
0.1263,200,fuzzysearch,openfaas
0.132,200,fuzzysearch,openfaas
0.0933,200,fuzzysearch,openfaas
0.1102,200,fuzzysearch,openfaas
0.1247,200,fuzzysearch,openfaas
0.1213,200,fuzzysearch,openfaas
0.1335,200,fuzzysearch,openfaas
0.1426,200,fuzzysearch,openfaas
0.1184,200,fuzzysearch,openfaas
0.117,200,fuzzysearch,openfaas
0.1316,200,fuzzysearch,openfaas
0.1285,200,fuzzysearch,openfaas
0.1354,200,fuzzysearch,openfaas
0.1259,200,fuzzysearch,openfaas
0.1279,200,fuzzysearch,openfaas
0.0951,200,fuzzysearch,openfaas
0.109,200,fuzzysearch,openfaas
0.1366,200,fuzzysearch,openfaas
0.1283,200,fuzzysearch,openfaas
0.1235,200,fuzzysearch,openfaas
0.1216,200,fuzzysearch,openfaas
0.1108,200,fuzzysearch,openfaas
0.1188,200,fuzzysearch,openfaas
0.1255,200,fuzzysearch,openfaas
0.1319,200,fuzzysearch,openfaas
0.1256,200,fuzzysearch,openfaas
0.1149,200,fuzzysearch,openfaas
0.1296,200,fuzzysearch,openfaas
0.1243,200,fuzzysearch,openfaas
0.121,200,fuzzysearch,openfaas
0.1301,200,fuzzysearch,openfaas
0.1266,200,fuzzysearch,openfaas
0.1242,200,fuzzysearch,openfaas
0.1222,200,fuzzysearch,openfaas
0.1215,200,fuzzysearch,openfaas
0.1392,200,fuzzysearch,openfaas
0.124,200,fuzzysearch,openfaas
0.1216,200,fuzzysearch,openfaas
0.121,200,fuzzysearch,openfaas
0.1249,200,fuzzysearch,openfaas
0.1283,200,fuzzysearch,openfaas
0.1235,200,fuzzysearch,openfaas
0.126,200,fuzzysearch,openfaas
0.1342,200,fuzzysearch,openfaas
0.1328,200,fuzzysearch,openfaas
0.1223,200,fuzzysearch,openfaas
0.1134,200,fuzzysearch,openfaas
0.1318,200,fuzzysearch,openfaas
0.1314,200,fuzzysearch,openfaas
0.1221,200,fuzzysearch,openfaas
0.1217,200,fuzzysearch,openfaas
0.1154,200,fuzzysearch,openfaas
0.1333,200,fuzzysearch,openfaas
0.1209,200,fuzzysearch,openfaas
0.1296,200,fuzzysearch,openfaas
0.1206,200,fuzzysearch,openfaas
0.132,200,fuzzysearch,openfaas
0.1221,200,fuzzysearch,openfaas
0.1099,200,fuzzysearch,openfaas
0.1222,200,fuzzysearch,openfaas
