response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0594,0.0398,0.0003,0.0001,0.0119,0.0076,200,0.0030
0.0609,0.0393,0.0000,0.0001,0.0116,0.0098,200,0.0625
0.0582,0.0396,0.0000,0.0001,0.0109,0.0076,200,0.1234
0.0565,0.0389,0.0000,0.0001,0.0084,0.0092,200,0.1815
0.0561,0.0389,0.0000,0.0000,0.0090,0.0081,200,0.2381
0.0530,0.0366,0.0000,0.0001,0.0091,0.0072,200,0.2942
0.0556,0.0382,0.0000,0.0000,0.0098,0.0076,200,0.3471
0.0565,0.0391,0.0000,0.0001,0.0097,0.0077,200,0.4027
0.0541,0.0391,0.0000,0.0001,0.0088,0.0062,200,0.4592
0.0571,0.0391,0.0000,0.0000,0.0101,0.0078,200,0.5133
0.0560,0.0390,0.0000,0.0000,0.0092,0.0078,200,0.5704
0.0533,0.0375,0.0000,0.0000,0.0088,0.0069,200,0.6264
0.0583,0.0392,0.0000,0.0001,0.0099,0.0092,200,0.6797
0.0517,0.0391,0.0000,0.0000,0.0089,0.0036,200,0.7380
0.0539,0.0390,0.0000,0.0000,0.0107,0.0042,200,0.7897
0.0465,0.0353,0.0000,0.0001,0.0080,0.0031,200,0.8437
0.0348,0.0230,0.0000,0.0001,0.0072,0.0046,200,0.8901
0.0357,0.0224,0.0000,0.0000,0.0087,0.0045,200,0.9250
0.0344,0.0220,0.0000,0.0001,0.0075,0.0048,200,0.9606
0.0341,0.0219,0.0000,0.0000,0.0075,0.0047,200,0.9950
0.0335,0.0209,0.0000,0.0000,0.0084,0.0042,200,1.0291
0.0458,0.0330,0.0001,0.0001,0.0079,0.0048,200,1.0626
0.0563,0.0390,0.0000,0.0001,0.0097,0.0076,200,1.1084
0.0561,0.0392,0.0000,0.0001,0.0115,0.0054,200,1.1647
0.0427,0.0332,0.0000,0.0000,0.0066,0.0029,200,1.2209
0.0334,0.0224,0.0000,0.0001,0.0069,0.0040,200,1.2636
0.0380,0.0248,0.0000,0.0000,0.0084,0.0047,200,1.2970
0.0321,0.0215,0.0000,0.0001,0.0069,0.0036,200,1.3350
0.0315,0.0220,0.0000,0.0000,0.0071,0.0023,200,1.3671
0.0322,0.0209,0.0000,0.0001,0.0079,0.0033,200,1.3986
0.0388,0.0210,0.0000,0.0001,0.0075,0.0103,200,1.4308
0.0535,0.0392,0.0000,0.0001,0.0096,0.0047,200,1.4696
0.0536,0.0394,0.0000,0.0001,0.0092,0.0049,200,1.5231
0.0543,0.0390,0.0000,0.0000,0.0097,0.0055,200,1.5767
0.0530,0.0377,0.0000,0.0000,0.0092,0.0060,200,1.6310
0.0550,0.0379,0.0000,0.0000,0.0099,0.0071,200,1.6840
0.0568,0.0393,0.0000,0.0001,0.0106,0.0069,200,1.7391
0.0532,0.0378,0.0000,0.0000,0.0098,0.0055,200,1.7959
0.0466,0.0333,0.0000,0.0001,0.0091,0.0041,200,1.8491
0.0426,0.0295,0.0000,0.0001,0.0085,0.0045,200,1.8957
0.0376,0.0266,0.0000,0.0000,0.0086,0.0023,200,1.9383
0.0368,0.0248,0.0000,0.0000,0.0083,0.0037,200,1.9759
0.0546,0.0376,0.0000,0.0001,0.0099,0.0071,200,2.0127
0.0506,0.0364,0.0001,0.0000,0.0088,0.0052,200,2.0674
0.0547,0.0393,0.0000,0.0001,0.0105,0.0049,200,2.1179
0.0574,0.0393,0.0000,0.0001,0.0105,0.0075,200,2.1727
0.0565,0.0389,0.0000,0.0000,0.0103,0.0072,200,2.2300
0.0558,0.0392,0.0000,0.0001,0.0109,0.0057,200,2.2865
0.0564,0.0391,0.0000,0.0001,0.0098,0.0074,200,2.3423
0.0545,0.0389,0.0000,0.0001,0.0098,0.0057,200,2.3987
0.0570,0.0391,0.0000,0.0001,0.0103,0.0075,200,2.4532
0.0504,0.0372,0.0000,0.0001,0.0086,0.0044,200,2.5102
0.0638,0.0468,0.0000,0.0001,0.0112,0.0057,200,2.5605
0.0562,0.0385,0.0000,0.0000,0.0105,0.0072,200,2.6244
0.0534,0.0372,0.0000,0.0001,0.0095,0.0065,200,2.6806
0.0518,0.0358,0.0000,0.0001,0.0097,0.0061,200,2.7339
