response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0449,0.0395,0.0002,0.0001,0.0052,0.0001,200,0.0022
0.0430,0.0390,0.0000,0.0001,0.0037,0.0002,200,0.0471
0.0423,0.0384,0.0000,0.0000,0.0037,0.0001,200,0.0902
0.0411,0.0374,0.0000,0.0000,0.0036,0.0001,200,0.1324
0.0430,0.0391,0.0000,0.0001,0.0038,0.0001,200,0.1735
0.0422,0.0384,0.0000,0.0001,0.0037,0.0001,200,0.2165
0.0430,0.0392,0.0000,0.0000,0.0037,0.0001,200,0.2587
0.0429,0.0393,0.0001,0.0001,0.0034,0.0001,200,0.3018
0.0429,0.0390,0.0000,0.0001,0.0037,0.0001,200,0.3447
0.0374,0.0337,0.0000,0.0000,0.0035,0.0001,200,0.3876
0.0432,0.0394,0.0000,0.0001,0.0037,0.0001,200,0.4250
0.0429,0.0391,0.0000,0.0000,0.0036,0.0001,200,0.4683
0.0432,0.0393,0.0000,0.0000,0.0037,0.0001,200,0.5112
0.0416,0.0378,0.0000,0.0001,0.0037,0.0001,200,0.5544
0.0429,0.0391,0.0000,0.0001,0.0036,0.0001,200,0.5960
0.0425,0.0387,0.0000,0.0001,0.0036,0.0001,200,0.6389
0.0435,0.0393,0.0000,0.0000,0.0041,0.0001,200,0.6813
0.0431,0.0391,0.0000,0.0001,0.0039,0.0001,200,0.7248
0.0429,0.0390,0.0000,0.0001,0.0037,0.0001,200,0.7679
0.0431,0.0392,0.0000,0.0000,0.0037,0.0001,200,0.8108
0.0414,0.0381,0.0000,0.0001,0.0031,0.0001,200,0.8539
0.0426,0.0392,0.0000,0.0001,0.0032,0.0001,200,0.8952
0.0355,0.0322,0.0000,0.0001,0.0031,0.0001,200,0.9378
0.0276,0.0244,0.0000,0.0001,0.0031,0.0001,200,0.9733
0.0249,0.0214,0.0000,0.0001,0.0033,0.0001,200,1.0009
0.0342,0.0309,0.0000,0.0001,0.0031,0.0001,200,1.0258
0.0304,0.0267,0.0001,0.0001,0.0035,0.0002,200,1.0600
0.0248,0.0211,0.0000,0.0001,0.0036,0.0000,200,1.0904
0.0347,0.0306,0.0000,0.0001,0.0039,0.0001,200,1.1152
0.0423,0.0386,0.0000,0.0001,0.0035,0.0001,200,1.1499
0.0431,0.0393,0.0000,0.0001,0.0037,0.0001,200,1.1922
0.0357,0.0318,0.0000,0.0001,0.0037,0.0001,200,1.2353
0.0366,0.0327,0.0000,0.0001,0.0037,0.0001,200,1.2710
0.0446,0.0405,0.0000,0.0001,0.0039,0.0001,200,1.3076
0.0311,0.0272,0.0001,0.0001,0.0038,0.0001,200,1.3521
0.0431,0.0393,0.0000,0.0001,0.0037,0.0001,200,1.3833
0.0437,0.0397,0.0000,0.0001,0.0038,0.0001,200,1.4264
0.0437,0.0398,0.0000,0.0001,0.0038,0.0001,200,1.4701
0.0439,0.0400,0.0000,0.0001,0.0037,0.0001,200,1.5138
0.0431,0.0392,0.0000,0.0001,0.0038,0.0001,200,1.5577
0.0420,0.0381,0.0000,0.0001,0.0037,0.0001,200,1.6008
0.0430,0.0393,0.0000,0.0001,0.0036,0.0001,200,1.6428
0.0430,0.0392,0.0000,0.0001,0.0036,0.0001,200,1.6858
0.0394,0.0358,0.0000,0.0001,0.0034,0.0001,200,1.7288
0.0425,0.0388,0.0000,0.0001,0.0035,0.0001,200,1.7682
0.0435,0.0395,0.0000,0.0001,0.0038,0.0001,200,1.8107
0.0431,0.0392,0.0000,0.0001,0.0037,0.0001,200,1.8542
0.0416,0.0377,0.0000,0.0001,0.0037,0.0001,200,1.8973
0.0438,0.0399,0.0000,0.0001,0.0037,0.0001,200,1.9389
0.0432,0.0391,0.0000,0.0001,0.0039,0.0001,200,1.9827
