response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1283,0.0393,0.0000,0.0001,0.0888,0.0001,200,5.1468
0.1318,0.0393,0.0000,0.0001,0.0923,0.0001,200,5.2751
0.1122,0.0313,0.0000,0.0001,0.0807,0.0001,200,5.4069
0.1246,0.0307,0.0000,0.0001,0.0937,0.0001,200,5.5191
0.1183,0.0270,0.0000,0.0000,0.0911,0.0001,200,5.6438
0.1262,0.0391,0.0000,0.0000,0.0869,0.0001,200,5.7621
0.1220,0.0301,0.0000,0.0001,0.0917,0.0001,200,5.8883
0.1285,0.0340,0.0000,0.0000,0.0943,0.0001,200,6.0103
0.1481,0.0394,0.0000,0.0001,0.1085,0.0001,200,6.1388
0.1340,0.0301,0.0000,0.0001,0.1037,0.0001,200,6.2869
0.1301,0.0391,0.0000,0.0001,0.0908,0.0001,200,6.4209
0.1354,0.0390,0.0000,0.0001,0.0962,0.0001,200,6.5510
0.1208,0.0392,0.0000,0.0000,0.0814,0.0001,200,6.6864
0.1201,0.0269,0.0000,0.0000,0.0931,0.0001,200,6.8071
0.1151,0.0234,0.0000,0.0001,0.0914,0.0002,200,6.9273
0.1216,0.0344,0.0000,0.0000,0.0871,0.0001,200,7.0424
0.0981,0.0254,0.0000,0.0001,0.0725,0.0001,200,7.1640
0.0870,0.0213,0.0000,0.0001,0.0655,0.0001,200,7.2621
0.1022,0.0208,0.0000,0.0001,0.0812,0.0001,200,7.3491
0.1199,0.0392,0.0000,0.0000,0.0804,0.0003,200,7.4512
0.1234,0.0376,0.0000,0.0001,0.0856,0.0001,200,7.5712
0.1196,0.0269,0.0000,0.0001,0.0925,0.0001,200,7.6945
0.1198,0.0269,0.0000,0.0000,0.0928,0.0001,200,7.8142
0.1172,0.0362,0.0000,0.0001,0.0808,0.0001,200,7.9340
0.1287,0.0391,0.0000,0.0001,0.0895,0.0001,200,8.0512
0.1275,0.0394,0.0000,0.0001,0.0880,0.0001,200,8.1800
0.1327,0.0394,0.0000,0.0001,0.0931,0.0001,200,8.3075
0.1340,0.0394,0.0000,0.0000,0.0944,0.0001,200,8.4402
0.1215,0.0386,0.0000,0.0001,0.0827,0.0001,200,8.5743
0.1330,0.0392,0.0000,0.0000,0.0936,0.0001,200,8.6957
0.1367,0.0392,0.0000,0.0001,0.0973,0.0002,200,8.8288
0.1164,0.0393,0.0000,0.0001,0.0769,0.0001,200,8.9655
0.1336,0.0384,0.0000,0.0000,0.0951,0.0001,200,9.0819
0.1261,0.0393,0.0000,0.0000,0.0865,0.0001,200,9.2155
0.1240,0.0386,0.0000,0.0001,0.0852,0.0001,200,9.3416
0.1607,0.0378,0.0000,0.0001,0.1225,0.0003,200,9.4656
0.0993,0.0260,0.0000,0.0001,0.0732,0.0001,200,9.6263
0.1148,0.0270,0.0000,0.0001,0.0876,0.0001,200,9.7256
0.1324,0.0387,0.0000,0.0000,0.0936,0.0001,200,9.8404
0.1350,0.0393,0.0000,0.0001,0.0956,0.0001,200,9.9728
0.1230,0.0374,0.0000,0.0001,0.0855,0.0001,200,10.1078
0.1274,0.0394,0.0000,0.0000,0.0878,0.0001,200,10.2308
0.1300,0.0392,0.0000,0.0001,0.0905,0.0001,200,10.3582
0.1269,0.0392,0.0000,0.0000,0.0875,0.0001,200,10.4882
0.1267,0.0337,0.0000,0.0001,0.0928,0.0001,200,10.6151
0.1333,0.0390,0.0000,0.0001,0.0942,0.0001,200,10.7418
0.1166,0.0391,0.0000,0.0000,0.0773,0.0001,200,10.8751
0.1201,0.0391,0.0000,0.0001,0.0809,0.0001,200,10.9917
0.0992,0.0289,0.0000,0.0001,0.0701,0.0001,200,11.1118
0.1064,0.0212,0.0000,0.0000,0.0849,0.0002,200,11.2110
0.1302,0.0391,0.0000,0.0001,0.0908,0.0002,200,11.3174
0.1006,0.0285,0.0000,0.0000,0.0719,0.0001,200,11.4476
0.0993,0.0271,0.0001,0.0000,0.0720,0.0001,200,11.5483
0.1025,0.0272,0.0000,0.0001,0.0751,0.0002,200,11.6475
0.1070,0.0289,0.0001,0.0000,0.0779,0.0002,200,11.7501
0.1360,0.0394,0.0000,0.0001,0.0964,0.0001,200,11.8571
0.1245,0.0360,0.0000,0.0000,0.0883,0.0001,200,11.9931
0.1341,0.0392,0.0000,0.0000,0.0946,0.0002,200,12.1176
0.1288,0.0396,0.0000,0.0000,0.0890,0.0001,200,12.2517
0.1182,0.0340,0.0000,0.0000,0.0840,0.0001,200,12.3804
0.1316,0.0390,0.0000,0.0000,0.0923,0.0001,200,12.4987
0.1177,0.0299,0.0000,0.0000,0.0877,0.0001,200,12.6302
0.1383,0.0394,0.0000,0.0001,0.0987,0.0001,200,12.7479
0.1268,0.0390,0.0000,0.0000,0.0877,0.0001,200,12.8862
0.1093,0.0330,0.0000,0.0000,0.0762,0.0001,200,13.0130
0.1254,0.0390,0.0000,0.0000,0.0862,0.0001,200,13.1224
0.1264,0.0340,0.0000,0.0000,0.0922,0.0001,200,13.2478
0.1333,0.0381,0.0000,0.0000,0.0951,0.0001,200,13.3742
0.1324,0.0392,0.0000,0.0000,0.0931,0.0001,200,13.5076
0.1248,0.0393,0.0000,0.0000,0.0854,0.0001,200,13.6400
0.1199,0.0336,0.0000,0.0000,0.0861,0.0001,200,13.7648
0.1266,0.0390,0.0000,0.0000,0.0874,0.0001,200,13.8847
0.1257,0.0340,0.0000,0.0000,0.0916,0.0001,200,14.0113
0.1314,0.0390,0.0000,0.0000,0.0922,0.0001,200,14.1370
0.1290,0.0375,0.0000,0.0000,0.0912,0.0003,200,14.2684
0.1201,0.0269,0.0000,0.0000,0.0929,0.0002,200,14.3975
0.1296,0.0389,0.0000,0.0000,0.0904,0.0002,200,14.5176
0.1313,0.0392,0.0000,0.0000,0.0919,0.0001,200,14.6472
0.1141,0.0385,0.0000,0.0000,0.0754,0.0001,200,14.7785
0.1130,0.0245,0.0000,0.0000,0.0883,0.0002,200,14.8926
0.1193,0.0341,0.0000,0.0000,0.0851,0.0001,200,15.0056
0.1297,0.0390,0.0000,0.0001,0.0905,0.0001,200,15.1250
0.1285,0.0395,0.0000,0.0001,0.0888,0.0001,200,15.2547
