response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0476,0.0393,0.0003,0.0001,0.0078,0.0004,200,0.0027
0.0461,0.0390,0.0000,0.0001,0.0069,0.0001,200,0.0502
0.0458,0.0392,0.0000,0.0001,0.0062,0.0003,200,0.0964
0.0458,0.0390,0.0000,0.0001,0.0064,0.0003,200,0.1422
0.0450,0.0380,0.0000,0.0000,0.0068,0.0001,200,0.1879
0.0430,0.0363,0.0000,0.0001,0.0064,0.0001,200,0.2329
0.0427,0.0346,0.0000,0.0001,0.0077,0.0003,200,0.2759
0.0465,0.0392,0.0000,0.0000,0.0070,0.0002,200,0.3186
0.0443,0.0379,0.0000,0.0001,0.0062,0.0002,200,0.3650
0.0466,0.0397,0.0000,0.0001,0.0065,0.0003,200,0.4094
0.0409,0.0324,0.0000,0.0000,0.0082,0.0003,200,0.4560
0.0457,0.0389,0.0000,0.0001,0.0066,0.0001,200,0.4969
0.0457,0.0393,0.0000,0.0001,0.0062,0.0002,200,0.5426
0.0408,0.0354,0.0000,0.0001,0.0051,0.0002,200,0.5883
0.0340,0.0291,0.0000,0.0000,0.0045,0.0004,200,0.6291
0.0359,0.0309,0.0000,0.0001,0.0049,0.0002,200,0.6631
0.0292,0.0242,0.0000,0.0001,0.0045,0.0004,200,0.6991
0.0326,0.0278,0.0000,0.0001,0.0046,0.0001,200,0.7282
0.0325,0.0277,0.0000,0.0001,0.0046,0.0002,200,0.7609
0.0407,0.0343,0.0000,0.0000,0.0062,0.0002,200,0.7933
0.0449,0.0387,0.0000,0.0000,0.0059,0.0003,200,0.8340
0.0448,0.0385,0.0000,0.0001,0.0059,0.0002,200,0.8790
0.0453,0.0388,0.0000,0.0001,0.0061,0.0003,200,0.9237
0.0456,0.0392,0.0000,0.0001,0.0060,0.0003,200,0.9691
0.0452,0.0388,0.0000,0.0001,0.0059,0.0004,200,1.0146
0.0436,0.0373,0.0000,0.0001,0.0058,0.0004,200,1.0598
0.0420,0.0358,0.0000,0.0001,0.0058,0.0004,200,1.1034
0.0454,0.0387,0.0000,0.0001,0.0063,0.0003,200,1.1454
0.0442,0.0380,0.0000,0.0001,0.0060,0.0001,200,1.1908
0.0451,0.0388,0.0000,0.0000,0.0060,0.0002,200,1.2350
0.0454,0.0389,0.0000,0.0001,0.0063,0.0002,200,1.2801
0.0459,0.0394,0.0000,0.0001,0.0061,0.0004,200,1.3256
0.0445,0.0379,0.0000,0.0001,0.0062,0.0003,200,1.3715
0.0431,0.0365,0.0000,0.0000,0.0063,0.0001,200,1.4159
0.0450,0.0382,0.0000,0.0001,0.0066,0.0001,200,1.4590
0.0468,0.0387,0.0000,0.0000,0.0066,0.0015,200,1.5040
0.0390,0.0330,0.0000,0.0000,0.0057,0.0001,200,1.5508
0.0275,0.0230,0.0000,0.0000,0.0041,0.0003,200,1.5898
0.0263,0.0216,0.0000,0.0000,0.0045,0.0002,200,1.6173
0.0285,0.0239,0.0000,0.0001,0.0042,0.0002,200,1.6437
0.0259,0.0217,0.0000,0.0001,0.0040,0.0002,200,1.6721
0.0260,0.0216,0.0000,0.0000,0.0043,0.0001,200,1.6981
0.0393,0.0345,0.0000,0.0001,0.0046,0.0001,200,1.7241
0.0340,0.0282,0.0000,0.0000,0.0056,0.0001,200,1.7634
0.0427,0.0365,0.0000,0.0000,0.0060,0.0001,200,1.7974
0.0454,0.0389,0.0000,0.0000,0.0063,0.0001,200,1.8401
0.0443,0.0378,0.0000,0.0000,0.0063,0.0001,200,1.8855
0.0446,0.0381,0.0000,0.0000,0.0064,0.0001,200,1.9298
0.0436,0.0374,0.0000,0.0000,0.0059,0.0003,200,1.9744
0.0394,0.0334,0.0000,0.0000,0.0057,0.0003,200,2.0181
0.0457,0.0391,0.0000,0.0001,0.0063,0.0002,200,2.0575
0.0459,0.0389,0.0000,0.0000,0.0067,0.0002,200,2.1032
0.0470,0.0402,0.0000,0.0001,0.0065,0.0002,200,2.1491
0.0454,0.0386,0.0000,0.0001,0.0067,0.0001,200,2.1960
0.0446,0.0374,0.0000,0.0000,0.0068,0.0003,200,2.2415
0.0357,0.0303,0.0000,0.0000,0.0052,0.0002,200,2.2860
