response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0606,0.0393,0.0002,0.0001,0.0190,0.0022,200,0.0031
0.0513,0.0414,0.0000,0.0001,0.0068,0.0029,200,0.0637
0.0476,0.0389,0.0000,0.0000,0.0066,0.0020,200,0.1150
0.0632,0.0397,0.0000,0.0001,0.0213,0.0022,200,0.1627
0.0394,0.0323,0.0000,0.0000,0.0055,0.0016,200,0.2259
0.0494,0.0394,0.0000,0.0001,0.0071,0.0028,200,0.2653
0.0475,0.0381,0.0000,0.0001,0.0066,0.0026,200,0.3147
0.0470,0.0392,0.0000,0.0000,0.0065,0.0013,200,0.3621
0.0471,0.0389,0.0000,0.0001,0.0063,0.0018,200,0.4091
0.0465,0.0384,0.0000,0.0001,0.0064,0.0016,200,0.4563
0.0405,0.0330,0.0000,0.0001,0.0061,0.0014,200,0.5028
0.0396,0.0314,0.0000,0.0001,0.0066,0.0015,200,0.5433
0.0418,0.0339,0.0000,0.0001,0.0060,0.0019,200,0.5829
0.0472,0.0387,0.0000,0.0001,0.0065,0.0019,200,0.6247
0.0480,0.0396,0.0000,0.0001,0.0065,0.0018,200,0.6719
0.0397,0.0321,0.0000,0.0001,0.0051,0.0024,200,0.7199
0.0441,0.0358,0.0000,0.0001,0.0063,0.0019,200,0.7596
0.0476,0.0393,0.0000,0.0001,0.0073,0.0009,200,0.8037
0.0413,0.0348,0.0000,0.0001,0.0052,0.0013,200,0.8513
0.0352,0.0290,0.0000,0.0000,0.0049,0.0012,200,0.8926
0.0283,0.0222,0.0000,0.0000,0.0047,0.0014,200,0.9278
0.0297,0.0230,0.0000,0.0001,0.0050,0.0016,200,0.9561
0.0280,0.0210,0.0000,0.0001,0.0051,0.0018,200,0.9858
0.0291,0.0211,0.0000,0.0001,0.0062,0.0018,200,1.0138
0.0353,0.0271,0.0000,0.0001,0.0061,0.0020,200,1.0429
0.0449,0.0370,0.0000,0.0001,0.0062,0.0016,200,1.0782
0.0423,0.0349,0.0000,0.0001,0.0056,0.0018,200,1.1231
0.0485,0.0394,0.0000,0.0001,0.0070,0.0021,200,1.1654
0.0471,0.0391,0.0000,0.0001,0.0061,0.0019,200,1.2139
0.0488,0.0398,0.0000,0.0001,0.0070,0.0020,200,1.2611
0.0475,0.0392,0.0000,0.0001,0.0067,0.0016,200,1.3099
0.0478,0.0394,0.0000,0.0001,0.0063,0.0020,200,1.3574
0.0476,0.0393,0.0000,0.0001,0.0065,0.0018,200,1.4052
0.0506,0.0413,0.0000,0.0001,0.0064,0.0028,200,1.4529
0.0478,0.0394,0.0000,0.0001,0.0064,0.0019,200,1.5034
0.0484,0.0391,0.0000,0.0001,0.0066,0.0026,200,1.5512
0.0488,0.0406,0.0000,0.0001,0.0062,0.0020,200,1.5996
0.0479,0.0391,0.0000,0.0001,0.0068,0.0019,200,1.6484
0.0481,0.0389,0.0000,0.0001,0.0064,0.0028,200,1.6963
0.0365,0.0280,0.0000,0.0000,0.0064,0.0020,200,1.7444
0.0488,0.0396,0.0000,0.0000,0.0063,0.0028,200,1.7809
0.0452,0.0376,0.0000,0.0000,0.0060,0.0015,200,1.8297
0.0307,0.0241,0.0000,0.0000,0.0049,0.0016,200,1.8748
0.0280,0.0220,0.0000,0.0000,0.0046,0.0013,200,1.9056
0.0269,0.0213,0.0000,0.0001,0.0044,0.0012,200,1.9335
0.0280,0.0220,0.0000,0.0001,0.0044,0.0015,200,1.9605
0.0290,0.0236,0.0000,0.0001,0.0041,0.0012,200,1.9885
0.0284,0.0232,0.0000,0.0001,0.0041,0.0011,200,2.0174
0.0362,0.0214,0.0000,0.0001,0.0044,0.0103,200,2.0459
0.0274,0.0209,0.0000,0.0001,0.0053,0.0011,200,2.0820
0.0287,0.0209,0.0000,0.0001,0.0066,0.0012,200,2.1094
0.0475,0.0389,0.0000,0.0001,0.0066,0.0019,200,2.1381
0.0298,0.0211,0.0000,0.0001,0.0066,0.0019,200,2.1856
0.0474,0.0392,0.0000,0.0001,0.0064,0.0018,200,2.2154
0.0477,0.0392,0.0000,0.0001,0.0065,0.0020,200,2.2628
0.0462,0.0381,0.0000,0.0001,0.0062,0.0018,200,2.3105
0.0477,0.0392,0.0000,0.0001,0.0064,0.0020,200,2.3568
0.0477,0.0394,0.0000,0.0001,0.0063,0.0019,200,2.4045
