response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0458,0.0394,0.0002,0.0001,0.0061,0.0002,200,0.0026
0.0445,0.0390,0.0000,0.0001,0.0053,0.0001,200,0.0484
0.0435,0.0385,0.0000,0.0001,0.0048,0.0001,200,0.0929
0.0405,0.0354,0.0000,0.0000,0.0050,0.0001,200,0.1364
0.0448,0.0395,0.0000,0.0001,0.0051,0.0001,200,0.1769
0.0410,0.0362,0.0000,0.0000,0.0047,0.0001,200,0.2217
0.0425,0.0375,0.0000,0.0000,0.0049,0.0001,200,0.2627
0.0385,0.0336,0.0000,0.0001,0.0048,0.0001,200,0.3052
0.0407,0.0360,0.0000,0.0001,0.0045,0.0001,200,0.3437
0.0347,0.0299,0.0000,0.0001,0.0046,0.0001,200,0.3844
0.0437,0.0390,0.0000,0.0000,0.0046,0.0001,200,0.4192
0.0423,0.0371,0.0000,0.0001,0.0051,0.0001,200,0.4629
0.0442,0.0390,0.0000,0.0001,0.0050,0.0001,200,0.5052
0.0437,0.0387,0.0000,0.0001,0.0049,0.0001,200,0.5494
0.0345,0.0298,0.0000,0.0001,0.0046,0.0001,200,0.5931
0.0430,0.0376,0.0000,0.0000,0.0052,0.0001,200,0.6277
0.0448,0.0396,0.0000,0.0001,0.0049,0.0001,200,0.6706
0.0440,0.0390,0.0000,0.0000,0.0049,0.0001,200,0.7154
0.0441,0.0390,0.0000,0.0001,0.0049,0.0001,200,0.7594
0.0442,0.0391,0.0000,0.0001,0.0049,0.0001,200,0.8035
0.0442,0.0388,0.0000,0.0001,0.0051,0.0001,200,0.8477
0.0383,0.0339,0.0000,0.0001,0.0043,0.0001,200,0.8919
0.0346,0.0298,0.0000,0.0000,0.0047,0.0001,200,0.9302
0.0428,0.0374,0.0000,0.0000,0.0052,0.0001,200,0.9648
0.0442,0.0390,0.0000,0.0000,0.0050,0.0001,200,1.0076
0.0445,0.0391,0.0000,0.0001,0.0053,0.0001,200,1.0518
0.0423,0.0371,0.0000,0.0001,0.0050,0.0001,200,1.0963
0.0395,0.0343,0.0000,0.0001,0.0050,0.0001,200,1.1386
0.0419,0.0367,0.0000,0.0001,0.0051,0.0001,200,1.1781
0.0419,0.0369,0.0000,0.0001,0.0048,0.0001,200,1.2200
0.0345,0.0297,0.0000,0.0001,0.0046,0.0001,200,1.2619
0.0361,0.0313,0.0000,0.0001,0.0047,0.0001,200,1.2964
0.0429,0.0379,0.0000,0.0000,0.0048,0.0001,200,1.3325
0.0382,0.0338,0.0000,0.0000,0.0043,0.0001,200,1.3754
0.0302,0.0225,0.0000,0.0001,0.0076,0.0001,200,1.4135
0.0265,0.0219,0.0000,0.0001,0.0044,0.0001,200,1.4438
0.0275,0.0230,0.0000,0.0000,0.0043,0.0001,200,1.4703
0.0266,0.0223,0.0000,0.0001,0.0040,0.0001,200,1.4978
0.0272,0.0227,0.0000,0.0000,0.0044,0.0001,200,1.5243
0.0267,0.0219,0.0000,0.0001,0.0046,0.0001,200,1.5516
0.0392,0.0345,0.0000,0.0001,0.0045,0.0001,200,1.5783
0.0257,0.0212,0.0000,0.0001,0.0043,0.0001,200,1.6175
0.0259,0.0210,0.0000,0.0000,0.0048,0.0001,200,1.6432
0.0279,0.0226,0.0000,0.0000,0.0051,0.0001,200,1.6691
0.0277,0.0222,0.0000,0.0000,0.0053,0.0001,200,1.6970
0.0339,0.0288,0.0000,0.0001,0.0049,0.0001,200,1.7246
0.0404,0.0336,0.0000,0.0000,0.0066,0.0001,200,1.7585
0.0387,0.0333,0.0000,0.0001,0.0053,0.0001,200,1.7989
0.0382,0.0334,0.0000,0.0000,0.0047,0.0001,200,1.8376
0.0447,0.0389,0.0000,0.0000,0.0056,0.0001,200,1.8758
0.0427,0.0377,0.0000,0.0000,0.0049,0.0001,200,1.9205
0.0383,0.0331,0.0000,0.0000,0.0051,0.0001,200,1.9632
0.0391,0.0337,0.0000,0.0000,0.0053,0.0001,200,2.0015
0.0432,0.0377,0.0000,0.0000,0.0054,0.0001,200,2.0407
0.0443,0.0390,0.0000,0.0000,0.0052,0.0001,200,2.0839
0.0447,0.0391,0.0000,0.0000,0.0054,0.0001,200,2.1283
0.0434,0.0385,0.0000,0.0000,0.0047,0.0001,200,2.1730
0.0422,0.0377,0.0000,0.0001,0.0043,0.0001,200,2.2163
0.0382,0.0330,0.0000,0.0000,0.0051,0.0001,200,2.2585
0.0442,0.0389,0.0000,0.0000,0.0051,0.0001,200,2.2967
0.0429,0.0375,0.0000,0.0000,0.0052,0.0001,200,2.3409
0.0371,0.0325,0.0000,0.0000,0.0044,0.0001,200,2.3838
0.0280,0.0238,0.0000,0.0001,0.0041,0.0001,200,2.4209
0.0252,0.0214,0.0000,0.0000,0.0036,0.0001,200,2.4490
0.0248,0.0212,0.0000,0.0000,0.0035,0.0001,200,2.4741
0.0260,0.0220,0.0000,0.0001,0.0039,0.0001,200,2.4990
0.0252,0.0214,0.0000,0.0000,0.0037,0.0001,200,2.5250
0.0251,0.0212,0.0000,0.0000,0.0038,0.0001,200,2.5502
0.0255,0.0215,0.0000,0.0000,0.0038,0.0001,200,2.5754
0.0363,0.0318,0.0000,0.0000,0.0043,0.0001,200,2.6008
0.0428,0.0387,0.0000,0.0000,0.0039,0.0001,200,2.6371
0.0364,0.0316,0.0000,0.0000,0.0047,0.0001,200,2.6799
