response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0462,0.0399,0.0002,0.0001,0.0059,0.0002,200,0.0029
0.0433,0.0387,0.0000,0.0001,0.0044,0.0001,200,0.0491
0.0383,0.0338,0.0000,0.0001,0.0043,0.0000,200,0.0924
0.0333,0.0299,0.0000,0.0000,0.0033,0.0001,200,0.1307
0.0270,0.0231,0.0000,0.0001,0.0038,0.0001,200,0.1640
0.0271,0.0225,0.0000,0.0001,0.0044,0.0001,200,0.1910
0.0258,0.0213,0.0000,0.0001,0.0043,0.0001,200,0.2181
0.0253,0.0211,0.0000,0.0001,0.0040,0.0001,200,0.2439
0.0252,0.0211,0.0000,0.0000,0.0040,0.0001,200,0.2691
0.0444,0.0392,0.0000,0.0001,0.0051,0.0001,200,0.2944
0.0445,0.0393,0.0000,0.0001,0.0050,0.0001,200,0.3388
0.0442,0.0390,0.0000,0.0001,0.0050,0.0001,200,0.3833
0.0350,0.0301,0.0000,0.0000,0.0047,0.0001,200,0.4275
0.0438,0.0384,0.0000,0.0001,0.0052,0.0001,200,0.4624
0.0256,0.0209,0.0001,0.0001,0.0045,0.0001,200,0.5062
0.0422,0.0372,0.0000,0.0000,0.0048,0.0001,200,0.5318
0.0446,0.0394,0.0000,0.0001,0.0050,0.0001,200,0.5741
0.0441,0.0389,0.0000,0.0000,0.0050,0.0001,200,0.6186
0.0454,0.0394,0.0000,0.0001,0.0058,0.0001,200,0.6627
0.0422,0.0371,0.0000,0.0001,0.0050,0.0001,200,0.7081
0.0349,0.0302,0.0000,0.0000,0.0046,0.0001,200,0.7503
0.0350,0.0298,0.0000,0.0001,0.0049,0.0001,200,0.7852
0.0348,0.0299,0.0000,0.0001,0.0048,0.0001,200,0.8202
0.0393,0.0346,0.0000,0.0000,0.0045,0.0001,200,0.8550
0.0438,0.0391,0.0000,0.0001,0.0046,0.0001,200,0.8943
0.0473,0.0425,0.0000,0.0001,0.0046,0.0001,200,0.9382
0.0435,0.0388,0.0000,0.0001,0.0045,0.0001,200,0.9855
0.0326,0.0282,0.0000,0.0001,0.0043,0.0001,200,1.0289
0.0346,0.0295,0.0000,0.0000,0.0049,0.0001,200,1.0616
0.0443,0.0391,0.0000,0.0001,0.0051,0.0001,200,1.0962
0.0412,0.0364,0.0000,0.0000,0.0047,0.0001,200,1.1405
0.0421,0.0371,0.0000,0.0001,0.0049,0.0001,200,1.1817
0.0345,0.0299,0.0000,0.0000,0.0045,0.0000,200,1.2238
0.0437,0.0387,0.0000,0.0001,0.0047,0.0001,200,1.2583
0.0436,0.0383,0.0000,0.0001,0.0051,0.0001,200,1.3020
0.0422,0.0374,0.0000,0.0000,0.0047,0.0001,200,1.3456
0.0440,0.0386,0.0000,0.0001,0.0052,0.0001,200,1.3878
0.0443,0.0389,0.0000,0.0001,0.0053,0.0001,200,1.4318
0.0443,0.0393,0.0000,0.0000,0.0049,0.0001,200,1.4762
0.0443,0.0394,0.0000,0.0001,0.0047,0.0001,200,1.5205
0.0452,0.0394,0.0000,0.0001,0.0057,0.0001,200,1.5648
0.0450,0.0392,0.0000,0.0000,0.0056,0.0001,200,1.6100
0.0448,0.0399,0.0000,0.0001,0.0048,0.0001,200,1.6549
0.0465,0.0292,0.0000,0.0000,0.0172,0.0001,200,1.6998
0.0270,0.0227,0.0000,0.0001,0.0041,0.0001,200,1.7463
0.0270,0.0225,0.0000,0.0001,0.0043,0.0001,200,1.7733
0.0253,0.0209,0.0000,0.0001,0.0043,0.0001,200,1.8003
0.0298,0.0254,0.0000,0.0001,0.0042,0.0001,200,1.8256
0.0339,0.0298,0.0000,0.0001,0.0039,0.0001,200,1.8554
0.0255,0.0208,0.0000,0.0001,0.0046,0.0001,200,1.8893
0.0411,0.0363,0.0000,0.0000,0.0046,0.0001,200,1.9148
0.0444,0.0391,0.0000,0.0000,0.0051,0.0001,200,1.9558
0.0442,0.0392,0.0000,0.0001,0.0049,0.0001,200,2.0003
0.0449,0.0399,0.0000,0.0001,0.0050,0.0001,200,2.0445
0.0468,0.0409,0.0000,0.0001,0.0058,0.0001,200,2.0895
0.0296,0.0257,0.0000,0.0000,0.0038,0.0001,200,2.1363
0.0264,0.0222,0.0000,0.0001,0.0041,0.0001,200,2.1659
0.0259,0.0222,0.0000,0.0001,0.0035,0.0001,200,2.1923
0.0249,0.0214,0.0000,0.0001,0.0034,0.0001,200,2.2181
0.0251,0.0210,0.0000,0.0001,0.0039,0.0001,200,2.2431
0.0259,0.0222,0.0000,0.0000,0.0035,0.0001,200,2.2682
0.0248,0.0208,0.0000,0.0001,0.0039,0.0001,200,2.2940
0.0433,0.0384,0.0000,0.0000,0.0048,0.0001,200,2.3188
0.0443,0.0391,0.0000,0.0001,0.0051,0.0001,200,2.3621
0.0441,0.0391,0.0000,0.0000,0.0048,0.0001,200,2.4065
0.0397,0.0347,0.0000,0.0001,0.0049,0.0001,200,2.4506
0.0254,0.0212,0.0000,0.0001,0.0041,0.0001,200,2.4903
0.0260,0.0218,0.0000,0.0000,0.0041,0.0001,200,2.5156
0.0264,0.0215,0.0000,0.0001,0.0047,0.0001,200,2.5416
0.0338,0.0292,0.0000,0.0000,0.0045,0.0001,200,2.5680
0.0410,0.0362,0.0000,0.0001,0.0047,0.0001,200,2.6018
0.0441,0.0391,0.0000,0.0000,0.0049,0.0001,200,2.6428
0.0399,0.0349,0.0000,0.0000,0.0049,0.0001,200,2.6869
0.0439,0.0388,0.0000,0.0001,0.0050,0.0001,200,2.7269
0.0443,0.0390,0.0000,0.0001,0.0051,0.0001,200,2.7708
0.0350,0.0299,0.0000,0.0000,0.0050,0.0001,200,2.8150
0.0353,0.0300,0.0000,0.0001,0.0051,0.0001,200,2.8501
0.0432,0.0386,0.0000,0.0001,0.0045,0.0001,200,2.8853
0.0389,0.0337,0.0000,0.0001,0.0050,0.0001,200,2.9286
0.0351,0.0301,0.0000,0.0000,0.0048,0.0001,200,2.9674
0.0443,0.0391,0.0000,0.0001,0.0050,0.0001,200,3.0025
0.0431,0.0381,0.0000,0.0001,0.0049,0.0001,200,3.0468
0.0402,0.0355,0.0000,0.0000,0.0046,0.0001,200,3.0899
0.0440,0.0389,0.0000,0.0001,0.0050,0.0001,200,3.1301
0.0436,0.0385,0.0000,0.0001,0.0050,0.0001,200,3.1741
0.0442,0.0392,0.0000,0.0001,0.0048,0.0001,200,3.2177
0.0438,0.0389,0.0000,0.0001,0.0048,0.0001,200,3.2619
0.0441,0.0391,0.0000,0.0000,0.0049,0.0001,200,3.3057
0.0439,0.0388,0.0000,0.0001,0.0049,0.0001,200,3.3499
0.0440,0.0391,0.0000,0.0000,0.0048,0.0001,200,3.3938
0.0441,0.0393,0.0000,0.0002,0.0045,0.0001,200,3.4378
0.0441,0.0393,0.0000,0.0001,0.0046,0.0001,200,3.4819
0.0423,0.0376,0.0000,0.0000,0.0046,0.0001,200,3.5260
