response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0849,0.0396,0.0004,0.0001,0.0451,0.0001,200,0.0036
0.0838,0.0407,0.0000,0.0001,0.0429,0.0001,200,0.0885
0.0840,0.0393,0.0000,0.0001,0.0445,0.0001,200,0.1722
0.0842,0.0391,0.0000,0.0001,0.0449,0.0001,200,0.2562
0.0838,0.0392,0.0000,0.0001,0.0445,0.0001,200,0.3404
0.0838,0.0391,0.0000,0.0000,0.0446,0.0001,200,0.4242
0.0719,0.0317,0.0000,0.0001,0.0400,0.0001,200,0.5080
0.0660,0.0272,0.0000,0.0000,0.0385,0.0001,200,0.5799
0.0600,0.0265,0.0000,0.0001,0.0333,0.0001,200,0.6459
0.0602,0.0232,0.0000,0.0001,0.0367,0.0001,200,0.7059
0.0603,0.0211,0.0001,0.0001,0.0391,0.0001,200,0.7660
0.0662,0.0267,0.0000,0.0001,0.0393,0.0001,200,0.8264
0.0777,0.0392,0.0000,0.0001,0.0384,0.0001,200,0.8925
0.0722,0.0299,0.0000,0.0000,0.0421,0.0001,200,0.9702
0.0842,0.0397,0.0000,0.0001,0.0443,0.0001,200,1.0424
0.0656,0.0271,0.0000,0.0001,0.0382,0.0001,200,1.1266
0.0781,0.0394,0.0000,0.0001,0.0386,0.0001,200,1.1922
0.0661,0.0272,0.0000,0.0001,0.0387,0.0001,200,1.2703
0.0813,0.0314,0.0000,0.0001,0.0498,0.0001,200,1.3364
0.0803,0.0373,0.0000,0.0001,0.0429,0.0001,200,1.4177
0.0722,0.0333,0.0000,0.0001,0.0387,0.0001,200,1.4980
0.0782,0.0389,0.0000,0.0001,0.0391,0.0001,200,1.5702
0.0843,0.0393,0.0000,0.0000,0.0449,0.0001,200,1.6483
0.0837,0.0394,0.0000,0.0001,0.0441,0.0001,200,1.7327
0.0842,0.0393,0.0000,0.0001,0.0448,0.0001,200,1.8163
0.0839,0.0394,0.0000,0.0001,0.0444,0.0001,200,1.9006
0.0838,0.0394,0.0001,0.0001,0.0442,0.0001,200,1.9845
0.0667,0.0271,0.0000,0.0001,0.0394,0.0001,200,2.0683
0.0768,0.0377,0.0000,0.0001,0.0389,0.0001,200,2.1350
0.0727,0.0330,0.0000,0.0001,0.0395,0.0001,200,2.2118
0.0598,0.0230,0.0000,0.0001,0.0367,0.0001,200,2.2846
