response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0475,0.0407,0.0003,0.0001,0.0064,0.0002,200,0.0027
0.0431,0.0375,0.0000,0.0000,0.0054,0.0001,200,0.0502
0.0415,0.0362,0.0000,0.0001,0.0052,0.0001,200,0.0934
0.0394,0.0346,0.0000,0.0001,0.0047,0.0001,200,0.1349
0.0353,0.0298,0.0000,0.0000,0.0054,0.0001,200,0.1743
0.0445,0.0390,0.0000,0.0001,0.0053,0.0001,200,0.2096
0.0436,0.0379,0.0000,0.0000,0.0055,0.0001,200,0.2541
0.0379,0.0326,0.0000,0.0001,0.0051,0.0001,200,0.2977
0.0442,0.0393,0.0000,0.0000,0.0048,0.0001,200,0.3356
0.0428,0.0374,0.0000,0.0001,0.0052,0.0001,200,0.3798
0.0371,0.0326,0.0000,0.0001,0.0044,0.0001,200,0.4226
0.0284,0.0243,0.0000,0.0000,0.0039,0.0001,200,0.4597
0.0263,0.0215,0.0000,0.0001,0.0046,0.0001,200,0.4881
0.0273,0.0226,0.0000,0.0001,0.0046,0.0001,200,0.5144
0.0263,0.0212,0.0000,0.0000,0.0050,0.0001,200,0.5417
0.0259,0.0214,0.0000,0.0001,0.0044,0.0001,200,0.5681
0.0253,0.0209,0.0000,0.0000,0.0042,0.0001,200,0.5940
0.0293,0.0247,0.0000,0.0001,0.0044,0.0001,200,0.6193
0.0310,0.0265,0.0000,0.0001,0.0043,0.0001,200,0.6486
0.0315,0.0269,0.0000,0.0001,0.0044,0.0001,200,0.6796
0.0446,0.0389,0.0000,0.0000,0.0055,0.0001,200,0.7111
0.0436,0.0384,0.0000,0.0001,0.0050,0.0001,200,0.7557
0.0382,0.0331,0.0000,0.0000,0.0050,0.0001,200,0.7993
0.0397,0.0344,0.0000,0.0001,0.0052,0.0001,200,0.8375
0.0349,0.0299,0.0000,0.0000,0.0047,0.0001,200,0.8772
0.0353,0.0297,0.0000,0.0001,0.0054,0.0001,200,0.9121
0.0354,0.0301,0.0000,0.0001,0.0051,0.0001,200,0.9474
0.0375,0.0322,0.0000,0.0000,0.0051,0.0001,200,0.9827
0.0335,0.0286,0.0000,0.0001,0.0047,0.0001,200,1.0202
0.0332,0.0278,0.0000,0.0000,0.0052,0.0001,200,1.0537
0.0319,0.0270,0.0000,0.0000,0.0047,0.0001,200,1.0869
0.0398,0.0339,0.0000,0.0001,0.0057,0.0001,200,1.1188
0.0538,0.0485,0.0000,0.0000,0.0052,0.0001,200,1.1585
0.0429,0.0372,0.0000,0.0000,0.0056,0.0001,200,1.2124
0.0449,0.0391,0.0000,0.0001,0.0056,0.0001,200,1.2553
0.0443,0.0385,0.0000,0.0000,0.0056,0.0001,200,1.3002
0.0453,0.0389,0.0000,0.0000,0.0062,0.0001,200,1.3445
0.0449,0.0391,0.0000,0.0000,0.0057,0.0001,200,1.3898
0.0440,0.0384,0.0000,0.0000,0.0054,0.0001,200,1.4347
0.0390,0.0335,0.0000,0.0001,0.0053,0.0001,200,1.4787
0.0451,0.0386,0.0000,0.0000,0.0063,0.0001,200,1.5177
0.0447,0.0391,0.0000,0.0001,0.0055,0.0001,200,1.5627
0.0448,0.0391,0.0000,0.0001,0.0055,0.0001,200,1.6074
0.0444,0.0387,0.0000,0.0000,0.0056,0.0001,200,1.6522
