response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0538,0.0399,0.0003,0.0001,0.0087,0.0051,200,0.0036
0.0441,0.0292,0.0000,0.0001,0.0081,0.0067,200,0.0575
0.0565,0.0393,0.0000,0.0000,0.0093,0.0078,200,0.1016
0.0496,0.0366,0.0000,0.0001,0.0071,0.0058,200,0.1581
0.0579,0.0387,0.0000,0.0000,0.0100,0.0091,200,0.2077
0.0403,0.0260,0.0001,0.0001,0.0078,0.0065,200,0.2656
0.0548,0.0382,0.0000,0.0000,0.0092,0.0073,200,0.3059
0.0522,0.0384,0.0000,0.0001,0.0073,0.0065,200,0.3607
0.0558,0.0395,0.0000,0.0000,0.0080,0.0082,200,0.4130
0.0548,0.0388,0.0000,0.0000,0.0084,0.0075,200,0.4687
0.0564,0.0398,0.0000,0.0000,0.0091,0.0075,200,0.5235
0.0540,0.0381,0.0000,0.0001,0.0093,0.0065,200,0.5799
0.0449,0.0324,0.0000,0.0001,0.0071,0.0054,200,0.6339
0.0380,0.0268,0.0000,0.0001,0.0058,0.0053,200,0.6788
0.0555,0.0393,0.0000,0.0000,0.0086,0.0075,200,0.7168
0.0513,0.0369,0.0000,0.0000,0.0077,0.0065,200,0.7723
0.0450,0.0316,0.0000,0.0000,0.0066,0.0068,200,0.8236
0.0544,0.0388,0.0000,0.0001,0.0081,0.0074,200,0.8686
0.0431,0.0304,0.0000,0.0000,0.0068,0.0059,200,0.9230
0.0434,0.0303,0.0000,0.0001,0.0059,0.0071,200,0.9661
0.0424,0.0301,0.0000,0.0001,0.0070,0.0053,200,1.0095
0.0402,0.0273,0.0000,0.0001,0.0057,0.0072,200,1.0520
0.0496,0.0357,0.0001,0.0001,0.0068,0.0070,200,1.0922
0.0487,0.0344,0.0000,0.0001,0.0071,0.0072,200,1.1417
0.0515,0.0373,0.0000,0.0001,0.0081,0.0061,200,1.1905
0.0420,0.0304,0.0000,0.0000,0.0069,0.0046,200,1.2420
0.0570,0.0393,0.0000,0.0001,0.0087,0.0089,200,1.2840
0.0558,0.0396,0.0000,0.0001,0.0085,0.0076,200,1.3410
0.0548,0.0393,0.0000,0.0001,0.0082,0.0072,200,1.3967
0.0583,0.0394,0.0000,0.0001,0.0098,0.0089,200,1.4515
0.0578,0.0391,0.0000,0.0000,0.0086,0.0100,200,1.5099
0.0511,0.0393,0.0000,0.0001,0.0063,0.0055,200,1.5676
0.0428,0.0269,0.0000,0.0001,0.0084,0.0073,200,1.6187
