response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0440,0.0394,0.0004,0.0001,0.0043,0.0001,200,0.0033
0.0428,0.0393,0.0000,0.0001,0.0033,0.0001,200,0.0473
0.0421,0.0388,0.0000,0.0001,0.0031,0.0000,200,0.0901
0.0424,0.0391,0.0000,0.0001,0.0031,0.0001,200,0.1322
0.0426,0.0391,0.0000,0.0000,0.0033,0.0001,200,0.1745
0.0414,0.0381,0.0000,0.0000,0.0031,0.0001,200,0.2171
0.0426,0.0391,0.0000,0.0000,0.0034,0.0001,200,0.2585
0.0408,0.0376,0.0000,0.0001,0.0031,0.0001,200,0.3012
0.0407,0.0376,0.0000,0.0001,0.0029,0.0001,200,0.3420
0.0396,0.0365,0.0000,0.0001,0.0029,0.0001,200,0.3826
0.0421,0.0385,0.0000,0.0000,0.0035,0.0001,200,0.4222
0.0446,0.0395,0.0000,0.0001,0.0050,0.0000,200,0.4644
0.0422,0.0390,0.0000,0.0000,0.0031,0.0001,200,0.5090
0.0423,0.0390,0.0000,0.0001,0.0032,0.0000,200,0.5511
0.0419,0.0392,0.0000,0.0001,0.0026,0.0000,200,0.5935
0.0378,0.0347,0.0000,0.0001,0.0029,0.0001,200,0.6353
0.0424,0.0391,0.0000,0.0001,0.0032,0.0000,200,0.6731
0.0331,0.0299,0.0000,0.0001,0.0030,0.0000,200,0.7155
0.0424,0.0392,0.0000,0.0001,0.0030,0.0001,200,0.7486
0.0409,0.0379,0.0000,0.0001,0.0029,0.0001,200,0.7910
0.0422,0.0390,0.0000,0.0000,0.0031,0.0001,200,0.8319
0.0426,0.0393,0.0000,0.0001,0.0032,0.0001,200,0.8742
0.0406,0.0376,0.0000,0.0000,0.0029,0.0001,200,0.9167
0.0368,0.0338,0.0000,0.0001,0.0028,0.0001,200,0.9573
0.0386,0.0348,0.0001,0.0000,0.0037,0.0001,200,0.9941
0.0344,0.0313,0.0001,0.0001,0.0030,0.0000,200,1.0327
0.0423,0.0391,0.0000,0.0001,0.0031,0.0001,200,1.0671
0.0424,0.0391,0.0000,0.0000,0.0032,0.0001,200,1.1095
0.0424,0.0390,0.0000,0.0000,0.0032,0.0001,200,1.1518
0.0423,0.0391,0.0000,0.0001,0.0031,0.0000,200,1.1942
0.0426,0.0393,0.0000,0.0001,0.0032,0.0000,200,1.2365
0.0421,0.0389,0.0001,0.0000,0.0030,0.0000,200,1.2791
0.0423,0.0390,0.0000,0.0000,0.0032,0.0001,200,1.3212
0.0421,0.0388,0.0000,0.0001,0.0031,0.0001,200,1.3636
0.0421,0.0389,0.0000,0.0001,0.0031,0.0001,200,1.4057
0.0422,0.0391,0.0000,0.0000,0.0030,0.0000,200,1.4478
0.0422,0.0389,0.0000,0.0000,0.0031,0.0000,200,1.4900
0.0424,0.0393,0.0000,0.0001,0.0030,0.0001,200,1.5323
0.0424,0.0390,0.0000,0.0000,0.0032,0.0000,200,1.5747
0.0427,0.0395,0.0000,0.0000,0.0031,0.0001,200,1.6171
0.0423,0.0389,0.0000,0.0001,0.0033,0.0000,200,1.6598
0.0372,0.0345,0.0000,0.0000,0.0026,0.0000,200,1.7021
0.0316,0.0290,0.0000,0.0000,0.0025,0.0000,200,1.7393
