response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.1366,0.0397,0.0004,0.0001,5.0966,0.0001,200,0.0034
0.1306,0.0394,0.0001,0.0001,0.0911,0.0001,200,5.1400
0.1220,0.0340,0.0000,0.0001,0.0877,0.0001,200,5.2707
0.1232,0.0397,0.0001,0.0000,0.0833,0.0001,200,5.3927
0.1267,0.0385,0.0000,0.0001,0.0880,0.0001,200,5.5159
0.1279,0.0393,0.0000,0.0001,0.0884,0.0001,200,5.6426
0.1250,0.0391,0.0000,0.0001,0.0857,0.0001,200,5.7705
0.1214,0.0339,0.0000,0.0001,0.0873,0.0001,200,5.8955
0.1302,0.0373,0.0000,0.0001,0.0927,0.0001,200,6.0169
0.1271,0.0396,0.0000,0.0000,0.0873,0.0001,200,6.1471
0.1301,0.0384,0.0000,0.0001,0.0915,0.0001,200,6.2743
0.1327,0.0390,0.0000,0.0001,0.0935,0.0001,200,6.4043
0.1176,0.0350,0.0000,0.0000,0.0824,0.0001,200,6.5370
0.1265,0.0351,0.0000,0.0001,0.0912,0.0001,200,6.6546
0.1264,0.0394,0.0000,0.0001,0.0868,0.0001,200,6.7811
0.1223,0.0355,0.0000,0.0000,0.0866,0.0001,200,6.9075
0.1223,0.0393,0.0000,0.0001,0.0828,0.0001,200,7.0298
0.1198,0.0331,0.0000,0.0001,0.0865,0.0001,200,7.1521
0.1219,0.0389,0.0000,0.0000,0.0828,0.0001,200,7.2719
0.1274,0.0361,0.0000,0.0000,0.0912,0.0001,200,7.3938
0.1517,0.0393,0.0000,0.0000,0.1122,0.0001,200,7.5212
0.1197,0.0302,0.0000,0.0001,0.0893,0.0001,200,7.6729
0.1365,0.0391,0.0000,0.0001,0.0972,0.0001,200,7.7927
0.1238,0.0405,0.0000,0.0000,0.0831,0.0001,200,7.9291
0.1204,0.0322,0.0000,0.0001,0.0881,0.0001,200,8.0529
0.1317,0.0394,0.0000,0.0000,0.0922,0.0001,200,8.1733
0.1309,0.0391,0.0000,0.0000,0.0916,0.0001,200,8.3051
0.1337,0.0390,0.0000,0.0000,0.0945,0.0001,200,8.4360
