response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0459,0.0391,0.0002,0.0001,0.0065,0.0002,200,0.0027
0.0399,0.0338,0.0000,0.0001,0.0057,0.0002,200,0.0486
0.0405,0.0350,0.0000,0.0001,0.0053,0.0001,200,0.0884
0.0326,0.0268,0.0000,0.0001,0.0056,0.0002,200,0.1289
0.0327,0.0266,0.0000,0.0000,0.0060,0.0001,200,0.1615
0.0283,0.0241,0.0000,0.0000,0.0039,0.0002,200,0.1943
0.0394,0.0345,0.0000,0.0001,0.0047,0.0001,200,0.2225
0.0361,0.0313,0.0000,0.0001,0.0045,0.0001,200,0.2620
0.0436,0.0378,0.0000,0.0000,0.0055,0.0002,200,0.2981
0.0382,0.0338,0.0000,0.0001,0.0042,0.0001,200,0.3416
0.0381,0.0327,0.0000,0.0001,0.0052,0.0001,200,0.3798
0.0428,0.0373,0.0000,0.0000,0.0052,0.0002,200,0.4179
0.0442,0.0391,0.0000,0.0001,0.0048,0.0002,200,0.4607
0.0426,0.0369,0.0000,0.0001,0.0054,0.0003,200,0.5049
0.0517,0.0453,0.0000,0.0001,0.0061,0.0001,200,0.5476
0.0434,0.0377,0.0000,0.0001,0.0054,0.0002,200,0.5993
0.0451,0.0392,0.0000,0.0001,0.0055,0.0003,200,0.6427
0.0459,0.0399,0.0000,0.0001,0.0058,0.0001,200,0.6877
0.0422,0.0365,0.0000,0.0001,0.0054,0.0002,200,0.7336
0.0394,0.0344,0.0000,0.0000,0.0047,0.0001,200,0.7759
0.0322,0.0280,0.0000,0.0001,0.0040,0.0001,200,0.8153
0.0259,0.0220,0.0000,0.0001,0.0038,0.0001,200,0.8475
0.0263,0.0218,0.0000,0.0001,0.0043,0.0001,200,0.8734
0.0276,0.0234,0.0000,0.0000,0.0040,0.0001,200,0.8997
0.0243,0.0209,0.0000,0.0001,0.0032,0.0001,200,0.9273
0.0305,0.0268,0.0000,0.0001,0.0034,0.0001,200,0.9516
0.0246,0.0208,0.0000,0.0001,0.0036,0.0001,200,0.9821
0.0440,0.0384,0.0000,0.0000,0.0054,0.0001,200,1.0067
0.0453,0.0394,0.0000,0.0001,0.0057,0.0002,200,1.0506
0.0459,0.0399,0.0000,0.0000,0.0057,0.0003,200,1.0960
0.0452,0.0389,0.0000,0.0001,0.0061,0.0002,200,1.1419
0.0435,0.0377,0.0000,0.0000,0.0056,0.0001,200,1.1872
0.0454,0.0392,0.0000,0.0001,0.0058,0.0003,200,1.2306
0.0438,0.0383,0.0000,0.0001,0.0053,0.0001,200,1.2760
0.0448,0.0390,0.0000,0.0001,0.0054,0.0002,200,1.3198
0.0439,0.0382,0.0000,0.0001,0.0056,0.0001,200,1.3646
0.0452,0.0392,0.0000,0.0000,0.0058,0.0001,200,1.4086
0.0456,0.0392,0.0000,0.0001,0.0060,0.0003,200,1.4537
0.0448,0.0395,0.0000,0.0001,0.0050,0.0002,200,1.4993
0.0333,0.0291,0.0000,0.0001,0.0041,0.0001,200,1.5441
0.0343,0.0295,0.0000,0.0000,0.0046,0.0002,200,1.5774
0.0342,0.0295,0.0000,0.0001,0.0045,0.0001,200,1.6117
0.0392,0.0345,0.0000,0.0001,0.0044,0.0001,200,1.6459
0.0317,0.0260,0.0000,0.0001,0.0055,0.0001,200,1.6851
0.0451,0.0395,0.0000,0.0001,0.0053,0.0003,200,1.7168
0.0391,0.0341,0.0000,0.0000,0.0048,0.0001,200,1.7619
0.0286,0.0244,0.0000,0.0000,0.0040,0.0001,200,1.8010
0.0319,0.0279,0.0000,0.0001,0.0039,0.0001,200,1.8296
0.0267,0.0210,0.0000,0.0001,0.0055,0.0001,200,1.8615
0.0431,0.0356,0.0000,0.0001,0.0073,0.0002,200,1.8882
0.0453,0.0394,0.0000,0.0000,0.0057,0.0001,200,1.9314
0.0449,0.0389,0.0000,0.0001,0.0058,0.0002,200,1.9767
0.0455,0.0388,0.0000,0.0000,0.0064,0.0002,200,2.0216
0.0450,0.0392,0.0000,0.0001,0.0056,0.0001,200,2.0671
0.0456,0.0398,0.0000,0.0000,0.0056,0.0001,200,2.1122
0.0463,0.0401,0.0000,0.0000,0.0059,0.0003,200,2.1578
0.0441,0.0381,0.0000,0.0000,0.0058,0.0002,200,2.2041
0.0448,0.0388,0.0000,0.0001,0.0059,0.0002,200,2.2482
0.0452,0.0393,0.0000,0.0000,0.0057,0.0002,200,2.2931
0.0417,0.0373,0.0000,0.0000,0.0042,0.0001,200,2.3383
0.0283,0.0242,0.0000,0.0001,0.0039,0.0001,200,2.3800
0.0254,0.0216,0.0000,0.0000,0.0036,0.0001,200,2.4083
0.0274,0.0234,0.0000,0.0001,0.0038,0.0001,200,2.4337
0.0268,0.0220,0.0000,0.0001,0.0047,0.0001,200,2.4611
0.0270,0.0229,0.0000,0.0001,0.0039,0.0001,200,2.4879
0.0250,0.0212,0.0000,0.0001,0.0036,0.0001,200,2.5149
0.0244,0.0209,0.0000,0.0001,0.0033,0.0001,200,2.5399
0.0243,0.0207,0.0000,0.0001,0.0034,0.0001,200,2.5644
0.0246,0.0208,0.0000,0.0000,0.0036,0.0002,200,2.5886
0.0309,0.0255,0.0000,0.0001,0.0053,0.0001,200,2.6133
0.0260,0.0208,0.0000,0.0000,0.0050,0.0002,200,2.6442
0.0447,0.0388,0.0000,0.0000,0.0056,0.0002,200,2.6702
0.0406,0.0358,0.0000,0.0000,0.0045,0.0003,200,2.7149
0.0452,0.0395,0.0000,0.0000,0.0055,0.0002,200,2.7555
0.0445,0.0389,0.0000,0.0001,0.0054,0.0001,200,2.8007
0.0406,0.0351,0.0000,0.0001,0.0052,0.0002,200,2.8452
0.0446,0.0390,0.0000,0.0000,0.0054,0.0001,200,2.8857
0.0437,0.0377,0.0000,0.0000,0.0058,0.0002,200,2.9303
0.0449,0.0390,0.0000,0.0001,0.0056,0.0003,200,2.9740
0.0455,0.0391,0.0000,0.0000,0.0062,0.0002,200,3.0190
0.0453,0.0391,0.0000,0.0001,0.0059,0.0002,200,3.0645
0.0416,0.0370,0.0000,0.0001,0.0044,0.0001,200,3.1098
0.0442,0.0383,0.0000,0.0001,0.0056,0.0003,200,3.1514
0.0448,0.0390,0.0000,0.0001,0.0055,0.0002,200,3.1956
0.0462,0.0403,0.0000,0.0001,0.0057,0.0001,200,3.2404
0.0461,0.0394,0.0000,0.0001,0.0065,0.0001,200,3.2866
0.0330,0.0278,0.0000,0.0001,0.0050,0.0002,200,3.3327
0.0391,0.0337,0.0000,0.0001,0.0052,0.0001,200,3.3657
0.0283,0.0241,0.0000,0.0000,0.0040,0.0002,200,3.4048
0.0253,0.0215,0.0000,0.0000,0.0036,0.0002,200,3.4331
0.0255,0.0213,0.0000,0.0001,0.0040,0.0002,200,3.4584
0.0259,0.0215,0.0000,0.0000,0.0042,0.0002,200,3.4840
0.0249,0.0211,0.0000,0.0001,0.0035,0.0002,200,3.5099
0.0250,0.0214,0.0000,0.0001,0.0034,0.0002,200,3.5348
0.0357,0.0319,0.0000,0.0001,0.0036,0.0001,200,3.5598
0.0444,0.0391,0.0001,0.0001,0.0050,0.0003,200,3.5955
0.0450,0.0391,0.0000,0.0000,0.0057,0.0002,200,3.6400
0.0452,0.0391,0.0000,0.0001,0.0057,0.0003,200,3.6850
0.0452,0.0395,0.0000,0.0000,0.0054,0.0002,200,3.7301
0.0387,0.0338,0.0000,0.0001,0.0047,0.0001,200,3.7754
0.0397,0.0348,0.0001,0.0001,0.0046,0.0002,200,3.8140
0.0269,0.0219,0.0000,0.0001,0.0047,0.0002,200,3.8537
0.0363,0.0329,0.0000,0.0001,0.0032,0.0001,200,3.8806
0.0420,0.0360,0.0000,0.0001,0.0057,0.0002,200,3.9169
0.0433,0.0378,0.0000,0.0001,0.0053,0.0001,200,3.9589
0.0447,0.0390,0.0000,0.0001,0.0054,0.0002,200,4.0023
0.0449,0.0390,0.0000,0.0001,0.0056,0.0003,200,4.0470
0.0445,0.0389,0.0001,0.0001,0.0054,0.0002,200,4.0919
0.0448,0.0390,0.0000,0.0000,0.0056,0.0001,200,4.1365
0.0447,0.0390,0.0000,0.0000,0.0055,0.0002,200,4.1812
0.0451,0.0392,0.0000,0.0001,0.0056,0.0003,200,4.2260
0.0447,0.0397,0.0000,0.0001,0.0047,0.0002,200,4.2711
0.0434,0.0375,0.0000,0.0000,0.0056,0.0001,200,4.3158
0.0448,0.0391,0.0001,0.0001,0.0055,0.0002,200,4.3592
0.0459,0.0400,0.0001,0.0001,0.0057,0.0001,200,4.4040
0.0456,0.0396,0.0000,0.0001,0.0058,0.0002,200,4.4499
0.0445,0.0390,0.0000,0.0000,0.0053,0.0002,200,4.4955
0.0448,0.0391,0.0001,0.0000,0.0054,0.0002,200,4.5401
0.0432,0.0373,0.0000,0.0001,0.0057,0.0002,200,4.5849
0.0431,0.0378,0.0000,0.0000,0.0050,0.0002,200,4.6282
0.0436,0.0375,0.0001,0.0001,0.0058,0.0002,200,4.6713
0.0451,0.0394,0.0000,0.0001,0.0054,0.0002,200,4.7149
0.0431,0.0378,0.0000,0.0000,0.0049,0.0002,200,4.7600
0.0448,0.0391,0.0000,0.0000,0.0055,0.0002,200,4.8030
0.0312,0.0250,0.0000,0.0000,0.0060,0.0002,200,4.8479
0.0245,0.0208,0.0000,0.0000,0.0034,0.0002,200,4.8791
0.0285,0.0247,0.0000,0.0001,0.0035,0.0002,200,4.9035
0.0266,0.0228,0.0000,0.0001,0.0037,0.0001,200,4.9320
0.0310,0.0258,0.0000,0.0001,0.0050,0.0001,200,4.9586
0.0451,0.0393,0.0000,0.0001,0.0056,0.0001,200,4.9896
0.0448,0.0389,0.0001,0.0001,0.0057,0.0002,200,5.0347
0.0469,0.0405,0.0000,0.0000,0.0060,0.0003,200,5.0795
0.0460,0.0393,0.0000,0.0000,0.0065,0.0002,200,5.1265
0.0452,0.0390,0.0001,0.0001,0.0058,0.0002,200,5.1725
0.0426,0.0373,0.0000,0.0000,0.0051,0.0002,200,5.2177
0.0441,0.0375,0.0000,0.0000,0.0064,0.0002,200,5.2603
0.0458,0.0394,0.0000,0.0001,0.0062,0.0001,200,5.3044
0.0469,0.0409,0.0000,0.0001,0.0058,0.0001,200,5.3502
0.0449,0.0390,0.0001,0.0001,0.0056,0.0001,200,5.3971
0.0449,0.0393,0.0000,0.0000,0.0054,0.0001,200,5.4419
0.0446,0.0389,0.0000,0.0001,0.0055,0.0001,200,5.4868
0.0436,0.0379,0.0000,0.0000,0.0056,0.0002,200,5.5315
0.0452,0.0395,0.0000,0.0000,0.0055,0.0002,200,5.5751
0.0444,0.0388,0.0000,0.0001,0.0053,0.0002,200,5.6203
0.0451,0.0393,0.0001,0.0001,0.0055,0.0001,200,5.6648
0.0433,0.0377,0.0000,0.0001,0.0054,0.0001,200,5.7098
0.0459,0.0391,0.0000,0.0001,0.0065,0.0002,200,5.7531
0.0449,0.0391,0.0000,0.0000,0.0054,0.0003,200,5.7990
0.0420,0.0364,0.0000,0.0001,0.0054,0.0002,200,5.8439
