response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0500,0.0405,0.0005,0.0001,0.0075,0.0019,200,0.0037
0.0471,0.0392,0.0000,0.0000,0.0059,0.0018,200,0.0536
0.0472,0.0395,0.0000,0.0001,0.0058,0.0018,200,0.1007
0.0468,0.0391,0.0000,0.0000,0.0059,0.0017,200,0.1479
0.0338,0.0255,0.0000,0.0001,0.0064,0.0019,200,0.1947
0.0477,0.0392,0.0000,0.0000,0.0063,0.0022,200,0.2285
0.0470,0.0391,0.0000,0.0001,0.0061,0.0018,200,0.2763
0.0471,0.0388,0.0000,0.0001,0.0061,0.0021,200,0.3233
0.0476,0.0390,0.0000,0.0000,0.0066,0.0019,200,0.3704
0.0474,0.0395,0.0000,0.0001,0.0058,0.0020,200,0.4180
0.0479,0.0395,0.0000,0.0001,0.0060,0.0024,200,0.4654
0.0470,0.0389,0.0000,0.0000,0.0060,0.0021,200,0.5133
0.0467,0.0391,0.0001,0.0001,0.0059,0.0017,200,0.5604
0.0463,0.0388,0.0001,0.0001,0.0057,0.0017,200,0.6071
0.0466,0.0389,0.0000,0.0001,0.0058,0.0017,200,0.6533
0.0472,0.0392,0.0000,0.0001,0.0062,0.0018,200,0.6999
0.0472,0.0390,0.0000,0.0000,0.0058,0.0023,200,0.7472
0.0456,0.0379,0.0000,0.0001,0.0058,0.0019,200,0.7944
0.0487,0.0411,0.0001,0.0000,0.0057,0.0018,200,0.8400
0.0453,0.0387,0.0001,0.0000,0.0054,0.0012,200,0.8887
0.0454,0.0374,0.0000,0.0001,0.0062,0.0018,200,0.9340
0.0461,0.0387,0.0000,0.0001,0.0057,0.0016,200,0.9794
0.0469,0.0390,0.0000,0.0001,0.0060,0.0018,200,1.0256
0.0465,0.0387,0.0000,0.0000,0.0060,0.0018,200,1.0725
0.0473,0.0392,0.0000,0.0001,0.0064,0.0015,200,1.1190
0.0316,0.0262,0.0000,0.0000,0.0043,0.0010,200,1.1662
0.0262,0.0211,0.0000,0.0001,0.0038,0.0013,200,1.1978
0.0284,0.0219,0.0000,0.0001,0.0049,0.0014,200,1.2241
0.0284,0.0236,0.0000,0.0001,0.0039,0.0007,200,1.2524
0.0255,0.0210,0.0000,0.0001,0.0037,0.0007,200,1.2808
0.0251,0.0207,0.0000,0.0001,0.0036,0.0007,200,1.3063
0.0272,0.0229,0.0000,0.0001,0.0035,0.0007,200,1.3314
0.0255,0.0208,0.0000,0.0001,0.0039,0.0007,200,1.3586
0.0290,0.0240,0.0000,0.0000,0.0037,0.0013,200,1.3841
0.0301,0.0226,0.0001,0.0000,0.0061,0.0013,200,1.4131
0.0291,0.0243,0.0000,0.0001,0.0037,0.0010,200,1.4432
0.0374,0.0302,0.0000,0.0001,0.0054,0.0017,200,1.4723
0.0388,0.0324,0.0000,0.0001,0.0048,0.0016,200,1.5097
0.0474,0.0392,0.0001,0.0001,0.0057,0.0024,200,1.5486
0.0469,0.0391,0.0000,0.0001,0.0058,0.0018,200,1.5959
0.0445,0.0370,0.0000,0.0000,0.0057,0.0017,200,1.6428
0.0473,0.0390,0.0000,0.0001,0.0064,0.0018,200,1.6874
0.0465,0.0394,0.0000,0.0001,0.0056,0.0014,200,1.7346
0.0464,0.0390,0.0001,0.0001,0.0059,0.0014,200,1.7811
0.0467,0.0391,0.0000,0.0001,0.0058,0.0017,200,1.8276
0.0468,0.0390,0.0000,0.0001,0.0060,0.0016,200,1.8743
0.0431,0.0370,0.0001,0.0001,0.0048,0.0012,200,1.9210
0.0369,0.0300,0.0000,0.0001,0.0054,0.0014,200,1.9641
0.0363,0.0302,0.0000,0.0001,0.0048,0.0012,200,2.0010
0.0371,0.0303,0.0000,0.0001,0.0053,0.0014,200,2.0373
0.0388,0.0320,0.0000,0.0001,0.0055,0.0012,200,2.0744
0.0447,0.0367,0.0000,0.0001,0.0057,0.0022,200,2.1132
0.0435,0.0375,0.0001,0.0000,0.0050,0.0009,200,2.1579
0.0450,0.0377,0.0000,0.0001,0.0060,0.0012,200,2.2014
0.0423,0.0355,0.0000,0.0001,0.0049,0.0018,200,2.2464
0.0471,0.0392,0.0000,0.0000,0.0062,0.0016,200,2.2887
0.0486,0.0389,0.0000,0.0001,0.0078,0.0019,200,2.3358
