response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0456,0.0399,0.0003,0.0001,0.0055,0.0001,200,0.0032
0.0388,0.0339,0.0000,0.0001,0.0047,0.0001,200,0.0488
0.0459,0.0393,0.0001,0.0001,0.0064,0.0001,200,0.0876
0.0356,0.0305,0.0000,0.0001,0.0048,0.0001,200,0.1335
0.0349,0.0300,0.0000,0.0000,0.0047,0.0001,200,0.1691
0.0346,0.0300,0.0000,0.0000,0.0045,0.0001,200,0.2040
0.0440,0.0392,0.0000,0.0000,0.0047,0.0001,200,0.2386
0.0435,0.0388,0.0000,0.0000,0.0045,0.0001,200,0.2826
0.0405,0.0367,0.0000,0.0001,0.0037,0.0000,200,0.3261
0.0347,0.0301,0.0000,0.0000,0.0045,0.0000,200,0.3666
0.0347,0.0301,0.0000,0.0000,0.0045,0.0001,200,0.4013
0.0324,0.0285,0.0000,0.0000,0.0038,0.0001,200,0.4360
0.0367,0.0327,0.0000,0.0001,0.0038,0.0001,200,0.4684
0.0286,0.0246,0.0000,0.0001,0.0039,0.0000,200,0.5051
0.0382,0.0341,0.0000,0.0000,0.0040,0.0001,200,0.5337
0.0338,0.0299,0.0000,0.0000,0.0038,0.0001,200,0.5719
0.0337,0.0298,0.0000,0.0000,0.0038,0.0000,200,0.6058
0.0350,0.0300,0.0000,0.0001,0.0049,0.0000,200,0.6395
0.0397,0.0358,0.0000,0.0001,0.0037,0.0001,200,0.6745
0.0378,0.0340,0.0000,0.0000,0.0036,0.0001,200,0.7142
0.0252,0.0208,0.0000,0.0000,0.0043,0.0001,200,0.7520
0.0433,0.0387,0.0000,0.0001,0.0044,0.0001,200,0.7772
0.0408,0.0365,0.0000,0.0000,0.0042,0.0000,200,0.8205
0.0420,0.0378,0.0000,0.0001,0.0040,0.0001,200,0.8613
0.0434,0.0390,0.0000,0.0000,0.0043,0.0000,200,0.9033
0.0408,0.0372,0.0001,0.0000,0.0035,0.0001,200,0.9468
0.0428,0.0381,0.0000,0.0001,0.0046,0.0000,200,0.9876
0.0434,0.0391,0.0000,0.0000,0.0042,0.0000,200,1.0304
0.0410,0.0369,0.0000,0.0001,0.0040,0.0001,200,1.0738
0.0399,0.0356,0.0000,0.0000,0.0041,0.0001,200,1.1149
0.0418,0.0372,0.0000,0.0001,0.0045,0.0000,200,1.1547
0.0350,0.0308,0.0000,0.0000,0.0041,0.0000,200,1.1965
0.0344,0.0302,0.0000,0.0001,0.0041,0.0001,200,1.2315
0.0307,0.0268,0.0000,0.0001,0.0037,0.0001,200,1.2659
0.0391,0.0351,0.0000,0.0001,0.0039,0.0000,200,1.2966
0.0355,0.0311,0.0000,0.0001,0.0042,0.0000,200,1.3356
0.0412,0.0370,0.0000,0.0000,0.0040,0.0001,200,1.3711
0.0339,0.0299,0.0000,0.0000,0.0039,0.0000,200,1.4124
0.0412,0.0371,0.0000,0.0001,0.0040,0.0000,200,1.4463
0.0430,0.0385,0.0000,0.0001,0.0044,0.0000,200,1.4875
0.0438,0.0397,0.0000,0.0001,0.0039,0.0001,200,1.5305
0.0421,0.0373,0.0000,0.0000,0.0045,0.0001,200,1.5744
0.0426,0.0381,0.0001,0.0001,0.0044,0.0001,200,1.6164
0.0480,0.0389,0.0000,0.0001,0.0089,0.0001,200,1.6590
0.0563,0.0309,0.0000,0.0000,0.0253,0.0001,200,1.7070
0.0250,0.0215,0.0000,0.0000,0.0034,0.0001,200,1.7634
0.0259,0.0223,0.0000,0.0000,0.0035,0.0000,200,1.7884
0.0244,0.0213,0.0000,0.0001,0.0029,0.0001,200,1.8144
0.0241,0.0209,0.0000,0.0000,0.0030,0.0001,200,1.8388
0.0258,0.0225,0.0000,0.0000,0.0032,0.0001,200,1.8629
0.0323,0.0289,0.0000,0.0001,0.0033,0.0001,200,1.8887
0.0312,0.0273,0.0000,0.0001,0.0037,0.0001,200,1.9210
0.0437,0.0391,0.0000,0.0001,0.0044,0.0001,200,1.9522
0.0440,0.0394,0.0000,0.0000,0.0045,0.0001,200,1.9960
0.0427,0.0380,0.0000,0.0001,0.0045,0.0001,200,2.0400
0.0413,0.0371,0.0000,0.0001,0.0041,0.0001,200,2.0827
0.0398,0.0358,0.0000,0.0001,0.0038,0.0001,200,2.1240
