response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0288,0.0247,0.0003,0.0001,0.0040,0.0001,200,0.0036
0.0241,0.0212,0.0000,0.0001,0.0027,0.0001,200,0.0324
0.0244,0.0210,0.0000,0.0001,0.0032,0.0001,200,0.0565
0.0275,0.0245,0.0000,0.0001,0.0029,0.0001,200,0.0809
0.0268,0.0238,0.0000,0.0001,0.0029,0.0001,200,0.1085
0.0245,0.0211,0.0001,0.0000,0.0033,0.0001,200,0.1352
0.0262,0.0231,0.0000,0.0001,0.0030,0.0001,200,0.1598
0.0266,0.0235,0.0000,0.0000,0.0030,0.0001,200,0.1860
0.0383,0.0345,0.0000,0.0001,0.0037,0.0001,200,0.2126
0.0370,0.0332,0.0000,0.0000,0.0037,0.0001,200,0.2509
0.0329,0.0292,0.0000,0.0001,0.0036,0.0001,200,0.2880
0.0299,0.0266,0.0000,0.0000,0.0031,0.0000,200,0.3209
0.0243,0.0211,0.0000,0.0000,0.0031,0.0001,200,0.3508
0.0356,0.0323,0.0000,0.0000,0.0031,0.0001,200,0.3751
0.0348,0.0306,0.0000,0.0001,0.0040,0.0001,200,0.4107
0.0361,0.0326,0.0000,0.0000,0.0033,0.0001,200,0.4455
0.0397,0.0360,0.0000,0.0001,0.0036,0.0001,200,0.4816
0.0352,0.0310,0.0000,0.0001,0.0041,0.0001,200,0.5212
0.0424,0.0382,0.0000,0.0001,0.0041,0.0001,200,0.5565
0.0409,0.0369,0.0000,0.0000,0.0038,0.0001,200,0.5988
0.0280,0.0245,0.0000,0.0001,0.0034,0.0001,200,0.6398
0.0284,0.0244,0.0000,0.0001,0.0039,0.0000,200,0.6678
0.0284,0.0246,0.0000,0.0000,0.0037,0.0001,200,0.6963
0.0409,0.0368,0.0001,0.0000,0.0039,0.0001,200,0.7247
0.0383,0.0347,0.0000,0.0001,0.0035,0.0001,200,0.7656
0.0344,0.0300,0.0000,0.0000,0.0042,0.0001,200,0.8039
0.0341,0.0298,0.0001,0.0000,0.0041,0.0001,200,0.8382
0.0405,0.0365,0.0000,0.0001,0.0038,0.0001,200,0.8723
0.0249,0.0217,0.0000,0.0000,0.0030,0.0001,200,0.9128
0.0321,0.0283,0.0000,0.0001,0.0035,0.0001,200,0.9377
0.0300,0.0263,0.0000,0.0001,0.0035,0.0001,200,0.9698
0.0379,0.0345,0.0000,0.0001,0.0032,0.0001,200,0.9997
0.0405,0.0360,0.0000,0.0001,0.0044,0.0001,200,1.0376
0.0421,0.0376,0.0000,0.0001,0.0043,0.0001,200,1.0781
0.0439,0.0392,0.0000,0.0001,0.0045,0.0001,200,1.1202
0.0395,0.0354,0.0000,0.0001,0.0039,0.0001,200,1.1641
0.0342,0.0301,0.0000,0.0001,0.0039,0.0001,200,1.2036
0.0432,0.0388,0.0000,0.0001,0.0042,0.0001,200,1.2378
0.0411,0.0370,0.0000,0.0001,0.0040,0.0001,200,1.2811
0.0428,0.0386,0.0000,0.0000,0.0040,0.0001,200,1.3222
0.0383,0.0342,0.0000,0.0006,0.0034,0.0001,200,1.3650
0.0354,0.0315,0.0000,0.0001,0.0038,0.0001,200,1.4032
0.0414,0.0375,0.0000,0.0001,0.0037,0.0001,200,1.4386
0.0413,0.0370,0.0000,0.0000,0.0042,0.0001,200,1.4800
0.0427,0.0390,0.0000,0.0000,0.0035,0.0001,200,1.5213
0.0427,0.0389,0.0000,0.0000,0.0036,0.0001,200,1.5641
0.0433,0.0390,0.0000,0.0001,0.0042,0.0001,200,1.6068
0.0438,0.0392,0.0000,0.0000,0.0045,0.0001,200,1.6501
0.0415,0.0375,0.0000,0.0000,0.0038,0.0001,200,1.6939
