response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0897,0.0394,0.0003,0.0001,0.0501,0.0001,200,0.0020
0.0777,0.0386,0.0000,0.0001,0.0389,0.0001,200,0.0918
0.0785,0.0296,0.0000,0.0001,0.0488,0.0001,200,0.1695
0.0778,0.0337,0.0000,0.0000,0.0440,0.0001,200,0.2480
0.0839,0.0369,0.0000,0.0001,0.0468,0.0001,200,0.3258
0.0780,0.0359,0.0000,0.0000,0.0420,0.0001,200,0.4096
0.0777,0.0358,0.0000,0.0001,0.0417,0.0001,200,0.4877
0.0722,0.0298,0.0000,0.0000,0.0423,0.0001,200,0.5654
0.0780,0.0383,0.0000,0.0001,0.0395,0.0001,200,0.6376
0.0957,0.0300,0.0000,0.0001,0.0655,0.0001,200,0.7156
0.0728,0.0286,0.0000,0.0001,0.0440,0.0001,200,0.8113
0.0780,0.0390,0.0000,0.0000,0.0388,0.0001,200,0.8841
0.0773,0.0390,0.0000,0.0001,0.0381,0.0001,200,0.9621
0.0784,0.0379,0.0000,0.0000,0.0403,0.0001,200,1.0394
0.0778,0.0360,0.0000,0.0000,0.0417,0.0001,200,1.1177
0.0659,0.0267,0.0000,0.0001,0.0390,0.0001,200,1.1955
0.0665,0.0271,0.0000,0.0001,0.0392,0.0001,200,1.2614
0.0716,0.0350,0.0000,0.0001,0.0364,0.0001,200,1.3279
0.0603,0.0224,0.0000,0.0001,0.0378,0.0001,200,1.3995
0.0777,0.0347,0.0000,0.0000,0.0428,0.0001,200,1.4597
0.0781,0.0392,0.0000,0.0000,0.0387,0.0001,200,1.5374
0.0780,0.0382,0.0000,0.0001,0.0396,0.0001,200,1.6155
0.0723,0.0352,0.0000,0.0000,0.0369,0.0001,200,1.6935
0.0774,0.0353,0.0000,0.0000,0.0419,0.0001,200,1.7658
0.0664,0.0212,0.0000,0.0000,0.0451,0.0001,200,1.8432
0.0778,0.0352,0.0000,0.0001,0.0425,0.0001,200,1.9097
0.0782,0.0394,0.0000,0.0000,0.0386,0.0001,200,1.9875
0.0780,0.0381,0.0000,0.0001,0.0398,0.0001,200,2.0656
0.0722,0.0353,0.0000,0.0001,0.0367,0.0001,200,2.1436
0.0779,0.0355,0.0000,0.0000,0.0423,0.0001,200,2.2158
0.0780,0.0353,0.0000,0.0000,0.0425,0.0001,200,2.2937
0.0659,0.0272,0.0000,0.0001,0.0386,0.0001,200,2.3717
0.0901,0.0394,0.0000,0.0001,0.0505,0.0001,200,2.4376
0.0718,0.0379,0.0000,0.0000,0.0338,0.0001,200,2.5276
0.0758,0.0273,0.0000,0.0000,0.0484,0.0001,200,2.5995
0.0622,0.0215,0.0000,0.0001,0.0404,0.0001,200,2.6753
0.0540,0.0210,0.0000,0.0001,0.0328,0.0001,200,2.7374
0.0658,0.0211,0.0000,0.0000,0.0446,0.0001,200,2.7914
0.0599,0.0219,0.0000,0.0000,0.0379,0.0001,200,2.8573
0.0726,0.0334,0.0000,0.0001,0.0391,0.0001,200,2.9172
0.0717,0.0330,0.0000,0.0001,0.0386,0.0001,200,2.9898
0.0842,0.0391,0.0000,0.0000,0.0449,0.0001,200,3.0615
0.0777,0.0373,0.0000,0.0001,0.0402,0.0001,200,3.1458
