response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0462,0.0400,0.0004,0.0001,0.0058,0.0001,200,0.0030
0.0439,0.0395,0.0000,0.0001,0.0042,0.0001,200,0.0492
0.0433,0.0384,0.0000,0.0001,0.0048,0.0001,200,0.0931
0.0404,0.0363,0.0001,0.0001,0.0040,0.0001,200,0.1365
0.0338,0.0297,0.0000,0.0000,0.0039,0.0001,200,0.1769
0.0410,0.0364,0.0000,0.0001,0.0043,0.0001,200,0.2107
0.0378,0.0333,0.0000,0.0001,0.0043,0.0001,200,0.2516
0.0424,0.0373,0.0000,0.0001,0.0049,0.0001,200,0.2894
0.0426,0.0390,0.0000,0.0001,0.0034,0.0001,200,0.3318
0.0405,0.0359,0.0000,0.0000,0.0045,0.0001,200,0.3744
0.0440,0.0388,0.0000,0.0001,0.0050,0.0001,200,0.4150
0.0437,0.0391,0.0000,0.0000,0.0045,0.0001,200,0.4590
0.0434,0.0391,0.0000,0.0001,0.0042,0.0001,200,0.5027
0.0412,0.0364,0.0000,0.0001,0.0046,0.0001,200,0.5461
0.0436,0.0391,0.0000,0.0000,0.0044,0.0001,200,0.5873
0.0439,0.0390,0.0000,0.0001,0.0047,0.0001,200,0.6309
0.0401,0.0357,0.0000,0.0001,0.0042,0.0001,200,0.6749
0.0381,0.0330,0.0000,0.0000,0.0050,0.0001,200,0.7150
0.0432,0.0388,0.0000,0.0000,0.0042,0.0001,200,0.7531
0.0431,0.0388,0.0000,0.0001,0.0041,0.0001,200,0.7962
0.0427,0.0382,0.0000,0.0000,0.0043,0.0001,200,0.8394
0.0378,0.0332,0.0000,0.0001,0.0045,0.0001,200,0.8821
0.0435,0.0391,0.0000,0.0000,0.0042,0.0001,200,0.9199
0.0422,0.0378,0.0000,0.0001,0.0043,0.0001,200,0.9634
0.0412,0.0367,0.0000,0.0001,0.0043,0.0001,200,1.0056
0.0343,0.0298,0.0000,0.0001,0.0043,0.0001,200,1.0468
0.0430,0.0389,0.0000,0.0000,0.0040,0.0001,200,1.0811
0.0343,0.0299,0.0000,0.0000,0.0043,0.0001,200,1.1241
0.0435,0.0387,0.0001,0.0001,0.0046,0.0001,200,1.1585
