response-time,status-code,test_name,batch
0.0661,200,aes,wasm
0.0657,200,aes,wasm
0.0647,200,aes,wasm
0.0637,200,aes,wasm
0.061,200,aes,wasm
0.0587,200,aes,wasm
0.0644,200,aes,wasm
0.0634,200,aes,wasm
0.064,200,aes,wasm
0.0635,200,aes,wasm
0.0632,200,aes,wasm
0.0625,200,aes,wasm
0.064,200,aes,wasm
0.0644,200,aes,wasm
0.0641,200,aes,wasm
0.0628,200,aes,wasm
0.0619,200,aes,wasm
0.0627,200,aes,wasm
0.0617,200,aes,wasm
0.0633,200,aes,wasm
0.0643,200,aes,wasm
0.0627,200,aes,wasm
0.0634,200,aes,wasm
0.0647,200,aes,wasm
0.0627,200,aes,wasm
0.0637,200,aes,wasm
0.0629,200,aes,wasm
0.0589,200,aes,wasm
0.0625,200,aes,wasm
0.0626,200,aes,wasm
0.0621,200,aes,wasm
0.058,200,aes,wasm
0.0621,200,aes,wasm
0.0624,200,aes,wasm
0.0627,200,aes,wasm
0.064,200,aes,wasm
0.0627,200,aes,wasm
0.0626,200,aes,wasm
0.0652,200,aes,wasm
0.0634,200,aes,wasm
0.0602,200,aes,wasm
0.0594,200,aes,wasm
0.059,200,aes,wasm
0.0618,200,aes,wasm
0.064,200,aes,wasm
0.0634,200,aes,wasm
0.0633,200,aes,wasm
0.0551,200,aes,wasm
0.0425,200,aes,wasm
0.0452,200,aes,wasm
0.0428,200,aes,wasm
0.0558,200,aes,wasm
0.0621,200,aes,wasm
0.0642,200,aes,wasm
0.0552,200,aes,wasm
0.0621,200,aes,wasm
0.0647,200,aes,wasm
0.0617,200,aes,wasm
0.0641,200,aes,wasm
0.0614,200,aes,wasm
0.0694,200,aes,wasm
0.0606,200,aes,wasm
0.062,200,aes,wasm
0.0623,200,aes,wasm
0.0642,200,aes,wasm
0.0635,200,aes,wasm
0.0615,200,aes,wasm
0.0644,200,aes,wasm
0.0609,200,aes,wasm
0.0643,200,aes,wasm
0.0581,200,aes,wasm
0.0621,200,aes,wasm
0.0626,200,aes,wasm
0.0567,200,aes,wasm
0.0507,200,aes,wasm
0.036,200,aes,wasm
0.039,200,aes,wasm
0.0335,200,aes,wasm
0.0373,200,aes,wasm
0.0637,200,aes,wasm
0.0603,200,aes,wasm
