response-time,status-code,test_name,batch
0.1388,200,fuzzysearch,wasm
0.1379,200,fuzzysearch,wasm
0.1314,200,fuzzysearch,wasm
0.1293,200,fuzzysearch,wasm
0.1299,200,fuzzysearch,wasm
0.1337,200,fuzzysearch,wasm
0.1369,200,fuzzysearch,wasm
0.1124,200,fuzzysearch,wasm
0.0868,200,fuzzysearch,wasm
0.133,200,fuzzysearch,wasm
0.1386,200,fuzzysearch,wasm
0.1361,200,fuzzysearch,wasm
0.1306,200,fuzzysearch,wasm
0.1393,200,fuzzysearch,wasm
0.1353,200,fuzzysearch,wasm
0.1347,200,fuzzysearch,wasm
0.13,200,fuzzysearch,wasm
0.1346,200,fuzzysearch,wasm
0.1218,200,fuzzysearch,wasm
0.1142,200,fuzzysearch,wasm
0.0873,200,fuzzysearch,wasm
0.134,200,fuzzysearch,wasm
0.1236,200,fuzzysearch,wasm
0.1253,200,fuzzysearch,wasm
0.1329,200,fuzzysearch,wasm
0.1326,200,fuzzysearch,wasm
0.13,200,fuzzysearch,wasm
0.1319,200,fuzzysearch,wasm
0.1305,200,fuzzysearch,wasm
0.1336,200,fuzzysearch,wasm
0.13,200,fuzzysearch,wasm
0.1341,200,fuzzysearch,wasm
0.1348,200,fuzzysearch,wasm
0.1347,200,fuzzysearch,wasm
0.1283,200,fuzzysearch,wasm
0.1327,200,fuzzysearch,wasm
0.13,200,fuzzysearch,wasm
0.1309,200,fuzzysearch,wasm
0.1335,200,fuzzysearch,wasm
0.1333,200,fuzzysearch,wasm
0.1337,200,fuzzysearch,wasm
0.1319,200,fuzzysearch,wasm
0.1221,200,fuzzysearch,wasm
0.1311,200,fuzzysearch,wasm
0.1332,200,fuzzysearch,wasm
0.1317,200,fuzzysearch,wasm
0.1306,200,fuzzysearch,wasm
0.1457,200,fuzzysearch,wasm
0.1328,200,fuzzysearch,wasm
0.1356,200,fuzzysearch,wasm
0.1354,200,fuzzysearch,wasm
0.1353,200,fuzzysearch,wasm
0.1339,200,fuzzysearch,wasm
0.1286,200,fuzzysearch,wasm
0.1348,200,fuzzysearch,wasm
0.1302,200,fuzzysearch,wasm
0.1351,200,fuzzysearch,wasm
0.1338,200,fuzzysearch,wasm
0.1355,200,fuzzysearch,wasm
0.1348,200,fuzzysearch,wasm
0.1298,200,fuzzysearch,wasm
0.1297,200,fuzzysearch,wasm
0.1346,200,fuzzysearch,wasm
0.1345,200,fuzzysearch,wasm
0.1339,200,fuzzysearch,wasm
0.1303,200,fuzzysearch,wasm
0.1361,200,fuzzysearch,wasm
0.1338,200,fuzzysearch,wasm
0.1312,200,fuzzysearch,wasm
0.1324,200,fuzzysearch,wasm
0.1363,200,fuzzysearch,wasm
0.1295,200,fuzzysearch,wasm
0.1354,200,fuzzysearch,wasm
0.1258,200,fuzzysearch,wasm
0.1342,200,fuzzysearch,wasm
0.1323,200,fuzzysearch,wasm
0.1334,200,fuzzysearch,wasm
0.1322,200,fuzzysearch,wasm
0.1322,200,fuzzysearch,wasm
0.1317,200,fuzzysearch,wasm
0.1333,200,fuzzysearch,wasm
0.1354,200,fuzzysearch,wasm
0.1323,200,fuzzysearch,wasm
0.1134,200,fuzzysearch,wasm
0.0913,200,fuzzysearch,wasm
0.1079,200,fuzzysearch,wasm
0.1336,200,fuzzysearch,wasm
0.1312,200,fuzzysearch,wasm
0.1345,200,fuzzysearch,wasm
0.1338,200,fuzzysearch,wasm
0.1302,200,fuzzysearch,wasm
0.133,200,fuzzysearch,wasm
0.1295,200,fuzzysearch,wasm
0.1303,200,fuzzysearch,wasm
0.1269,200,fuzzysearch,wasm
0.1361,200,fuzzysearch,wasm
0.1054,200,fuzzysearch,wasm
0.0959,200,fuzzysearch,wasm
0.1275,200,fuzzysearch,wasm
0.1285,200,fuzzysearch,wasm
0.155,200,fuzzysearch,wasm
0.1347,200,fuzzysearch,wasm
0.1284,200,fuzzysearch,wasm
0.1343,200,fuzzysearch,wasm
0.1296,200,fuzzysearch,wasm
0.1387,200,fuzzysearch,wasm
0.1341,200,fuzzysearch,wasm
0.1341,200,fuzzysearch,wasm
0.1359,200,fuzzysearch,wasm
0.1335,200,fuzzysearch,wasm
0.1287,200,fuzzysearch,wasm
0.133,200,fuzzysearch,wasm
0.1326,200,fuzzysearch,wasm
0.1295,200,fuzzysearch,wasm
0.1318,200,fuzzysearch,wasm
0.1335,200,fuzzysearch,wasm
0.132,200,fuzzysearch,wasm
0.1283,200,fuzzysearch,wasm
0.1355,200,fuzzysearch,wasm
0.1325,200,fuzzysearch,wasm
0.135,200,fuzzysearch,wasm
0.1284,200,fuzzysearch,wasm
0.1344,200,fuzzysearch,wasm
0.1329,200,fuzzysearch,wasm
0.137,200,fuzzysearch,wasm
0.134,200,fuzzysearch,wasm
0.1348,200,fuzzysearch,wasm
0.1348,200,fuzzysearch,wasm
0.1363,200,fuzzysearch,wasm
0.1342,200,fuzzysearch,wasm
0.1351,200,fuzzysearch,wasm
0.1338,200,fuzzysearch,wasm
0.1248,200,fuzzysearch,wasm
0.1315,200,fuzzysearch,wasm
0.1337,200,fuzzysearch,wasm
0.1269,200,fuzzysearch,wasm
0.1319,200,fuzzysearch,wasm
0.1362,200,fuzzysearch,wasm
0.1366,200,fuzzysearch,wasm
0.1309,200,fuzzysearch,wasm
0.1288,200,fuzzysearch,wasm
0.1266,200,fuzzysearch,wasm
0.1345,200,fuzzysearch,wasm
0.1319,200,fuzzysearch,wasm
0.1309,200,fuzzysearch,wasm
0.1331,200,fuzzysearch,wasm
0.1345,200,fuzzysearch,wasm
0.1315,200,fuzzysearch,wasm
0.1373,200,fuzzysearch,wasm
0.1337,200,fuzzysearch,wasm
0.1307,200,fuzzysearch,wasm
0.1299,200,fuzzysearch,wasm
0.1308,200,fuzzysearch,wasm
0.131,200,fuzzysearch,wasm
0.1415,200,fuzzysearch,wasm
0.1314,200,fuzzysearch,wasm
0.1307,200,fuzzysearch,wasm
0.1309,200,fuzzysearch,wasm
0.1309,200,fuzzysearch,wasm
0.1358,200,fuzzysearch,wasm
0.1013,200,fuzzysearch,wasm
0.084,200,fuzzysearch,wasm
0.1233,200,fuzzysearch,wasm
0.1335,200,fuzzysearch,wasm
0.1321,200,fuzzysearch,wasm
0.1355,200,fuzzysearch,wasm
0.1344,200,fuzzysearch,wasm
0.1352,200,fuzzysearch,wasm
0.1343,200,fuzzysearch,wasm
0.1298,200,fuzzysearch,wasm
0.1311,200,fuzzysearch,wasm
0.1345,200,fuzzysearch,wasm
0.1234,200,fuzzysearch,wasm
0.0853,200,fuzzysearch,wasm
0.1142,200,fuzzysearch,wasm
0.1371,200,fuzzysearch,wasm
0.1352,200,fuzzysearch,wasm
0.1336,200,fuzzysearch,wasm
0.1338,200,fuzzysearch,wasm
0.1317,200,fuzzysearch,wasm
0.1336,200,fuzzysearch,wasm
0.1342,200,fuzzysearch,wasm
0.1331,200,fuzzysearch,wasm
0.1338,200,fuzzysearch,wasm
0.133,200,fuzzysearch,wasm
0.1285,200,fuzzysearch,wasm
0.1293,200,fuzzysearch,wasm
0.1065,200,fuzzysearch,wasm
0.1322,200,fuzzysearch,wasm
0.1279,200,fuzzysearch,wasm
0.133,200,fuzzysearch,wasm
0.1271,200,fuzzysearch,wasm
0.1287,200,fuzzysearch,wasm
0.1305,200,fuzzysearch,wasm
0.1357,200,fuzzysearch,wasm
0.1267,200,fuzzysearch,wasm
0.1291,200,fuzzysearch,wasm
0.1384,200,fuzzysearch,wasm
0.1308,200,fuzzysearch,wasm
0.1313,200,fuzzysearch,wasm
0.1357,200,fuzzysearch,wasm
0.1339,200,fuzzysearch,wasm
0.1366,200,fuzzysearch,wasm
0.1295,200,fuzzysearch,wasm
0.1301,200,fuzzysearch,wasm
0.1337,200,fuzzysearch,wasm
0.1321,200,fuzzysearch,wasm
0.1347,200,fuzzysearch,wasm
