response-time,status-code,test_name,batch
0.0524,200,linear-equations,wasm
0.0529,200,linear-equations,wasm
0.0529,200,linear-equations,wasm
0.0531,200,linear-equations,wasm
0.053,200,linear-equations,wasm
0.0637,200,linear-equations,wasm
0.0523,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.048,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0554,200,linear-equations,wasm
0.0523,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0529,200,linear-equations,wasm
0.0527,200,linear-equations,wasm
0.0589,200,linear-equations,wasm
0.0507,200,linear-equations,wasm
0.0497,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0507,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0532,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0524,200,linear-equations,wasm
0.0463,200,linear-equations,wasm
0.0522,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0498,200,linear-equations,wasm
0.052,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.052,200,linear-equations,wasm
0.0436,200,linear-equations,wasm
0.0314,200,linear-equations,wasm
0.0301,200,linear-equations,wasm
0.0278,200,linear-equations,wasm
0.0314,200,linear-equations,wasm
0.0331,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0462,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0525,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0507,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.05,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0419,200,linear-equations,wasm
0.0305,200,linear-equations,wasm
0.0306,200,linear-equations,wasm
0.0293,200,linear-equations,wasm
0.0358,200,linear-equations,wasm
0.0329,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0502,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0503,200,linear-equations,wasm
0.0442,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0468,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0505,200,linear-equations,wasm
0.0497,200,linear-equations,wasm
0.0463,200,linear-equations,wasm
0.0524,200,linear-equations,wasm
0.0522,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0521,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0507,200,linear-equations,wasm
0.0499,200,linear-equations,wasm
0.0493,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0505,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.052,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0506,200,linear-equations,wasm
0.0446,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0528,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0478,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0531,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0506,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0504,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0508,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0506,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0394,200,linear-equations,wasm
0.0506,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0498,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0521,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0506,200,linear-equations,wasm
0.0521,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0582,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0521,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0488,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0498,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0507,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0535,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0533,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0507,200,linear-equations,wasm
0.0469,200,linear-equations,wasm
0.0504,200,linear-equations,wasm
0.0495,200,linear-equations,wasm
0.0484,200,linear-equations,wasm
0.0481,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.047,200,linear-equations,wasm
0.0396,200,linear-equations,wasm
0.0343,200,linear-equations,wasm
0.0308,200,linear-equations,wasm
0.0313,200,linear-equations,wasm
0.0327,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0522,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0528,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0502,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0497,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0508,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0498,200,linear-equations,wasm
0.0424,200,linear-equations,wasm
0.0301,200,linear-equations,wasm
0.0297,200,linear-equations,wasm
0.0401,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0499,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.051,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0465,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0499,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0459,200,linear-equations,wasm
0.049,200,linear-equations,wasm
0.0501,200,linear-equations,wasm
0.0581,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0504,200,linear-equations,wasm
0.0524,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0507,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0492,200,linear-equations,wasm
0.0471,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0507,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0507,200,linear-equations,wasm
0.0463,200,linear-equations,wasm
0.0454,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0505,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0496,200,linear-equations,wasm
0.0496,200,linear-equations,wasm
0.0507,200,linear-equations,wasm
0.0494,200,linear-equations,wasm
0.0521,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0508,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0527,200,linear-equations,wasm
0.0518,200,linear-equations,wasm
0.0522,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0473,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0506,200,linear-equations,wasm
0.0497,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.05,200,linear-equations,wasm
0.0509,200,linear-equations,wasm
0.0511,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0508,200,linear-equations,wasm
0.05,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0386,200,linear-equations,wasm
0.0312,200,linear-equations,wasm
0.0346,200,linear-equations,wasm
0.0355,200,linear-equations,wasm
0.0516,200,linear-equations,wasm
0.0506,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0519,200,linear-equations,wasm
0.0517,200,linear-equations,wasm
0.0506,200,linear-equations,wasm
0.0515,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0513,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0501,200,linear-equations,wasm
0.0512,200,linear-equations,wasm
0.0461,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
