response-time,status-code,test_name,batch
0.0616,200,matmul,wasm
0.061,200,matmul,wasm
0.0591,200,matmul,wasm
0.0606,200,matmul,wasm
0.0593,200,matmul,wasm
0.0602,200,matmul,wasm
0.0597,200,matmul,wasm
0.0593,200,matmul,wasm
0.0513,200,matmul,wasm
0.0607,200,matmul,wasm
0.0596,200,matmul,wasm
0.0608,200,matmul,wasm
0.0599,200,matmul,wasm
0.0596,200,matmul,wasm
0.0604,200,matmul,wasm
0.059,200,matmul,wasm
0.0587,200,matmul,wasm
0.0594,200,matmul,wasm
0.0592,200,matmul,wasm
0.0588,200,matmul,wasm
0.0587,200,matmul,wasm
0.0591,200,matmul,wasm
0.0594,200,matmul,wasm
0.0599,200,matmul,wasm
0.0598,200,matmul,wasm
0.0515,200,matmul,wasm
0.0589,200,matmul,wasm
0.0578,200,matmul,wasm
0.0585,200,matmul,wasm
0.0589,200,matmul,wasm
0.0586,200,matmul,wasm
0.06,200,matmul,wasm
0.0586,200,matmul,wasm
0.0599,200,matmul,wasm
0.0585,200,matmul,wasm
0.0596,200,matmul,wasm
0.0596,200,matmul,wasm
0.0595,200,matmul,wasm
0.0601,200,matmul,wasm
0.0593,200,matmul,wasm
0.0588,200,matmul,wasm
0.0595,200,matmul,wasm
0.05,200,matmul,wasm
0.0592,200,matmul,wasm
0.0646,200,matmul,wasm
0.0593,200,matmul,wasm
0.0589,200,matmul,wasm
0.0585,200,matmul,wasm
0.0596,200,matmul,wasm
0.0596,200,matmul,wasm
0.0593,200,matmul,wasm
0.0712,200,matmul,wasm
0.059,200,matmul,wasm
0.0591,200,matmul,wasm
0.0584,200,matmul,wasm
0.0592,200,matmul,wasm
0.0591,200,matmul,wasm
0.0589,200,matmul,wasm
0.0603,200,matmul,wasm
0.051,200,matmul,wasm
0.0589,200,matmul,wasm
0.0589,200,matmul,wasm
0.0585,200,matmul,wasm
0.0587,200,matmul,wasm
0.0591,200,matmul,wasm
0.0596,200,matmul,wasm
0.0585,200,matmul,wasm
0.0675,200,matmul,wasm
0.0591,200,matmul,wasm
0.0593,200,matmul,wasm
0.0592,200,matmul,wasm
0.0584,200,matmul,wasm
0.059,200,matmul,wasm
0.0592,200,matmul,wasm
0.0594,200,matmul,wasm
0.0593,200,matmul,wasm
0.0588,200,matmul,wasm
0.0589,200,matmul,wasm
0.0592,200,matmul,wasm
0.0589,200,matmul,wasm
0.0588,200,matmul,wasm
0.059,200,matmul,wasm
0.0588,200,matmul,wasm
0.0588,200,matmul,wasm
0.0597,200,matmul,wasm
0.0589,200,matmul,wasm
0.0588,200,matmul,wasm
0.0594,200,matmul,wasm
0.0585,200,matmul,wasm
0.0587,200,matmul,wasm
0.0599,200,matmul,wasm
0.0593,200,matmul,wasm
0.0594,200,matmul,wasm
0.059,200,matmul,wasm
0.0578,200,matmul,wasm
