response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0661,0.0402,0.0002,0.0001,0.0192,0.0065,200,0.0024
0.0657,0.0396,0.0000,0.0001,0.0187,0.0072,200,0.0685
0.0647,0.0400,0.0000,0.0001,0.0192,0.0054,200,0.1341
0.0637,0.0397,0.0000,0.0001,0.0185,0.0054,200,0.1989
0.0610,0.0400,0.0000,0.0001,0.0178,0.0032,200,0.2625
0.0587,0.0349,0.0000,0.0001,0.0185,0.0052,200,0.3236
0.0644,0.0401,0.0000,0.0001,0.0190,0.0054,200,0.3823
0.0634,0.0399,0.0000,0.0000,0.0187,0.0048,200,0.4467
0.0640,0.0392,0.0000,0.0001,0.0181,0.0067,200,0.5101
0.0635,0.0395,0.0000,0.0001,0.0183,0.0055,200,0.5742
0.0632,0.0394,0.0000,0.0001,0.0184,0.0053,200,0.6376
0.0625,0.0393,0.0000,0.0001,0.0183,0.0047,200,0.7009
0.0640,0.0392,0.0000,0.0001,0.0183,0.0064,200,0.7634
0.0644,0.0400,0.0000,0.0001,0.0188,0.0055,200,0.8274
0.0641,0.0395,0.0000,0.0001,0.0184,0.0062,200,0.8918
0.0628,0.0392,0.0000,0.0001,0.0183,0.0052,200,0.9559
0.0619,0.0383,0.0000,0.0001,0.0184,0.0051,200,1.0187
0.0627,0.0396,0.0000,0.0001,0.0184,0.0046,200,1.0806
0.0617,0.0387,0.0000,0.0001,0.0182,0.0047,200,1.1433
0.0633,0.0391,0.0000,0.0001,0.0183,0.0058,200,1.2050
0.0643,0.0398,0.0000,0.0000,0.0181,0.0064,200,1.2683
0.0627,0.0393,0.0000,0.0001,0.0183,0.0049,200,1.3327
0.0634,0.0385,0.0000,0.0001,0.0190,0.0057,200,1.3954
0.0647,0.0391,0.0000,0.0001,0.0190,0.0066,200,1.4588
0.0627,0.0395,0.0000,0.0001,0.0183,0.0047,200,1.5235
0.0637,0.0390,0.0000,0.0000,0.0182,0.0064,200,1.5862
0.0629,0.0382,0.0000,0.0000,0.0181,0.0065,200,1.6499
0.0589,0.0341,0.0000,0.0001,0.0182,0.0065,200,1.7128
0.0625,0.0393,0.0000,0.0001,0.0184,0.0047,200,1.7717
0.0626,0.0393,0.0000,0.0000,0.0183,0.0049,200,1.8342
0.0621,0.0390,0.0000,0.0000,0.0183,0.0047,200,1.8967
0.0580,0.0341,0.0000,0.0001,0.0181,0.0056,200,1.9589
0.0621,0.0394,0.0000,0.0001,0.0186,0.0040,200,2.0168
0.0624,0.0394,0.0000,0.0001,0.0183,0.0046,200,2.0790
