response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0432,0.0404,0.0004,0.0001,0.0025,0.0001,200,0.0029
0.0420,0.0395,0.0000,0.0001,0.0023,0.0001,200,0.0461
0.0437,0.0410,0.0000,0.0000,0.0025,0.0001,200,0.0881
0.0410,0.0385,0.0000,0.0001,0.0022,0.0001,200,0.1318
0.0422,0.0395,0.0000,0.0001,0.0026,0.0001,200,0.1728
0.0403,0.0379,0.0000,0.0000,0.0023,0.0000,200,0.2150
0.0419,0.0392,0.0000,0.0001,0.0025,0.0001,200,0.2553
0.0400,0.0377,0.0001,0.0000,0.0021,0.0001,200,0.2972
0.0370,0.0346,0.0000,0.0001,0.0023,0.0001,200,0.3372
0.0376,0.0354,0.0000,0.0000,0.0021,0.0001,200,0.3742
0.0416,0.0392,0.0000,0.0000,0.0022,0.0001,200,0.4119
0.0407,0.0383,0.0001,0.0001,0.0022,0.0001,200,0.4534
0.0418,0.0395,0.0000,0.0001,0.0021,0.0001,200,0.4941
0.0401,0.0378,0.0000,0.0001,0.0021,0.0001,200,0.5359
0.0339,0.0317,0.0000,0.0001,0.0021,0.0001,200,0.5760
0.0321,0.0297,0.0000,0.0001,0.0022,0.0001,200,0.6099
0.0415,0.0391,0.0000,0.0000,0.0023,0.0001,200,0.6420
0.0420,0.0393,0.0000,0.0001,0.0025,0.0001,200,0.6835
0.0404,0.0381,0.0000,0.0001,0.0021,0.0001,200,0.7255
0.0324,0.0301,0.0000,0.0001,0.0022,0.0001,200,0.7659
0.0427,0.0402,0.0000,0.0001,0.0023,0.0001,200,0.7984
0.0418,0.0395,0.0000,0.0001,0.0022,0.0001,200,0.8411
0.0422,0.0398,0.0000,0.0001,0.0022,0.0001,200,0.8829
0.0450,0.0423,0.0000,0.0001,0.0025,0.0001,200,0.9250
0.0324,0.0304,0.0000,0.0001,0.0019,0.0001,200,0.9700
0.0270,0.0252,0.0000,0.0001,0.0017,0.0001,200,1.0024
