response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1388,0.0398,0.0004,0.0001,0.0988,0.0001,200,0.0028
0.1379,0.0402,0.0000,0.0001,0.0975,0.0001,200,0.1416
0.1314,0.0371,0.0000,0.0001,0.0940,0.0001,200,0.2795
0.1293,0.0347,0.0000,0.0000,0.0944,0.0001,200,0.4109
0.1299,0.0353,0.0000,0.0001,0.0944,0.0001,200,0.5402
0.1337,0.0393,0.0000,0.0000,0.0943,0.0001,200,0.6701
0.1369,0.0396,0.0000,0.0001,0.0971,0.0001,200,0.8038
0.1124,0.0377,0.0000,0.0001,0.0746,0.0001,200,0.9407
0.0868,0.0258,0.0000,0.0001,0.0609,0.0001,200,1.0531
0.1330,0.0394,0.0000,0.0000,0.0935,0.0001,200,1.1400
0.1386,0.0393,0.0000,0.0000,0.0991,0.0001,200,1.2730
0.1361,0.0400,0.0000,0.0001,0.0959,0.0001,200,1.4116
0.1306,0.0394,0.0000,0.0000,0.0911,0.0001,200,1.5477
0.1393,0.0383,0.0000,0.0001,0.1009,0.0001,200,1.6784
0.1353,0.0401,0.0000,0.0000,0.0951,0.0001,200,1.8176
0.1347,0.0395,0.0000,0.0001,0.0951,0.0001,200,1.9529
0.1300,0.0389,0.0000,0.0000,0.0910,0.0001,200,2.0876
0.1346,0.0396,0.0000,0.0000,0.0949,0.0001,200,2.2177
0.1218,0.0389,0.0000,0.0000,0.0828,0.0001,200,2.3523
0.1142,0.0365,0.0000,0.0001,0.0776,0.0001,200,2.4741
0.0873,0.0223,0.0000,0.0001,0.0648,0.0001,200,2.5883
0.1340,0.0396,0.0000,0.0000,0.0942,0.0001,200,2.6755
0.1236,0.0389,0.0000,0.0001,0.0845,0.0001,200,2.8095
0.1253,0.0389,0.0000,0.0001,0.0863,0.0001,200,2.9331
0.1329,0.0392,0.0000,0.0000,0.0935,0.0001,200,3.0585
0.1326,0.0396,0.0000,0.0001,0.0928,0.0001,200,3.1914
0.1300,0.0380,0.0000,0.0001,0.0919,0.0001,200,3.3240
0.1319,0.0374,0.0000,0.0000,0.0943,0.0001,200,3.4541
0.1305,0.0388,0.0000,0.0001,0.0916,0.0001,200,3.5860
0.1336,0.0395,0.0000,0.0001,0.0940,0.0001,200,3.7165
0.1300,0.0394,0.0000,0.0001,0.0905,0.0001,200,3.8502
0.1341,0.0383,0.0000,0.0001,0.0956,0.0001,200,3.9802
0.1348,0.0395,0.0000,0.0001,0.0951,0.0001,200,4.1143
0.1347,0.0393,0.0000,0.0001,0.0952,0.0001,200,4.2490
0.1283,0.0343,0.0000,0.0001,0.0938,0.0001,200,4.3838
0.1327,0.0393,0.0000,0.0000,0.0933,0.0001,200,4.5120
0.1300,0.0375,0.0000,0.0001,0.0924,0.0001,200,4.6448
0.1309,0.0391,0.0000,0.0000,0.0916,0.0001,200,4.7748
0.1335,0.0393,0.0000,0.0001,0.0941,0.0001,200,4.9058
0.1333,0.0386,0.0000,0.0001,0.0945,0.0001,200,5.0393
0.1337,0.0394,0.0000,0.0001,0.0941,0.0001,200,5.1726
0.1319,0.0391,0.0000,0.0001,0.0927,0.0001,200,5.3063
0.1221,0.0327,0.0000,0.0000,0.0892,0.0001,200,5.4383
0.1311,0.0391,0.0000,0.0000,0.0918,0.0001,200,5.5604
0.1332,0.0392,0.0000,0.0001,0.0938,0.0001,200,5.6915
0.1317,0.0397,0.0000,0.0000,0.0918,0.0001,200,5.8246
0.1306,0.0364,0.0000,0.0001,0.0940,0.0001,200,5.9563
0.1457,0.0393,0.0000,0.0001,0.1062,0.0001,200,6.0869
0.1328,0.0391,0.0000,0.0001,0.0936,0.0001,200,6.2326
0.1356,0.0389,0.0000,0.0000,0.0966,0.0001,200,6.3655
0.1354,0.0391,0.0000,0.0000,0.0962,0.0001,200,6.5011
0.1353,0.0405,0.0000,0.0001,0.0946,0.0001,200,6.6365
0.1339,0.0393,0.0000,0.0000,0.0944,0.0001,200,6.7718
0.1286,0.0339,0.0000,0.0000,0.0945,0.0001,200,6.9057
0.1348,0.0386,0.0000,0.0001,0.0960,0.0001,200,7.0343
0.1302,0.0397,0.0000,0.0001,0.0903,0.0001,200,7.1691
0.1351,0.0394,0.0000,0.0001,0.0956,0.0001,200,7.2993
0.1338,0.0391,0.0000,0.0001,0.0946,0.0001,200,7.4344
0.1355,0.0408,0.0000,0.0001,0.0945,0.0001,200,7.5682
0.1348,0.0397,0.0000,0.0001,0.0949,0.0001,200,7.7037
0.1298,0.0390,0.0000,0.0001,0.0906,0.0001,200,7.8385
0.1297,0.0340,0.0000,0.0001,0.0955,0.0001,200,7.9683
0.1346,0.0394,0.0000,0.0000,0.0951,0.0001,200,8.0980
0.1345,0.0395,0.0000,0.0000,0.0949,0.0001,200,8.2326
0.1339,0.0382,0.0000,0.0001,0.0956,0.0001,200,8.3671
0.1303,0.0392,0.0000,0.0000,0.0910,0.0001,200,8.5011
0.1361,0.0382,0.0000,0.0000,0.0977,0.0001,200,8.6314
0.1338,0.0394,0.0000,0.0000,0.0943,0.0001,200,8.7675
0.1312,0.0394,0.0000,0.0001,0.0917,0.0001,200,8.9013
0.1324,0.0393,0.0000,0.0000,0.0929,0.0001,200,9.0325
0.1363,0.0393,0.0000,0.0000,0.0969,0.0001,200,9.1649
0.1295,0.0390,0.0000,0.0000,0.0903,0.0001,200,9.3012
0.1354,0.0399,0.0000,0.0000,0.0954,0.0001,200,9.4306
0.1258,0.0393,0.0000,0.0000,0.0864,0.0001,200,9.5660
0.1342,0.0397,0.0000,0.0001,0.0944,0.0001,200,9.6919
0.1323,0.0392,0.0000,0.0000,0.0930,0.0001,200,9.8261
0.1334,0.0391,0.0000,0.0001,0.0941,0.0001,200,9.9584
0.1322,0.0392,0.0000,0.0001,0.0929,0.0001,200,10.0919
0.1322,0.0375,0.0000,0.0001,0.0946,0.0001,200,10.2241
0.1317,0.0393,0.0000,0.0001,0.0922,0.0001,200,10.3563
0.1333,0.0392,0.0000,0.0001,0.0940,0.0001,200,10.4880
0.1354,0.0393,0.0000,0.0001,0.0960,0.0001,200,10.6213
0.1323,0.0392,0.0000,0.0001,0.0929,0.0001,200,10.7567
0.1134,0.0397,0.0000,0.0001,0.0735,0.0001,200,10.8890
0.0913,0.0220,0.0000,0.0001,0.0692,0.0001,200,11.0024
0.1079,0.0296,0.0000,0.0001,0.0781,0.0001,200,11.0937
0.1336,0.0394,0.0000,0.0001,0.0941,0.0001,200,11.2016
0.1312,0.0391,0.0000,0.0001,0.0919,0.0001,200,11.3352
0.1345,0.0391,0.0000,0.0001,0.0952,0.0001,200,11.4664
0.1338,0.0393,0.0000,0.0001,0.0943,0.0001,200,11.6009
0.1302,0.0392,0.0000,0.0001,0.0909,0.0001,200,11.7347
0.1330,0.0395,0.0000,0.0001,0.0934,0.0001,200,11.8649
0.1295,0.0390,0.0000,0.0001,0.0903,0.0001,200,11.9979
0.1303,0.0341,0.0000,0.0001,0.0961,0.0001,200,12.1274
0.1269,0.0337,0.0000,0.0001,0.0930,0.0001,200,12.2577
0.1361,0.0392,0.0000,0.0001,0.0968,0.0001,200,12.3846
0.1054,0.0342,0.0000,0.0001,0.0711,0.0001,200,12.5207
0.0959,0.0235,0.0000,0.0001,0.0722,0.0001,200,12.6262
0.1275,0.0325,0.0000,0.0001,0.0949,0.0001,200,12.7221
0.1285,0.0390,0.0000,0.0001,0.0893,0.0001,200,12.8496
0.1550,0.0393,0.0000,0.0001,0.1156,0.0001,200,12.9780
0.1347,0.0395,0.0000,0.0001,0.0951,0.0001,200,13.1331
0.1284,0.0390,0.0000,0.0001,0.0893,0.0001,200,13.2678
0.1343,0.0393,0.0000,0.0001,0.0949,0.0001,200,13.3962
0.1296,0.0355,0.0000,0.0001,0.0940,0.0001,200,13.5305
0.1387,0.0391,0.0000,0.0000,0.0994,0.0001,200,13.6602
0.1341,0.0390,0.0000,0.0000,0.0949,0.0001,200,13.7989
0.1341,0.0391,0.0000,0.0001,0.0948,0.0001,200,13.9330
0.1359,0.0395,0.0000,0.0001,0.0962,0.0001,200,14.0671
0.1335,0.0394,0.0000,0.0001,0.0939,0.0001,200,14.2030
0.1287,0.0393,0.0000,0.0001,0.0893,0.0001,200,14.3365
0.1330,0.0394,0.0000,0.0001,0.0934,0.0001,200,14.4652
0.1326,0.0390,0.0000,0.0001,0.0935,0.0001,200,14.5982
0.1295,0.0392,0.0000,0.0001,0.0902,0.0001,200,14.7308
0.1318,0.0393,0.0000,0.0001,0.0924,0.0001,200,14.8604
0.1335,0.0392,0.0000,0.0001,0.0942,0.0001,200,14.9922
0.1320,0.0387,0.0000,0.0001,0.0931,0.0001,200,15.1258
0.1283,0.0391,0.0000,0.0001,0.0890,0.0001,200,15.2577
0.1355,0.0398,0.0000,0.0001,0.0956,0.0001,200,15.3860
0.1325,0.0392,0.0000,0.0001,0.0931,0.0001,200,15.5215
