response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0524,0.0399,0.0002,0.0001,0.0122,0.0001,200,0.0029
0.0529,0.0399,0.0000,0.0001,0.0128,0.0002,200,0.0553
0.0529,0.0390,0.0000,0.0000,0.0137,0.0001,200,0.1082
0.0531,0.0403,0.0000,0.0001,0.0127,0.0001,200,0.1611
0.0530,0.0399,0.0000,0.0000,0.0130,0.0001,200,0.2142
0.0637,0.0502,0.0000,0.0001,0.0134,0.0001,200,0.2672
0.0523,0.0399,0.0000,0.0001,0.0123,0.0001,200,0.3310
0.0518,0.0394,0.0000,0.0000,0.0123,0.0001,200,0.3833
0.0480,0.0393,0.0000,0.0000,0.0085,0.0001,200,0.4352
0.0515,0.0391,0.0000,0.0001,0.0123,0.0001,200,0.4832
0.0554,0.0395,0.0000,0.0001,0.0158,0.0001,200,0.5347
0.0523,0.0396,0.0000,0.0001,0.0125,0.0001,200,0.5901
0.0518,0.0395,0.0000,0.0001,0.0121,0.0001,200,0.6424
0.0529,0.0400,0.0000,0.0001,0.0127,0.0001,200,0.6943
0.0527,0.0397,0.0000,0.0000,0.0128,0.0001,200,0.7471
0.0589,0.0465,0.0000,0.0001,0.0122,0.0001,200,0.7998
0.0507,0.0385,0.0000,0.0000,0.0121,0.0001,200,0.8588
0.0497,0.0375,0.0000,0.0001,0.0120,0.0001,200,0.9095
0.0517,0.0393,0.0000,0.0000,0.0123,0.0001,200,0.9592
0.0517,0.0395,0.0000,0.0000,0.0121,0.0001,200,1.0109
0.0519,0.0395,0.0000,0.0001,0.0123,0.0001,200,1.0626
0.0507,0.0384,0.0000,0.0001,0.0121,0.0001,200,1.1145
0.0518,0.0394,0.0000,0.0000,0.0123,0.0001,200,1.1651
0.0518,0.0393,0.0000,0.0000,0.0124,0.0000,200,1.2169
0.0513,0.0391,0.0000,0.0000,0.0120,0.0001,200,1.2687
0.0532,0.0402,0.0000,0.0001,0.0128,0.0001,200,1.3200
0.0517,0.0394,0.0000,0.0001,0.0122,0.0001,200,1.3732
0.0524,0.0397,0.0000,0.0001,0.0125,0.0001,200,1.4249
0.0463,0.0339,0.0000,0.0001,0.0123,0.0001,200,1.4773
0.0522,0.0395,0.0001,0.0001,0.0125,0.0001,200,1.5236
0.0513,0.0390,0.0000,0.0001,0.0121,0.0001,200,1.5758
0.0498,0.0378,0.0000,0.0001,0.0119,0.0001,200,1.6272
0.0520,0.0397,0.0000,0.0001,0.0121,0.0001,200,1.6770
0.0517,0.0393,0.0000,0.0001,0.0123,0.0001,200,1.7290
0.0520,0.0393,0.0000,0.0001,0.0126,0.0000,200,1.7808
0.0436,0.0328,0.0001,0.0001,0.0107,0.0001,200,1.8328
0.0314,0.0245,0.0000,0.0000,0.0068,0.0001,200,1.8764
0.0301,0.0229,0.0000,0.0001,0.0070,0.0001,200,1.9078
0.0278,0.0214,0.0000,0.0001,0.0063,0.0001,200,1.9380
0.0314,0.0245,0.0000,0.0001,0.0068,0.0001,200,1.9658
0.0331,0.0209,0.0000,0.0001,0.0120,0.0001,200,1.9972
0.0511,0.0389,0.0000,0.0000,0.0121,0.0001,200,2.0303
0.0462,0.0339,0.0000,0.0001,0.0121,0.0001,200,2.0814
0.0511,0.0388,0.0000,0.0000,0.0121,0.0001,200,2.1276
0.0511,0.0387,0.0001,0.0000,0.0123,0.0001,200,2.1787
0.0525,0.0400,0.0000,0.0000,0.0123,0.0001,200,2.2298
0.0509,0.0386,0.0000,0.0000,0.0122,0.0001,200,2.2823
0.0514,0.0392,0.0000,0.0000,0.0121,0.0001,200,2.3332
0.0512,0.0389,0.0000,0.0000,0.0121,0.0001,200,2.3846
0.0515,0.0390,0.0000,0.0000,0.0123,0.0001,200,2.4358
0.0507,0.0384,0.0000,0.0000,0.0121,0.0001,200,2.4873
0.0519,0.0390,0.0000,0.0000,0.0127,0.0001,200,2.5380
0.0513,0.0390,0.0000,0.0000,0.0121,0.0001,200,2.5898
0.0519,0.0396,0.0000,0.0000,0.0123,0.0001,200,2.6411
0.0514,0.0391,0.0000,0.0000,0.0121,0.0001,200,2.6930
0.0511,0.0390,0.0000,0.0001,0.0120,0.0001,200,2.7444
0.0516,0.0394,0.0000,0.0000,0.0120,0.0001,200,2.7956
0.0509,0.0388,0.0000,0.0001,0.0120,0.0001,200,2.8472
0.0511,0.0388,0.0000,0.0001,0.0121,0.0001,200,2.8981
0.0500,0.0375,0.0000,0.0000,0.0123,0.0001,200,2.9491
0.0518,0.0395,0.0000,0.0001,0.0121,0.0001,200,2.9991
0.0516,0.0390,0.0000,0.0001,0.0125,0.0001,200,3.0508
0.0513,0.0390,0.0000,0.0000,0.0121,0.0001,200,3.1025
0.0512,0.0388,0.0000,0.0001,0.0121,0.0001,200,3.1538
0.0517,0.0394,0.0000,0.0001,0.0122,0.0001,200,3.2049
