response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0616,0.0406,0.0003,0.0001,0.0197,0.0011,200,0.0037
0.0610,0.0402,0.0000,0.0001,0.0195,0.0012,200,0.0653
0.0591,0.0391,0.0000,0.0000,0.0190,0.0009,200,0.1263
0.0606,0.0399,0.0000,0.0001,0.0193,0.0013,200,0.1854
0.0593,0.0393,0.0000,0.0000,0.0190,0.0009,200,0.2461
0.0602,0.0394,0.0000,0.0000,0.0191,0.0017,200,0.3053
0.0597,0.0392,0.0000,0.0000,0.0193,0.0012,200,0.3656
0.0593,0.0393,0.0000,0.0001,0.0191,0.0008,200,0.4253
0.0513,0.0392,0.0000,0.0000,0.0107,0.0013,200,0.4846
0.0607,0.0397,0.0000,0.0001,0.0196,0.0013,200,0.5359
0.0596,0.0390,0.0000,0.0001,0.0189,0.0016,200,0.5966
0.0608,0.0401,0.0000,0.0001,0.0193,0.0013,200,0.6562
0.0599,0.0394,0.0000,0.0001,0.0191,0.0013,200,0.7170
0.0596,0.0401,0.0000,0.0001,0.0186,0.0009,200,0.7769
0.0604,0.0406,0.0000,0.0000,0.0189,0.0008,200,0.8366
0.0590,0.0389,0.0000,0.0000,0.0191,0.0009,200,0.8969
0.0587,0.0392,0.0000,0.0001,0.0187,0.0008,200,0.9559
0.0594,0.0396,0.0000,0.0000,0.0187,0.0010,200,1.0147
0.0592,0.0392,0.0000,0.0001,0.0186,0.0013,200,1.0741
0.0588,0.0391,0.0000,0.0001,0.0187,0.0010,200,1.1332
0.0587,0.0390,0.0000,0.0000,0.0187,0.0009,200,1.1920
0.0591,0.0391,0.0000,0.0001,0.0192,0.0008,200,1.2508
0.0594,0.0397,0.0000,0.0000,0.0187,0.0009,200,1.3099
0.0599,0.0391,0.0000,0.0001,0.0190,0.0016,200,1.3693
0.0598,0.0400,0.0000,0.0000,0.0187,0.0010,200,1.4292
0.0515,0.0374,0.0000,0.0001,0.0132,0.0008,200,1.4890
0.0589,0.0390,0.0000,0.0001,0.0189,0.0009,200,1.5405
0.0578,0.0383,0.0000,0.0000,0.0187,0.0008,200,1.5994
0.0585,0.0385,0.0000,0.0001,0.0188,0.0010,200,1.6572
0.0589,0.0391,0.0000,0.0001,0.0188,0.0010,200,1.7157
0.0586,0.0389,0.0000,0.0000,0.0187,0.0009,200,1.7746
0.0600,0.0396,0.0000,0.0001,0.0186,0.0017,200,1.8332
0.0586,0.0392,0.0001,0.0001,0.0186,0.0007,200,1.8932
0.0599,0.0396,0.0000,0.0000,0.0190,0.0012,200,1.9518
0.0585,0.0389,0.0000,0.0001,0.0187,0.0008,200,2.0117
0.0596,0.0391,0.0000,0.0001,0.0188,0.0016,200,2.0702
0.0596,0.0398,0.0000,0.0001,0.0188,0.0008,200,2.1298
0.0595,0.0394,0.0000,0.0001,0.0185,0.0014,200,2.1894
0.0601,0.0395,0.0000,0.0001,0.0196,0.0010,200,2.2489
0.0593,0.0396,0.0000,0.0001,0.0188,0.0008,200,2.3090
0.0588,0.0392,0.0000,0.0000,0.0187,0.0009,200,2.3683
0.0595,0.0392,0.0000,0.0000,0.0189,0.0014,200,2.4271
0.0500,0.0391,0.0000,0.0001,0.0100,0.0008,200,2.4866
0.0592,0.0393,0.0000,0.0000,0.0189,0.0010,200,2.5366
0.0646,0.0445,0.0000,0.0001,0.0191,0.0009,200,2.5958
0.0593,0.0397,0.0000,0.0000,0.0188,0.0008,200,2.6604
0.0589,0.0391,0.0000,0.0000,0.0188,0.0009,200,2.7197
0.0585,0.0387,0.0000,0.0001,0.0189,0.0009,200,2.7786
0.0596,0.0397,0.0000,0.0001,0.0189,0.0010,200,2.8372
0.0596,0.0392,0.0000,0.0001,0.0195,0.0008,200,2.8968
0.0593,0.0393,0.0000,0.0001,0.0187,0.0012,200,2.9564
0.0712,0.0505,0.0000,0.0001,0.0192,0.0014,200,3.0157
0.0590,0.0392,0.0000,0.0001,0.0188,0.0009,200,3.0869
0.0591,0.0394,0.0000,0.0001,0.0188,0.0009,200,3.1459
0.0584,0.0390,0.0000,0.0001,0.0186,0.0007,200,3.2050
0.0592,0.0393,0.0000,0.0001,0.0190,0.0008,200,3.2634
0.0591,0.0392,0.0000,0.0001,0.0190,0.0008,200,3.3226
0.0589,0.0391,0.0000,0.0001,0.0188,0.0009,200,3.3817
0.0603,0.0397,0.0000,0.0001,0.0191,0.0014,200,3.4406
0.0510,0.0314,0.0000,0.0001,0.0186,0.0010,200,3.5009
0.0589,0.0391,0.0000,0.0001,0.0188,0.0010,200,3.5519
0.0589,0.0393,0.0000,0.0001,0.0188,0.0008,200,3.6108
0.0585,0.0390,0.0000,0.0000,0.0186,0.0009,200,3.6697
0.0587,0.0391,0.0000,0.0001,0.0187,0.0009,200,3.7282
0.0591,0.0391,0.0000,0.0000,0.0186,0.0014,200,3.7870
0.0596,0.0396,0.0000,0.0000,0.0186,0.0013,200,3.8461
0.0585,0.0392,0.0000,0.0000,0.0187,0.0007,200,3.9057
0.0675,0.0466,0.0000,0.0000,0.0195,0.0013,200,3.9643
0.0591,0.0395,0.0000,0.0001,0.0186,0.0009,200,4.0318
0.0593,0.0395,0.0000,0.0001,0.0188,0.0009,200,4.0909
0.0592,0.0391,0.0000,0.0001,0.0191,0.0010,200,4.1502
0.0584,0.0389,0.0000,0.0000,0.0186,0.0009,200,4.2094
0.0590,0.0390,0.0000,0.0000,0.0191,0.0008,200,4.2678
0.0592,0.0394,0.0000,0.0000,0.0189,0.0008,200,4.3268
0.0594,0.0392,0.0000,0.0001,0.0187,0.0014,200,4.3860
0.0593,0.0392,0.0000,0.0001,0.0191,0.0010,200,4.4454
0.0588,0.0390,0.0000,0.0001,0.0188,0.0009,200,4.5047
0.0589,0.0391,0.0000,0.0000,0.0190,0.0006,200,4.5635
0.0592,0.0394,0.0000,0.0001,0.0188,0.0008,200,4.6224
0.0589,0.0394,0.0000,0.0001,0.0186,0.0009,200,4.6815
0.0588,0.0392,0.0000,0.0001,0.0187,0.0008,200,4.7404
0.0590,0.0390,0.0000,0.0000,0.0191,0.0008,200,4.7992
0.0588,0.0390,0.0000,0.0001,0.0187,0.0010,200,4.8582
0.0588,0.0392,0.0000,0.0001,0.0187,0.0008,200,4.9170
0.0597,0.0398,0.0000,0.0001,0.0189,0.0009,200,4.9757
0.0589,0.0393,0.0000,0.0001,0.0187,0.0008,200,5.0354
0.0588,0.0392,0.0000,0.0001,0.0186,0.0009,200,5.0943
0.0594,0.0395,0.0000,0.0001,0.0189,0.0009,200,5.1531
0.0585,0.0389,0.0000,0.0000,0.0187,0.0008,200,5.2126
0.0587,0.0391,0.0000,0.0001,0.0187,0.0008,200,5.2710
0.0599,0.0395,0.0000,0.0000,0.0190,0.0014,200,5.3297
0.0593,0.0395,0.0000,0.0000,0.0188,0.0009,200,5.3896
0.0594,0.0392,0.0000,0.0001,0.0188,0.0013,200,5.4489
0.0590,0.0395,0.0000,0.0001,0.0187,0.0007,200,5.5083
0.0578,0.0390,0.0000,0.0001,0.0179,0.0009,200,5.5673
0.0594,0.0399,0.0000,0.0001,0.0187,0.0008,200,5.6251
0.0588,0.0392,0.0000,0.0001,0.0186,0.0009,200,5.6845
0.0589,0.0391,0.0000,0.0001,0.0188,0.0009,200,5.7434
0.0598,0.0396,0.0000,0.0001,0.0189,0.0013,200,5.8023
0.0588,0.0392,0.0000,0.0001,0.0188,0.0007,200,5.8621
0.0434,0.0275,0.0000,0.0001,0.0151,0.0007,200,5.9209
0.0405,0.0281,0.0000,0.0001,0.0116,0.0007,200,5.9643
0.0466,0.0308,0.0000,0.0001,0.0151,0.0007,200,6.0047
0.0402,0.0211,0.0000,0.0001,0.0184,0.0006,200,6.0513
0.0408,0.0213,0.0000,0.0001,0.0187,0.0007,200,6.0915
0.0600,0.0389,0.0000,0.0000,0.0201,0.0009,200,6.1323
0.0580,0.0388,0.0000,0.0001,0.0186,0.0006,200,6.1923
0.0580,0.0385,0.0000,0.0001,0.0185,0.0009,200,6.2503
0.0590,0.0390,0.0000,0.0000,0.0187,0.0011,200,6.3083
0.0589,0.0394,0.0000,0.0001,0.0188,0.0007,200,6.3673
0.0591,0.0392,0.0000,0.0001,0.0190,0.0009,200,6.4263
0.0595,0.0396,0.0000,0.0001,0.0189,0.0008,200,6.4854
0.0591,0.0393,0.0000,0.0001,0.0189,0.0008,200,6.5449
0.0589,0.0393,0.0000,0.0001,0.0189,0.0007,200,6.6040
0.0603,0.0403,0.0000,0.0001,0.0191,0.0008,200,6.6629
0.0574,0.0375,0.0000,0.0001,0.0189,0.0008,200,6.7232
0.0553,0.0393,0.0000,0.0001,0.0152,0.0008,200,6.7805
0.0556,0.0355,0.0000,0.0001,0.0186,0.0014,200,6.8359
0.0585,0.0389,0.0000,0.0001,0.0187,0.0007,200,6.8914
0.0590,0.0397,0.0000,0.0001,0.0185,0.0007,200,6.9499
0.0590,0.0395,0.0000,0.0001,0.0186,0.0008,200,7.0089
0.0582,0.0385,0.0000,0.0001,0.0188,0.0009,200,7.0679
0.0589,0.0392,0.0000,0.0001,0.0187,0.0009,200,7.1261
0.0589,0.0392,0.0000,0.0001,0.0187,0.0010,200,7.1851
0.0589,0.0394,0.0000,0.0001,0.0186,0.0008,200,7.2440
0.0597,0.0400,0.0000,0.0001,0.0187,0.0009,200,7.3029
0.0595,0.0393,0.0000,0.0001,0.0188,0.0013,200,7.3626
0.0583,0.0387,0.0000,0.0001,0.0186,0.0009,200,7.4222
0.0519,0.0392,0.0000,0.0001,0.0120,0.0007,200,7.4804
0.0392,0.0266,0.0000,0.0000,0.0119,0.0006,200,7.5324
0.0347,0.0222,0.0000,0.0001,0.0118,0.0007,200,7.5715
0.0317,0.0209,0.0000,0.0001,0.0100,0.0007,200,7.6063
0.0405,0.0211,0.0000,0.0001,0.0186,0.0007,200,7.6380
0.0410,0.0213,0.0000,0.0001,0.0188,0.0009,200,7.6785
0.0500,0.0298,0.0000,0.0000,0.0188,0.0013,200,7.7195
0.0602,0.0399,0.0000,0.0001,0.0188,0.0015,200,7.7695
0.0594,0.0396,0.0000,0.0001,0.0188,0.0009,200,7.8297
0.0598,0.0391,0.0000,0.0000,0.0193,0.0013,200,7.8891
0.0596,0.0399,0.0000,0.0001,0.0188,0.0008,200,7.9489
0.0596,0.0393,0.0000,0.0000,0.0189,0.0014,200,8.0085
0.0593,0.0397,0.0000,0.0001,0.0187,0.0007,200,8.0681
0.0583,0.0384,0.0000,0.0000,0.0190,0.0009,200,8.1274
0.0568,0.0366,0.0000,0.0001,0.0187,0.0014,200,8.1857
0.0596,0.0391,0.0000,0.0001,0.0194,0.0010,200,8.2425
0.0588,0.0384,0.0000,0.0001,0.0195,0.0008,200,8.3021
0.0577,0.0380,0.0000,0.0001,0.0187,0.0009,200,8.3608
0.0587,0.0391,0.0000,0.0000,0.0187,0.0009,200,8.4185
0.0530,0.0391,0.0000,0.0001,0.0130,0.0008,200,8.4772
0.0590,0.0388,0.0000,0.0000,0.0188,0.0014,200,8.5302
0.0577,0.0379,0.0000,0.0001,0.0190,0.0008,200,8.5892
0.0594,0.0395,0.0000,0.0001,0.0190,0.0008,200,8.6470
0.0592,0.0395,0.0000,0.0001,0.0188,0.0009,200,8.7064
0.0590,0.0393,0.0000,0.0000,0.0189,0.0007,200,8.7656
0.0590,0.0391,0.0000,0.0001,0.0189,0.0009,200,8.8246
0.0600,0.0391,0.0000,0.0001,0.0190,0.0018,200,8.8836
0.0589,0.0384,0.0000,0.0000,0.0190,0.0015,200,8.9435
0.0589,0.0392,0.0000,0.0000,0.0190,0.0007,200,9.0024
0.0581,0.0385,0.0000,0.0000,0.0186,0.0008,200,9.0613
0.0590,0.0392,0.0000,0.0001,0.0188,0.0009,200,9.1194
0.0590,0.0393,0.0000,0.0001,0.0189,0.0008,200,9.1784
0.0602,0.0402,0.0000,0.0001,0.0190,0.0009,200,9.2374
0.0596,0.0395,0.0000,0.0001,0.0192,0.0008,200,9.2976
0.0596,0.0393,0.0000,0.0000,0.0188,0.0014,200,9.3572
0.0590,0.0388,0.0000,0.0001,0.0187,0.0014,200,9.4168
0.0537,0.0392,0.0000,0.0000,0.0136,0.0008,200,9.4758
0.0592,0.0389,0.0000,0.0001,0.0188,0.0015,200,9.5295
0.0583,0.0390,0.0000,0.0001,0.0185,0.0008,200,9.5887
0.0585,0.0389,0.0000,0.0001,0.0187,0.0008,200,9.6470
0.0589,0.0393,0.0000,0.0000,0.0187,0.0008,200,9.7054
