response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0445,0.0401,0.0003,0.0001,0.0041,0.0001,200,0.0030
0.0432,0.0395,0.0000,0.0001,0.0035,0.0001,200,0.0475
0.0431,0.0395,0.0000,0.0000,0.0035,0.0001,200,0.0907
0.0427,0.0392,0.0000,0.0001,0.0033,0.0001,200,0.1338
0.0436,0.0399,0.0000,0.0000,0.0036,0.0001,200,0.1765
0.0440,0.0400,0.0000,0.0001,0.0039,0.0001,200,0.2202
0.0416,0.0380,0.0000,0.0001,0.0034,0.0001,200,0.2642
0.0427,0.0392,0.0000,0.0001,0.0033,0.0001,200,0.3058
0.0425,0.0390,0.0000,0.0001,0.0033,0.0001,200,0.3485
0.0427,0.0391,0.0000,0.0000,0.0035,0.0001,200,0.3910
0.0408,0.0368,0.0000,0.0001,0.0038,0.0001,200,0.4337
0.0312,0.0289,0.0000,0.0001,0.0021,0.0001,200,0.4745
0.0439,0.0400,0.0000,0.0000,0.0038,0.0001,200,0.5056
0.0419,0.0383,0.0000,0.0001,0.0034,0.0001,200,0.5496
0.0430,0.0393,0.0000,0.0001,0.0035,0.0001,200,0.5914
0.0424,0.0390,0.0000,0.0000,0.0033,0.0001,200,0.6344
0.0427,0.0392,0.0000,0.0001,0.0033,0.0001,200,0.6768
0.0424,0.0389,0.0000,0.0001,0.0033,0.0001,200,0.7195
0.0425,0.0390,0.0000,0.0001,0.0032,0.0001,200,0.7619
0.0426,0.0391,0.0000,0.0001,0.0033,0.0001,200,0.8044
0.0425,0.0391,0.0000,0.0000,0.0033,0.0001,200,0.8470
0.0423,0.0391,0.0000,0.0000,0.0030,0.0001,200,0.8895
0.0426,0.0392,0.0000,0.0000,0.0033,0.0001,200,0.9318
0.0413,0.0387,0.0000,0.0000,0.0024,0.0001,200,0.9744
0.0324,0.0303,0.0000,0.0001,0.0020,0.0001,200,1.0157
0.0246,0.0224,0.0000,0.0000,0.0020,0.0001,200,1.0481
0.0250,0.0227,0.0000,0.0001,0.0021,0.0001,200,1.0727
0.0230,0.0210,0.0000,0.0001,0.0018,0.0001,200,1.0977
0.0383,0.0351,0.0000,0.0001,0.0031,0.0001,200,1.1207
0.0399,0.0365,0.0000,0.0001,0.0032,0.0001,200,1.1591
0.0366,0.0331,0.0000,0.0000,0.0033,0.0001,200,1.1989
0.0328,0.0297,0.0000,0.0001,0.0030,0.0001,200,1.2355
0.0427,0.0393,0.0000,0.0000,0.0033,0.0001,200,1.2683
0.0426,0.0391,0.0000,0.0000,0.0033,0.0001,200,1.3110
0.0371,0.0337,0.0000,0.0001,0.0033,0.0001,200,1.3536
0.0426,0.0393,0.0000,0.0000,0.0032,0.0001,200,1.3907
0.0291,0.0269,0.0000,0.0000,0.0020,0.0001,200,1.4333
0.0301,0.0268,0.0000,0.0001,0.0032,0.0001,200,1.4624
0.0427,0.0393,0.0000,0.0001,0.0032,0.0001,200,1.4925
0.0418,0.0385,0.0001,0.0001,0.0031,0.0001,200,1.5352
0.0391,0.0359,0.0000,0.0001,0.0030,0.0001,200,1.5770
0.0425,0.0391,0.0000,0.0001,0.0032,0.0001,200,1.6161
0.0423,0.0390,0.0000,0.0001,0.0031,0.0001,200,1.6585
0.0533,0.0391,0.0000,0.0000,0.0140,0.0001,200,1.7008
0.0433,0.0400,0.0000,0.0001,0.0031,0.0001,200,1.7541
0.0395,0.0364,0.0000,0.0000,0.0030,0.0001,200,1.7973
0.0426,0.0392,0.0000,0.0001,0.0033,0.0001,200,1.8369
0.0423,0.0391,0.0000,0.0000,0.0031,0.0001,200,1.8795
0.0425,0.0392,0.0000,0.0000,0.0032,0.0001,200,1.9218
0.0424,0.0390,0.0000,0.0001,0.0032,0.0001,200,1.9643
0.0425,0.0391,0.0000,0.0001,0.0033,0.0001,200,2.0067
0.0425,0.0391,0.0000,0.0001,0.0032,0.0001,200,2.0492
0.0429,0.0394,0.0000,0.0000,0.0033,0.0001,200,2.0917
0.0424,0.0391,0.0000,0.0001,0.0032,0.0001,200,2.1345
0.0424,0.0390,0.0000,0.0000,0.0033,0.0001,200,2.1769
0.0426,0.0392,0.0000,0.0001,0.0032,0.0001,200,2.2194
