response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0444,0.0405,0.0002,0.0001,0.0035,0.0001,200,0.0024
0.0435,0.0402,0.0000,0.0001,0.0031,0.0001,200,0.0468
0.0424,0.0395,0.0000,0.0000,0.0027,0.0001,200,0.0902
0.0411,0.0384,0.0000,0.0001,0.0026,0.0001,200,0.1327
0.0431,0.0397,0.0000,0.0001,0.0032,0.0001,200,0.1738
0.0417,0.0390,0.0000,0.0000,0.0026,0.0001,200,0.2169
0.0431,0.0397,0.0000,0.0001,0.0031,0.0001,200,0.2586
0.0422,0.0394,0.0000,0.0001,0.0027,0.0001,200,0.3016
0.0432,0.0398,0.0000,0.0001,0.0032,0.0001,200,0.3438
0.0420,0.0390,0.0000,0.0000,0.0029,0.0001,200,0.3870
0.0424,0.0394,0.0000,0.0001,0.0028,0.0001,200,0.4290
0.0420,0.0392,0.0000,0.0001,0.0026,0.0001,200,0.4714
0.0426,0.0397,0.0000,0.0001,0.0028,0.0001,200,0.5133
0.0423,0.0393,0.0000,0.0001,0.0028,0.0001,200,0.5560
0.0420,0.0392,0.0000,0.0001,0.0026,0.0001,200,0.5983
0.0423,0.0393,0.0000,0.0000,0.0028,0.0001,200,0.6402
0.0428,0.0396,0.0000,0.0001,0.0031,0.0001,200,0.6826
0.0420,0.0393,0.0000,0.0000,0.0025,0.0001,200,0.7254
0.0399,0.0372,0.0000,0.0001,0.0025,0.0001,200,0.7674
0.0370,0.0344,0.0000,0.0001,0.0024,0.0001,200,0.8073
0.0422,0.0393,0.0000,0.0001,0.0027,0.0001,200,0.8443
0.0424,0.0396,0.0001,0.0001,0.0026,0.0001,200,0.8866
0.0426,0.0396,0.0000,0.0000,0.0028,0.0001,200,0.9290
0.0408,0.0379,0.0000,0.0000,0.0027,0.0001,200,0.9716
0.0367,0.0340,0.0000,0.0000,0.0025,0.0001,200,1.0124
0.0419,0.0393,0.0000,0.0001,0.0026,0.0000,200,1.0492
0.0408,0.0382,0.0000,0.0001,0.0024,0.0001,200,1.0911
0.0368,0.0340,0.0000,0.0000,0.0026,0.0001,200,1.1319
0.0377,0.0352,0.0000,0.0001,0.0024,0.0001,200,1.1686
0.0396,0.0369,0.0001,0.0000,0.0025,0.0001,200,1.2064
0.0419,0.0392,0.0000,0.0001,0.0026,0.0001,200,1.2460
0.0419,0.0391,0.0000,0.0001,0.0026,0.0001,200,1.2879
0.0419,0.0391,0.0000,0.0000,0.0027,0.0001,200,1.3298
0.0422,0.0394,0.0000,0.0001,0.0026,0.0001,200,1.3717
0.0421,0.0392,0.0000,0.0000,0.0027,0.0001,200,1.4139
0.0401,0.0372,0.0000,0.0001,0.0027,0.0001,200,1.4561
0.0387,0.0361,0.0000,0.0000,0.0025,0.0001,200,1.4962
0.0420,0.0392,0.0000,0.0001,0.0026,0.0001,200,1.5349
0.0420,0.0392,0.0000,0.0001,0.0026,0.0001,200,1.5770
0.0483,0.0456,0.0000,0.0001,0.0026,0.0001,200,1.6190
0.0421,0.0394,0.0000,0.0000,0.0026,0.0001,200,1.6673
0.0423,0.0395,0.0000,0.0001,0.0026,0.0001,200,1.7094
0.0419,0.0392,0.0000,0.0001,0.0025,0.0001,200,1.7517
0.0422,0.0394,0.0000,0.0000,0.0026,0.0001,200,1.7936
0.0422,0.0393,0.0000,0.0001,0.0026,0.0001,200,1.8358
0.0330,0.0301,0.0000,0.0001,0.0027,0.0001,200,1.8779
0.0419,0.0391,0.0000,0.0001,0.0027,0.0001,200,1.9109
0.0423,0.0396,0.0000,0.0001,0.0025,0.0001,200,1.9528
0.0421,0.0393,0.0000,0.0001,0.0026,0.0001,200,1.9951
0.0420,0.0392,0.0000,0.0000,0.0026,0.0001,200,2.0372
0.0419,0.0393,0.0000,0.0001,0.0025,0.0001,200,2.0792
0.0418,0.0392,0.0000,0.0001,0.0024,0.0001,200,2.1211
0.0417,0.0390,0.0000,0.0001,0.0025,0.0001,200,2.1629
0.0419,0.0392,0.0000,0.0000,0.0026,0.0001,200,2.2046
