response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0885,0.0402,0.0004,0.0001,0.0480,0.0001,200,0.0032
0.0780,0.0392,0.0000,0.0001,0.0386,0.0001,200,0.0917
0.0795,0.0394,0.0000,0.0001,0.0400,0.0001,200,0.1697
0.0765,0.0400,0.0000,0.0001,0.0363,0.0001,200,0.2492
0.1021,0.0402,0.0000,0.0001,0.0617,0.0001,200,0.3257
0.0780,0.0401,0.0000,0.0001,0.0378,0.0001,200,0.4278
0.0903,0.0403,0.0000,0.0001,0.0498,0.0001,200,0.5059
0.0778,0.0399,0.0000,0.0000,0.0377,0.0001,200,0.5962
0.0960,0.0393,0.0000,0.0001,0.0566,0.0001,200,0.6739
0.0792,0.0398,0.0000,0.0001,0.0392,0.0001,200,0.7700
0.0827,0.0393,0.0000,0.0001,0.0432,0.0001,200,0.8492
0.0781,0.0396,0.0000,0.0001,0.0384,0.0001,200,0.9318
0.0840,0.0392,0.0000,0.0001,0.0446,0.0001,200,1.0100
0.0781,0.0390,0.0000,0.0000,0.0389,0.0001,200,1.0939
0.0840,0.0395,0.0000,0.0000,0.0443,0.0001,200,1.1720
0.0839,0.0389,0.0000,0.0000,0.0448,0.0001,200,1.2560
0.0841,0.0390,0.0000,0.0001,0.0450,0.0001,200,1.3399
0.0839,0.0392,0.0000,0.0001,0.0445,0.0001,200,1.4240
0.0722,0.0368,0.0000,0.0000,0.0352,0.0001,200,1.5079
0.0782,0.0394,0.0000,0.0001,0.0386,0.0000,200,1.5802
0.0836,0.0390,0.0000,0.0000,0.0444,0.0001,200,1.6583
0.0842,0.0391,0.0000,0.0001,0.0449,0.0000,200,1.7419
0.0781,0.0395,0.0000,0.0000,0.0385,0.0000,200,1.8261
0.0839,0.0403,0.0000,0.0001,0.0434,0.0001,200,1.9042
0.0841,0.0397,0.0000,0.0001,0.0442,0.0001,200,1.9881
0.0853,0.0394,0.0000,0.0001,0.0458,0.0001,200,2.0722
0.0824,0.0394,0.0000,0.0001,0.0428,0.0001,200,2.1575
0.0841,0.0392,0.0000,0.0000,0.0447,0.0001,200,2.2399
0.0838,0.0392,0.0000,0.0001,0.0445,0.0001,200,2.3240
0.0784,0.0396,0.0000,0.0001,0.0387,0.0001,200,2.4078
0.0851,0.0390,0.0000,0.0000,0.0460,0.0001,200,2.4862
0.0766,0.0392,0.0000,0.0000,0.0373,0.0001,200,2.5713
