response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0445,0.0402,0.0002,0.0001,0.0041,0.0001,200,0.0029
0.0443,0.0405,0.0000,0.0001,0.0037,0.0001,200,0.0474
0.0417,0.0392,0.0001,0.0000,0.0024,0.0000,200,0.0917
0.0423,0.0386,0.0000,0.0000,0.0035,0.0001,200,0.1334
0.0412,0.0378,0.0000,0.0000,0.0033,0.0001,200,0.1757
0.0427,0.0393,0.0000,0.0000,0.0033,0.0001,200,0.2169
0.0425,0.0390,0.0000,0.0000,0.0033,0.0001,200,0.2597
0.0436,0.0397,0.0000,0.0000,0.0038,0.0000,200,0.3021
0.0424,0.0390,0.0000,0.0000,0.0033,0.0000,200,0.3458
0.0428,0.0393,0.0000,0.0000,0.0033,0.0001,200,0.3881
0.0465,0.0428,0.0000,0.0000,0.0036,0.0001,200,0.4309
0.0430,0.0395,0.0000,0.0000,0.0033,0.0000,200,0.4774
0.0426,0.0393,0.0000,0.0001,0.0031,0.0001,200,0.5203
0.0425,0.0390,0.0000,0.0000,0.0034,0.0001,200,0.5629
0.0424,0.0390,0.0000,0.0001,0.0033,0.0000,200,0.6054
0.0428,0.0394,0.0000,0.0001,0.0032,0.0001,200,0.6478
0.0426,0.0391,0.0000,0.0000,0.0033,0.0001,200,0.6906
0.0427,0.0392,0.0000,0.0000,0.0033,0.0001,200,0.7332
0.0406,0.0373,0.0000,0.0000,0.0032,0.0001,200,0.7759
0.0332,0.0301,0.0000,0.0000,0.0030,0.0001,200,0.8165
0.0430,0.0389,0.0000,0.0000,0.0039,0.0001,200,0.8498
0.0414,0.0378,0.0000,0.0001,0.0034,0.0001,200,0.8928
0.0425,0.0391,0.0000,0.0001,0.0032,0.0001,200,0.9342
0.0335,0.0301,0.0000,0.0000,0.0032,0.0001,200,0.9767
0.0424,0.0390,0.0000,0.0001,0.0033,0.0001,200,1.0101
0.0425,0.0391,0.0000,0.0000,0.0033,0.0001,200,1.0526
