response-time,status-code,test_name,batch
0.0579,200,aes,openfaas
0.0569,200,aes,openfaas
0.0493,200,aes,openfaas
0.0571,200,aes,openfaas
0.0554,200,aes,openfaas
0.0578,200,aes,openfaas
0.0566,200,aes,openfaas
0.0579,200,aes,openfaas
0.0575,200,aes,openfaas
0.0562,200,aes,openfaas
0.0592,200,aes,openfaas
0.0591,200,aes,openfaas
0.059,200,aes,openfaas
0.058,200,aes,openfaas
0.0595,200,aes,openfaas
0.0574,200,aes,openfaas
0.0584,200,aes,openfaas
0.0566,200,aes,openfaas
0.0596,200,aes,openfaas
0.0596,200,aes,openfaas
0.0605,200,aes,openfaas
0.0596,200,aes,openfaas
0.0579,200,aes,openfaas
0.0572,200,aes,openfaas
0.0581,200,aes,openfaas
0.0594,200,aes,openfaas
0.0596,200,aes,openfaas
0.0593,200,aes,openfaas
0.0593,200,aes,openfaas
0.0599,200,aes,openfaas
0.0612,200,aes,openfaas
0.0569,200,aes,openfaas
0.0586,200,aes,openfaas
0.0595,200,aes,openfaas
0.0571,200,aes,openfaas
0.0666,200,aes,openfaas
0.0605,200,aes,openfaas
0.0601,200,aes,openfaas
0.0593,200,aes,openfaas
0.0564,200,aes,openfaas
0.0605,200,aes,openfaas
0.0577,200,aes,openfaas
0.0583,200,aes,openfaas
0.058,200,aes,openfaas
0.0594,200,aes,openfaas
0.0584,200,aes,openfaas
0.0591,200,aes,openfaas
0.0438,200,aes,openfaas
0.0603,200,aes,openfaas
0.0584,200,aes,openfaas
0.06,200,aes,openfaas
0.0593,200,aes,openfaas
0.0401,200,aes,openfaas
0.0617,200,aes,openfaas
0.0577,200,aes,openfaas
0.0596,200,aes,openfaas
0.0588,200,aes,openfaas
0.0558,200,aes,openfaas
0.0607,200,aes,openfaas
0.0586,200,aes,openfaas
0.0592,200,aes,openfaas
0.0535,200,aes,openfaas
0.0585,200,aes,openfaas
0.0597,200,aes,openfaas
0.0586,200,aes,openfaas
0.0602,200,aes,openfaas
0.0592,200,aes,openfaas
0.049,200,aes,openfaas
0.0561,200,aes,openfaas
0.0606,200,aes,openfaas
0.0594,200,aes,openfaas
0.0608,200,aes,openfaas
0.0582,200,aes,openfaas
0.0596,200,aes,openfaas
0.0636,200,aes,openfaas
0.0578,200,aes,openfaas
0.0602,200,aes,openfaas
0.0582,200,aes,openfaas
0.0578,200,aes,openfaas
0.056,200,aes,openfaas
0.0635,200,aes,openfaas
0.0618,200,aes,openfaas
0.0593,200,aes,openfaas
0.0439,200,aes,openfaas
0.0576,200,aes,openfaas
0.0626,200,aes,openfaas
0.0587,200,aes,openfaas
0.048,200,aes,openfaas
0.0595,200,aes,openfaas
0.0599,200,aes,openfaas
0.0585,200,aes,openfaas
0.0584,200,aes,openfaas
0.0586,200,aes,openfaas
0.046,200,aes,openfaas
0.0582,200,aes,openfaas
0.0578,200,aes,openfaas
0.0612,200,aes,openfaas
0.0585,200,aes,openfaas
0.0575,200,aes,openfaas
0.0607,200,aes,openfaas
