response-time,status-code,test_name,batch
0.0458,200,float-operation,openfaas
0.0455,200,float-operation,openfaas
0.0453,200,float-operation,openfaas
0.0456,200,float-operation,openfaas
0.0461,200,float-operation,openfaas
0.0451,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.0453,200,float-operation,openfaas
0.0457,200,float-operation,openfaas
0.0449,200,float-operation,openfaas
0.0464,200,float-operation,openfaas
0.0453,200,float-operation,openfaas
0.0459,200,float-operation,openfaas
0.0465,200,float-operation,openfaas
0.0461,200,float-operation,openfaas
0.0479,200,float-operation,openfaas
0.0459,200,float-operation,openfaas
0.0459,200,float-operation,openfaas
0.0453,200,float-operation,openfaas
0.0456,200,float-operation,openfaas
0.0458,200,float-operation,openfaas
0.0458,200,float-operation,openfaas
0.0457,200,float-operation,openfaas
0.0457,200,float-operation,openfaas
0.0462,200,float-operation,openfaas
0.0459,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.0459,200,float-operation,openfaas
0.0453,200,float-operation,openfaas
0.0461,200,float-operation,openfaas
0.0452,200,float-operation,openfaas
0.0462,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.0455,200,float-operation,openfaas
0.0453,200,float-operation,openfaas
0.0452,200,float-operation,openfaas
0.0458,200,float-operation,openfaas
0.0455,200,float-operation,openfaas
0.0459,200,float-operation,openfaas
0.0459,200,float-operation,openfaas
0.0466,200,float-operation,openfaas
0.0483,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.0445,200,float-operation,openfaas
0.0457,200,float-operation,openfaas
0.045,200,float-operation,openfaas
0.0456,200,float-operation,openfaas
0.0461,200,float-operation,openfaas
0.0456,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.0454,200,float-operation,openfaas
0.0454,200,float-operation,openfaas
0.0462,200,float-operation,openfaas
0.0457,200,float-operation,openfaas
0.0457,200,float-operation,openfaas
0.0462,200,float-operation,openfaas
0.0454,200,float-operation,openfaas
0.0457,200,float-operation,openfaas
0.0315,200,float-operation,openfaas
0.0459,200,float-operation,openfaas
0.0454,200,float-operation,openfaas
0.0453,200,float-operation,openfaas
0.0459,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.0465,200,float-operation,openfaas
0.0465,200,float-operation,openfaas
0.0452,200,float-operation,openfaas
0.0448,200,float-operation,openfaas
0.035,200,float-operation,openfaas
0.0466,200,float-operation,openfaas
0.0449,200,float-operation,openfaas
0.0458,200,float-operation,openfaas
0.0465,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.0449,200,float-operation,openfaas
0.0453,200,float-operation,openfaas
0.0453,200,float-operation,openfaas
0.045,200,float-operation,openfaas
0.0469,200,float-operation,openfaas
0.0465,200,float-operation,openfaas
0.0455,200,float-operation,openfaas
0.0459,200,float-operation,openfaas
0.0456,200,float-operation,openfaas
0.0451,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.0454,200,float-operation,openfaas
0.0474,200,float-operation,openfaas
0.0454,200,float-operation,openfaas
0.0461,200,float-operation,openfaas
0.0458,200,float-operation,openfaas
0.045,200,float-operation,openfaas
0.0453,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.0464,200,float-operation,openfaas
0.0473,200,float-operation,openfaas
0.047,200,float-operation,openfaas
0.0504,200,float-operation,openfaas
0.0468,200,float-operation,openfaas
0.0455,200,float-operation,openfaas
