response-time,status-code,test_name,batch
0.1405,200,fuzzysearch,openfaas
0.1411,200,fuzzysearch,openfaas
0.13,200,fuzzysearch,openfaas
0.4404,200,fuzzysearch,openfaas
0.1358,200,fuzzysearch,openfaas
0.138,200,fuzzysearch,openfaas
0.1369,200,fuzzysearch,openfaas
0.1351,200,fuzzysearch,openfaas
0.1339,200,fuzzysearch,openfaas
0.1423,200,fuzzysearch,openfaas
0.1335,200,fuzzysearch,openfaas
0.1335,200,fuzzysearch,openfaas
0.1381,200,fuzzysearch,openfaas
0.1313,200,fuzzysearch,openfaas
0.1334,200,fuzzysearch,openfaas
0.1319,200,fuzzysearch,openfaas
0.1373,200,fuzzysearch,openfaas
0.1278,200,fuzzysearch,openfaas
0.1334,200,fuzzysearch,openfaas
0.1678,200,fuzzysearch,openfaas
0.1349,200,fuzzysearch,openfaas
0.1364,200,fuzzysearch,openfaas
0.4129,200,fuzzysearch,openfaas
0.1312,200,fuzzysearch,openfaas
0.1274,200,fuzzysearch,openfaas
0.1344,200,fuzzysearch,openfaas
0.1383,200,fuzzysearch,openfaas
0.1402,200,fuzzysearch,openfaas
0.1407,200,fuzzysearch,openfaas
0.1395,200,fuzzysearch,openfaas
0.1321,200,fuzzysearch,openfaas
0.1346,200,fuzzysearch,openfaas
0.1047,200,fuzzysearch,openfaas
0.138,200,fuzzysearch,openfaas
0.1415,200,fuzzysearch,openfaas
0.1391,200,fuzzysearch,openfaas
0.1011,200,fuzzysearch,openfaas
0.1328,200,fuzzysearch,openfaas
0.1343,200,fuzzysearch,openfaas
0.1229,200,fuzzysearch,openfaas
0.1319,200,fuzzysearch,openfaas
0.4334,200,fuzzysearch,openfaas
0.1409,200,fuzzysearch,openfaas
0.1352,200,fuzzysearch,openfaas
0.1453,200,fuzzysearch,openfaas
0.1352,200,fuzzysearch,openfaas
0.12,200,fuzzysearch,openfaas
0.1301,200,fuzzysearch,openfaas
0.1427,200,fuzzysearch,openfaas
0.1233,200,fuzzysearch,openfaas
0.1307,200,fuzzysearch,openfaas
0.1402,200,fuzzysearch,openfaas
0.1409,200,fuzzysearch,openfaas
0.1351,200,fuzzysearch,openfaas
0.141,200,fuzzysearch,openfaas
0.1406,200,fuzzysearch,openfaas
0.1394,200,fuzzysearch,openfaas
0.1406,200,fuzzysearch,openfaas
0.1275,200,fuzzysearch,openfaas
0.1256,200,fuzzysearch,openfaas
0.4069,200,fuzzysearch,openfaas
0.3884,200,fuzzysearch,openfaas
0.133,200,fuzzysearch,openfaas
0.1292,200,fuzzysearch,openfaas
0.1322,200,fuzzysearch,openfaas
0.1393,200,fuzzysearch,openfaas
0.1307,200,fuzzysearch,openfaas
0.1134,200,fuzzysearch,openfaas
0.1294,200,fuzzysearch,openfaas
0.1393,200,fuzzysearch,openfaas
0.1372,200,fuzzysearch,openfaas
0.1349,200,fuzzysearch,openfaas
0.1398,200,fuzzysearch,openfaas
0.1344,200,fuzzysearch,openfaas
0.128,200,fuzzysearch,openfaas
0.1282,200,fuzzysearch,openfaas
0.126,200,fuzzysearch,openfaas
0.1314,200,fuzzysearch,openfaas
0.1392,200,fuzzysearch,openfaas
0.4369,200,fuzzysearch,openfaas
0.3899,200,fuzzysearch,openfaas
0.1234,200,fuzzysearch,openfaas
0.1369,200,fuzzysearch,openfaas
0.131,200,fuzzysearch,openfaas
0.1328,200,fuzzysearch,openfaas
0.1349,200,fuzzysearch,openfaas
0.1363,200,fuzzysearch,openfaas
0.1387,200,fuzzysearch,openfaas
0.1377,200,fuzzysearch,openfaas
0.1329,200,fuzzysearch,openfaas
0.1401,200,fuzzysearch,openfaas
0.136,200,fuzzysearch,openfaas
0.13,200,fuzzysearch,openfaas
0.1298,200,fuzzysearch,openfaas
0.1335,200,fuzzysearch,openfaas
0.1282,200,fuzzysearch,openfaas
0.1351,200,fuzzysearch,openfaas
0.1355,200,fuzzysearch,openfaas
0.3827,200,fuzzysearch,openfaas
0.3713,200,fuzzysearch,openfaas
