response-time,status-code,test_name,batch
0.0474,200,linear-equations,openfaas
0.0477,200,linear-equations,openfaas
0.0487,200,linear-equations,openfaas
0.0482,200,linear-equations,openfaas
0.0473,200,linear-equations,openfaas
0.049,200,linear-equations,openfaas
0.0488,200,linear-equations,openfaas
0.0477,200,linear-equations,openfaas
0.0464,200,linear-equations,openfaas
0.0479,200,linear-equations,openfaas
0.0482,200,linear-equations,openfaas
0.0484,200,linear-equations,openfaas
0.0482,200,linear-equations,openfaas
0.0475,200,linear-equations,openfaas
0.0477,200,linear-equations,openfaas
0.0488,200,linear-equations,openfaas
0.049,200,linear-equations,openfaas
0.0488,200,linear-equations,openfaas
0.0412,200,linear-equations,openfaas
0.0479,200,linear-equations,openfaas
0.0486,200,linear-equations,openfaas
0.0485,200,linear-equations,openfaas
0.0477,200,linear-equations,openfaas
0.0491,200,linear-equations,openfaas
0.0482,200,linear-equations,openfaas
0.0397,200,linear-equations,openfaas
0.0485,200,linear-equations,openfaas
0.0482,200,linear-equations,openfaas
0.0344,200,linear-equations,openfaas
0.0478,200,linear-equations,openfaas
0.0478,200,linear-equations,openfaas
0.0488,200,linear-equations,openfaas
0.0491,200,linear-equations,openfaas
0.0488,200,linear-equations,openfaas
0.0479,200,linear-equations,openfaas
0.0482,200,linear-equations,openfaas
0.0484,200,linear-equations,openfaas
0.0479,200,linear-equations,openfaas
0.0474,200,linear-equations,openfaas
0.0488,200,linear-equations,openfaas
0.0479,200,linear-equations,openfaas
0.0489,200,linear-equations,openfaas
0.0489,200,linear-equations,openfaas
0.0483,200,linear-equations,openfaas
0.0479,200,linear-equations,openfaas
0.0496,200,linear-equations,openfaas
0.0483,200,linear-equations,openfaas
0.0488,200,linear-equations,openfaas
0.049,200,linear-equations,openfaas
0.0487,200,linear-equations,openfaas
0.0476,200,linear-equations,openfaas
0.0489,200,linear-equations,openfaas
0.0484,200,linear-equations,openfaas
0.0473,200,linear-equations,openfaas
0.0474,200,linear-equations,openfaas
0.0483,200,linear-equations,openfaas
0.0502,200,linear-equations,openfaas
0.0479,200,linear-equations,openfaas
0.0485,200,linear-equations,openfaas
0.0485,200,linear-equations,openfaas
0.0484,200,linear-equations,openfaas
0.0485,200,linear-equations,openfaas
0.0475,200,linear-equations,openfaas
0.0482,200,linear-equations,openfaas
0.0486,200,linear-equations,openfaas
0.0471,200,linear-equations,openfaas
0.0476,200,linear-equations,openfaas
0.0483,200,linear-equations,openfaas
0.0482,200,linear-equations,openfaas
0.0486,200,linear-equations,openfaas
0.0483,200,linear-equations,openfaas
0.0481,200,linear-equations,openfaas
0.0477,200,linear-equations,openfaas
0.0471,200,linear-equations,openfaas
0.0347,200,linear-equations,openfaas
0.0483,200,linear-equations,openfaas
0.0489,200,linear-equations,openfaas
0.0485,200,linear-equations,openfaas
0.0296,200,linear-equations,openfaas
0.0489,200,linear-equations,openfaas
0.0476,200,linear-equations,openfaas
0.048,200,linear-equations,openfaas
0.0487,200,linear-equations,openfaas
0.0411,200,linear-equations,openfaas
0.0441,200,linear-equations,openfaas
0.0495,200,linear-equations,openfaas
0.0485,200,linear-equations,openfaas
0.0487,200,linear-equations,openfaas
0.0486,200,linear-equations,openfaas
0.0475,200,linear-equations,openfaas
0.0484,200,linear-equations,openfaas
0.0485,200,linear-equations,openfaas
0.048,200,linear-equations,openfaas
0.0574,200,linear-equations,openfaas
0.0483,200,linear-equations,openfaas
0.0361,200,linear-equations,openfaas
0.0484,200,linear-equations,openfaas
0.048,200,linear-equations,openfaas
0.0483,200,linear-equations,openfaas
0.0485,200,linear-equations,openfaas
