response-time,status-code,test_name,batch
0.0518,200,matmul,openfaas
0.0531,200,matmul,openfaas
0.0512,200,matmul,openfaas
0.0316,200,matmul,openfaas
0.0528,200,matmul,openfaas
0.0498,200,matmul,openfaas
0.0522,200,matmul,openfaas
0.0495,200,matmul,openfaas
0.0522,200,matmul,openfaas
0.0511,200,matmul,openfaas
0.0341,200,matmul,openfaas
0.0498,200,matmul,openfaas
0.0504,200,matmul,openfaas
0.0496,200,matmul,openfaas
0.0506,200,matmul,openfaas
0.0514,200,matmul,openfaas
0.0499,200,matmul,openfaas
0.0535,200,matmul,openfaas
0.0503,200,matmul,openfaas
0.051,200,matmul,openfaas
0.0502,200,matmul,openfaas
0.0502,200,matmul,openfaas
0.0502,200,matmul,openfaas
0.0528,200,matmul,openfaas
0.0295,200,matmul,openfaas
0.0504,200,matmul,openfaas
0.0509,200,matmul,openfaas
0.0497,200,matmul,openfaas
0.051,200,matmul,openfaas
0.0499,200,matmul,openfaas
0.0498,200,matmul,openfaas
0.0493,200,matmul,openfaas
0.0503,200,matmul,openfaas
0.0491,200,matmul,openfaas
0.052,200,matmul,openfaas
0.0514,200,matmul,openfaas
0.0503,200,matmul,openfaas
0.0498,200,matmul,openfaas
0.0506,200,matmul,openfaas
0.052,200,matmul,openfaas
0.0509,200,matmul,openfaas
0.0518,200,matmul,openfaas
0.0494,200,matmul,openfaas
0.0511,200,matmul,openfaas
0.0502,200,matmul,openfaas
0.0503,200,matmul,openfaas
0.0437,200,matmul,openfaas
0.0499,200,matmul,openfaas
0.0505,200,matmul,openfaas
0.0499,200,matmul,openfaas
0.0445,200,matmul,openfaas
0.0506,200,matmul,openfaas
0.0498,200,matmul,openfaas
0.0497,200,matmul,openfaas
0.0492,200,matmul,openfaas
0.0509,200,matmul,openfaas
0.0495,200,matmul,openfaas
0.0503,200,matmul,openfaas
0.05,200,matmul,openfaas
0.0502,200,matmul,openfaas
0.0513,200,matmul,openfaas
0.05,200,matmul,openfaas
0.0502,200,matmul,openfaas
0.0502,200,matmul,openfaas
0.0503,200,matmul,openfaas
0.0497,200,matmul,openfaas
0.0507,200,matmul,openfaas
0.0504,200,matmul,openfaas
0.0511,200,matmul,openfaas
0.0507,200,matmul,openfaas
0.051,200,matmul,openfaas
0.0506,200,matmul,openfaas
0.05,200,matmul,openfaas
0.0506,200,matmul,openfaas
0.0503,200,matmul,openfaas
0.0587,200,matmul,openfaas
0.0508,200,matmul,openfaas
0.052,200,matmul,openfaas
0.0501,200,matmul,openfaas
0.0497,200,matmul,openfaas
0.0512,200,matmul,openfaas
0.051,200,matmul,openfaas
0.0508,200,matmul,openfaas
0.0508,200,matmul,openfaas
0.0509,200,matmul,openfaas
0.0501,200,matmul,openfaas
0.0506,200,matmul,openfaas
0.0501,200,matmul,openfaas
0.0505,200,matmul,openfaas
0.0511,200,matmul,openfaas
0.0497,200,matmul,openfaas
0.0515,200,matmul,openfaas
0.0504,200,matmul,openfaas
0.0513,200,matmul,openfaas
0.0513,200,matmul,openfaas
0.0505,200,matmul,openfaas
0.0506,200,matmul,openfaas
0.0525,200,matmul,openfaas
0.0515,200,matmul,openfaas
0.0517,200,matmul,openfaas
