response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0579,0.0394,0.0003,0.0001,0.0107,0.0077,200,0.0003
0.0569,0.0395,0.0003,0.0001,0.0107,0.0066,200,0.0002
0.0493,0.0305,0.0004,0.0001,0.0107,0.0080,200,0.0002
0.0571,0.0397,0.0005,0.0001,0.0098,0.0075,200,0.0003
0.0554,0.0364,0.0003,0.0001,0.0095,0.0093,200,0.0003
0.0578,0.0399,0.0004,0.0001,0.0107,0.0072,200,0.0003
0.0566,0.0398,0.0003,0.0001,0.0101,0.0065,200,0.0003
0.0579,0.0401,0.0004,0.0001,0.0107,0.0069,200,0.0002
0.0575,0.0397,0.0004,0.0001,0.0119,0.0058,200,0.0002
0.0562,0.0392,0.0003,0.0001,0.0110,0.0058,200,0.0002
0.0592,0.0394,0.0003,0.0001,0.0096,0.0099,200,0.0002
0.0591,0.0398,0.0004,0.0001,0.0118,0.0074,200,0.0002
0.0590,0.0402,0.0004,0.0001,0.0113,0.0072,200,0.0002
0.0580,0.0398,0.0004,0.0001,0.0106,0.0074,200,0.0002
0.0595,0.0398,0.0003,0.0001,0.0104,0.0091,200,0.0003
0.0574,0.0396,0.0003,0.0001,0.0096,0.0080,200,0.0002
0.0584,0.0397,0.0005,0.0001,0.0110,0.0075,200,0.0003
0.0566,0.0406,0.0003,0.0001,0.0101,0.0057,200,0.0003
0.0596,0.0398,0.0005,0.0001,0.0123,0.0073,200,0.0002
0.0596,0.0394,0.0005,0.0001,0.0129,0.0072,200,0.0003
0.0605,0.0404,0.0005,0.0001,0.0129,0.0071,200,0.0002
0.0596,0.0394,0.0003,0.0001,0.0121,0.0079,200,0.0002
0.0579,0.0395,0.0003,0.0001,0.0118,0.0065,200,0.0002
0.0572,0.0396,0.0004,0.0001,0.0114,0.0060,200,0.0002
0.0581,0.0400,0.0004,0.0001,0.0112,0.0069,200,0.0002
0.0594,0.0396,0.0005,0.0001,0.0112,0.0084,200,0.0003
0.0596,0.0396,0.0003,0.0001,0.0126,0.0072,200,0.0003
0.0593,0.0395,0.0004,0.0001,0.0123,0.0073,200,0.0002
0.0593,0.0394,0.0003,0.0001,0.0126,0.0071,200,0.0002
0.0599,0.0398,0.0005,0.0001,0.0111,0.0088,200,0.0003
0.0612,0.0397,0.0004,0.0001,0.0136,0.0077,200,0.0003
0.0569,0.0395,0.0003,0.0001,0.0100,0.0073,200,0.0002
0.0586,0.0393,0.0003,0.0001,0.0112,0.0079,200,0.0003
0.0595,0.0397,0.0003,0.0001,0.0115,0.0082,200,0.0002
0.0571,0.0394,0.0002,0.0001,0.0110,0.0066,200,0.0002
0.0666,0.0401,0.0005,0.0001,0.0145,0.0118,200,0.0002
0.0605,0.0399,0.0004,0.0001,0.0130,0.0074,200,0.0003
0.0601,0.0398,0.0002,0.0001,0.0123,0.0079,200,0.0002
0.0593,0.0394,0.0003,0.0001,0.0123,0.0075,200,0.0003
0.0564,0.0396,0.0004,0.0001,0.0122,0.0045,200,0.0003
0.0605,0.0399,0.0004,0.0001,0.0142,0.0062,200,0.0002
0.0577,0.0414,0.0003,0.0001,0.0101,0.0061,200,0.0003
0.0583,0.0399,0.0003,0.0001,0.0114,0.0069,200,0.0003
0.0580,0.0397,0.0004,0.0001,0.0108,0.0073,200,0.0003
0.0594,0.0398,0.0005,0.0001,0.0102,0.0091,200,0.0003
0.0584,0.0396,0.0003,0.0001,0.0111,0.0075,200,0.0002
0.0591,0.0399,0.0004,0.0001,0.0113,0.0077,200,0.0002
0.0438,0.0293,0.0005,0.0001,0.0092,0.0052,200,0.0003
0.0603,0.0399,0.0004,0.0001,0.0119,0.0083,200,0.0002
0.0584,0.0398,0.0005,0.0001,0.0113,0.0071,200,0.0003
0.0600,0.0397,0.0004,0.0001,0.0125,0.0076,200,0.0002
0.0593,0.0397,0.0004,0.0001,0.0120,0.0074,200,0.0002
0.0401,0.0219,0.0004,0.0001,0.0097,0.0083,200,0.0003
0.0617,0.0393,0.0003,0.0001,0.0126,0.0096,200,0.0002
0.0577,0.0395,0.0004,0.0001,0.0106,0.0074,200,0.0003
0.0596,0.0399,0.0004,0.0001,0.0119,0.0076,200,0.0003
0.0588,0.0394,0.0004,0.0001,0.0122,0.0071,200,0.0003
0.0558,0.0401,0.0004,0.0001,0.0098,0.0058,200,0.0002
0.0607,0.0396,0.0002,0.0001,0.0127,0.0083,200,0.0002
0.0586,0.0395,0.0003,0.0001,0.0109,0.0079,200,0.0003
0.0592,0.0398,0.0004,0.0001,0.0111,0.0079,200,0.0003
0.0535,0.0337,0.0005,0.0001,0.0117,0.0079,200,0.0002
0.0585,0.0397,0.0004,0.0001,0.0128,0.0058,200,0.0002
0.0597,0.0394,0.0002,0.0001,0.0109,0.0093,200,0.0002
0.0586,0.0395,0.0003,0.0001,0.0138,0.0052,200,0.0003
0.0602,0.0400,0.0005,0.0001,0.0133,0.0067,200,0.0003
0.0592,0.0396,0.0003,0.0001,0.0122,0.0072,200,0.0002
0.0490,0.0327,0.0003,0.0001,0.0085,0.0076,200,0.0002
0.0561,0.0402,0.0004,0.0001,0.0093,0.0065,200,0.0002
0.0606,0.0397,0.0004,0.0001,0.0120,0.0087,200,0.0003
0.0594,0.0395,0.0003,0.0001,0.0115,0.0083,200,0.0002
0.0608,0.0395,0.0003,0.0001,0.0131,0.0081,200,0.0003
0.0582,0.0396,0.0003,0.0001,0.0118,0.0067,200,0.0002
0.0596,0.0399,0.0004,0.0001,0.0122,0.0074,200,0.0003
0.0636,0.0403,0.0005,0.0001,0.0139,0.0093,200,0.0003
0.0578,0.0398,0.0004,0.0001,0.0101,0.0077,200,0.0002
0.0602,0.0396,0.0005,0.0001,0.0125,0.0078,200,0.0003
0.0582,0.0397,0.0005,0.0001,0.0114,0.0069,200,0.0003
0.0578,0.0398,0.0005,0.0001,0.0104,0.0074,200,0.0003
0.0560,0.0398,0.0004,0.0001,0.0099,0.0062,200,0.0003
0.0635,0.0394,0.0003,0.0001,0.0124,0.0115,200,0.0002
0.0618,0.0403,0.0002,0.0001,0.0127,0.0087,200,0.0002
0.0593,0.0395,0.0003,0.0001,0.0118,0.0079,200,0.0002
0.0439,0.0279,0.0004,0.0001,0.0098,0.0060,200,0.0002
0.0576,0.0395,0.0003,0.0001,0.0099,0.0081,200,0.0002
0.0626,0.0390,0.0003,0.0001,0.0124,0.0111,200,0.0002
0.0587,0.0397,0.0003,0.0001,0.0111,0.0077,200,0.0002
0.0480,0.0341,0.0002,0.0001,0.0078,0.0059,200,0.0002
0.0595,0.0398,0.0004,0.0001,0.0119,0.0076,200,0.0002
0.0599,0.0396,0.0003,0.0001,0.0120,0.0081,200,0.0002
0.0585,0.0398,0.0004,0.0001,0.0127,0.0059,200,0.0002
0.0584,0.0401,0.0004,0.0001,0.0106,0.0075,200,0.0003
0.0586,0.0395,0.0003,0.0001,0.0118,0.0072,200,0.0002
0.0460,0.0274,0.0004,0.0001,0.0094,0.0091,200,0.0002
0.0582,0.0393,0.0003,0.0001,0.0109,0.0079,200,0.0002
0.0578,0.0395,0.0005,0.0001,0.0107,0.0072,200,0.0002
0.0612,0.0395,0.0003,0.0001,0.0128,0.0088,200,0.0002
0.0585,0.0395,0.0003,0.0001,0.0105,0.0083,200,0.0003
0.0575,0.0393,0.0004,0.0001,0.0112,0.0068,200,0.0003
0.0607,0.0397,0.0004,0.0001,0.0109,0.0099,200,0.0003
