response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1405,0.0395,0.0005,0.0001,0.1006,0.0002,200,0.0003
0.1411,0.0400,0.0005,0.0001,0.1007,0.0002,200,0.0003
0.1300,0.0399,0.0004,0.0001,0.0896,0.0003,200,0.0003
0.4404,0.0395,0.0003,0.0001,0.4005,0.0002,200,0.0002
0.1358,0.0403,0.0004,0.0001,0.0952,0.0002,200,0.0002
0.1380,0.0400,0.0005,0.0001,0.0977,0.0002,200,0.0003
0.1369,0.0397,0.0004,0.0001,0.0968,0.0002,200,0.0002
0.1351,0.0403,0.0003,0.0001,0.0944,0.0002,200,0.0002
0.1339,0.0399,0.0004,0.0001,0.0936,0.0001,200,0.0003
0.1423,0.0391,0.0003,0.0001,0.1029,0.0001,200,0.0002
0.1335,0.0395,0.0004,0.0001,0.0937,0.0001,200,0.0003
0.1335,0.0393,0.0002,0.0001,0.0940,0.0001,200,0.0002
0.1381,0.0398,0.0004,0.0001,0.0981,0.0002,200,0.0003
0.1313,0.0349,0.0003,0.0001,0.0961,0.0002,200,0.0003
0.1334,0.0406,0.0004,0.0001,0.0925,0.0001,200,0.0003
0.1319,0.0393,0.0003,0.0001,0.0922,0.0003,200,0.0002
0.1373,0.0396,0.0004,0.0001,0.0974,0.0002,200,0.0003
0.1278,0.0286,0.0005,0.0001,0.0988,0.0001,200,0.0003
0.1334,0.0394,0.0005,0.0001,0.0937,0.0001,200,0.0003
0.1678,0.0396,0.0003,0.0001,0.1279,0.0001,200,0.0002
0.1349,0.0388,0.0004,0.0001,0.0957,0.0002,200,0.0003
0.1364,0.0399,0.0005,0.0001,0.0961,0.0001,200,0.0003
0.4129,0.0395,0.0004,0.0001,0.3732,0.0001,200,0.0002
0.1312,0.0398,0.0004,0.0001,0.0911,0.0001,200,0.0003
0.1274,0.0401,0.0004,0.0001,0.0869,0.0001,200,0.0003
0.1344,0.0389,0.0003,0.0001,0.0952,0.0001,200,0.0002
0.1383,0.0399,0.0004,0.0001,0.0980,0.0001,200,0.0003
0.1402,0.0399,0.0005,0.0001,0.0998,0.0003,200,0.0002
0.1407,0.0397,0.0005,0.0001,0.1006,0.0002,200,0.0003
0.1395,0.0397,0.0003,0.0001,0.0995,0.0002,200,0.0002
0.1321,0.0397,0.0004,0.0001,0.0921,0.0001,200,0.0003
0.1346,0.0399,0.0004,0.0001,0.0943,0.0002,200,0.0002
0.1047,0.0240,0.0004,0.0001,0.0804,0.0002,200,0.0002
0.1380,0.0398,0.0004,0.0001,0.0979,0.0001,200,0.0003
0.1415,0.0399,0.0004,0.0001,0.1013,0.0002,200,0.0003
0.1391,0.0401,0.0004,0.0001,0.0987,0.0001,200,0.0003
0.1011,0.0267,0.0003,0.0001,0.0741,0.0001,200,0.0003
0.1328,0.0395,0.0003,0.0001,0.0930,0.0002,200,0.0003
0.1343,0.0398,0.0004,0.0001,0.0941,0.0002,200,0.0003
0.1229,0.0390,0.0003,0.0001,0.0837,0.0001,200,0.0002
0.1319,0.0366,0.0002,0.0001,0.0950,0.0002,200,0.0002
0.4334,0.0394,0.0003,0.0001,0.3937,0.0001,200,0.0002
0.1409,0.0398,0.0004,0.0001,0.1008,0.0001,200,0.0003
0.1352,0.0396,0.0004,0.0001,0.0952,0.0002,200,0.0002
0.1453,0.0409,0.0004,0.0001,0.1042,0.0001,200,0.0002
