response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0474,0.0397,0.0003,0.0001,0.0073,0.0002,200,0.0003
0.0477,0.0391,0.0002,0.0001,0.0084,0.0001,200,0.0002
0.0487,0.0398,0.0004,0.0001,0.0087,0.0001,200,0.0003
0.0482,0.0396,0.0003,0.0001,0.0083,0.0002,200,0.0003
0.0473,0.0395,0.0002,0.0001,0.0075,0.0001,200,0.0002
0.0490,0.0396,0.0003,0.0001,0.0092,0.0001,200,0.0002
0.0488,0.0399,0.0003,0.0001,0.0085,0.0002,200,0.0003
0.0477,0.0399,0.0004,0.0001,0.0074,0.0003,200,0.0003
0.0464,0.0395,0.0003,0.0001,0.0065,0.0002,200,0.0003
0.0479,0.0395,0.0002,0.0001,0.0081,0.0002,200,0.0002
0.0482,0.0401,0.0005,0.0001,0.0077,0.0003,200,0.0003
0.0484,0.0392,0.0003,0.0001,0.0089,0.0001,200,0.0002
0.0482,0.0399,0.0005,0.0001,0.0079,0.0002,200,0.0003
0.0475,0.0397,0.0005,0.0001,0.0074,0.0002,200,0.0003
0.0477,0.0395,0.0004,0.0001,0.0079,0.0001,200,0.0003
0.0488,0.0397,0.0005,0.0001,0.0088,0.0002,200,0.0003
0.0490,0.0400,0.0004,0.0001,0.0086,0.0002,200,0.0003
0.0488,0.0403,0.0004,0.0001,0.0083,0.0001,200,0.0002
0.0412,0.0321,0.0004,0.0001,0.0087,0.0002,200,0.0003
0.0479,0.0397,0.0005,0.0001,0.0078,0.0003,200,0.0003
0.0486,0.0397,0.0003,0.0001,0.0085,0.0002,200,0.0003
0.0485,0.0395,0.0003,0.0001,0.0086,0.0002,200,0.0002
0.0477,0.0396,0.0003,0.0001,0.0079,0.0001,200,0.0002
0.0491,0.0395,0.0003,0.0001,0.0091,0.0003,200,0.0002
0.0482,0.0395,0.0003,0.0001,0.0083,0.0003,200,0.0002
0.0397,0.0329,0.0003,0.0001,0.0064,0.0002,200,0.0003
0.0485,0.0401,0.0004,0.0001,0.0081,0.0002,200,0.0002
0.0482,0.0393,0.0003,0.0001,0.0084,0.0002,200,0.0002
0.0344,0.0260,0.0004,0.0001,0.0082,0.0002,200,0.0003
0.0478,0.0398,0.0005,0.0001,0.0075,0.0002,200,0.0003
0.0478,0.0389,0.0002,0.0001,0.0086,0.0002,200,0.0002
0.0488,0.0396,0.0005,0.0001,0.0089,0.0001,200,0.0002
0.0491,0.0398,0.0004,0.0001,0.0089,0.0002,200,0.0003
0.0488,0.0400,0.0004,0.0001,0.0085,0.0002,200,0.0002
0.0479,0.0398,0.0004,0.0001,0.0076,0.0003,200,0.0002
0.0482,0.0396,0.0004,0.0001,0.0082,0.0002,200,0.0002
0.0484,0.0398,0.0005,0.0001,0.0083,0.0001,200,0.0003
0.0479,0.0394,0.0004,0.0001,0.0082,0.0001,200,0.0002
0.0474,0.0396,0.0004,0.0001,0.0074,0.0001,200,0.0003
0.0488,0.0399,0.0003,0.0001,0.0085,0.0002,200,0.0002
0.0479,0.0394,0.0005,0.0001,0.0079,0.0003,200,0.0003
0.0489,0.0400,0.0004,0.0001,0.0085,0.0002,200,0.0003
0.0489,0.0397,0.0004,0.0001,0.0089,0.0002,200,0.0003
0.0483,0.0395,0.0004,0.0001,0.0084,0.0001,200,0.0003
