response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0518,0.0395,0.0003,0.0001,0.0098,0.0023,200,0.0003
0.0531,0.0409,0.0005,0.0001,0.0092,0.0028,200,0.0003
0.0512,0.0398,0.0004,0.0001,0.0095,0.0017,200,0.0002
0.0316,0.0215,0.0003,0.0001,0.0088,0.0012,200,0.0002
0.0528,0.0400,0.0006,0.0001,0.0095,0.0031,200,0.0003
0.0498,0.0391,0.0003,0.0001,0.0092,0.0014,200,0.0002
0.0522,0.0411,0.0003,0.0001,0.0092,0.0016,200,0.0002
0.0495,0.0397,0.0003,0.0001,0.0082,0.0014,200,0.0003
0.0522,0.0394,0.0003,0.0001,0.0102,0.0024,200,0.0002
0.0511,0.0398,0.0004,0.0001,0.0093,0.0019,200,0.0003
0.0341,0.0259,0.0004,0.0001,0.0065,0.0016,200,0.0003
0.0498,0.0393,0.0003,0.0001,0.0082,0.0022,200,0.0002
0.0504,0.0397,0.0004,0.0001,0.0089,0.0016,200,0.0003
0.0496,0.0393,0.0003,0.0001,0.0085,0.0016,200,0.0002
0.0506,0.0398,0.0003,0.0001,0.0081,0.0026,200,0.0002
0.0514,0.0399,0.0004,0.0001,0.0089,0.0025,200,0.0002
0.0499,0.0398,0.0004,0.0001,0.0087,0.0013,200,0.0002
0.0535,0.0434,0.0004,0.0001,0.0087,0.0012,200,0.0003
0.0503,0.0394,0.0003,0.0001,0.0086,0.0020,200,0.0002
0.0510,0.0397,0.0004,0.0001,0.0093,0.0018,200,0.0003
0.0502,0.0397,0.0004,0.0001,0.0086,0.0018,200,0.0003
0.0502,0.0394,0.0003,0.0001,0.0089,0.0017,200,0.0003
0.0502,0.0397,0.0004,0.0001,0.0085,0.0018,200,0.0003
0.0528,0.0401,0.0004,0.0001,0.0093,0.0031,200,0.0003
0.0295,0.0208,0.0003,0.0001,0.0073,0.0012,200,0.0002
0.0504,0.0397,0.0003,0.0001,0.0088,0.0017,200,0.0002
0.0509,0.0390,0.0004,0.0001,0.0100,0.0018,200,0.0003
0.0497,0.0394,0.0003,0.0001,0.0084,0.0018,200,0.0003
0.0510,0.0398,0.0004,0.0001,0.0090,0.0021,200,0.0002
0.0499,0.0394,0.0005,0.0001,0.0083,0.0021,200,0.0002
0.0498,0.0398,0.0004,0.0001,0.0083,0.0015,200,0.0002
0.0493,0.0401,0.0005,0.0001,0.0079,0.0012,200,0.0003
0.0503,0.0392,0.0003,0.0001,0.0088,0.0022,200,0.0002
0.0491,0.0390,0.0002,0.0001,0.0080,0.0020,200,0.0002
0.0520,0.0394,0.0004,0.0001,0.0101,0.0024,200,0.0003
0.0514,0.0401,0.0005,0.0001,0.0094,0.0017,200,0.0002
0.0503,0.0401,0.0004,0.0001,0.0077,0.0024,200,0.0002
0.0498,0.0396,0.0003,0.0001,0.0081,0.0020,200,0.0002
0.0506,0.0398,0.0003,0.0001,0.0088,0.0019,200,0.0003
0.0520,0.0397,0.0004,0.0001,0.0102,0.0020,200,0.0003
0.0509,0.0403,0.0005,0.0001,0.0084,0.0020,200,0.0003
0.0518,0.0400,0.0004,0.0001,0.0090,0.0026,200,0.0003
0.0494,0.0394,0.0003,0.0001,0.0082,0.0017,200,0.0002
0.0511,0.0397,0.0003,0.0001,0.0098,0.0015,200,0.0002
0.0502,0.0399,0.0004,0.0001,0.0083,0.0017,200,0.0003
0.0503,0.0398,0.0004,0.0001,0.0085,0.0018,200,0.0003
0.0437,0.0359,0.0003,0.0001,0.0063,0.0014,200,0.0002
0.0499,0.0394,0.0003,0.0001,0.0084,0.0019,200,0.0003
0.0505,0.0399,0.0004,0.0001,0.0086,0.0018,200,0.0002
0.0499,0.0399,0.0002,0.0001,0.0081,0.0017,200,0.0002
0.0445,0.0343,0.0003,0.0001,0.0088,0.0012,200,0.0002
0.0506,0.0395,0.0003,0.0001,0.0089,0.0021,200,0.0002
0.0498,0.0389,0.0003,0.0001,0.0088,0.0020,200,0.0002
0.0497,0.0398,0.0004,0.0001,0.0087,0.0011,200,0.0002
0.0492,0.0396,0.0003,0.0001,0.0075,0.0019,200,0.0002
0.0509,0.0395,0.0003,0.0001,0.0094,0.0018,200,0.0002
0.0495,0.0395,0.0003,0.0001,0.0081,0.0018,200,0.0002
0.0503,0.0393,0.0004,0.0001,0.0085,0.0025,200,0.0002
0.0500,0.0392,0.0003,0.0001,0.0085,0.0020,200,0.0002
0.0502,0.0395,0.0003,0.0001,0.0089,0.0016,200,0.0002
0.0513,0.0396,0.0004,0.0001,0.0093,0.0022,200,0.0003
0.0500,0.0396,0.0004,0.0001,0.0083,0.0020,200,0.0003
0.0502,0.0399,0.0003,0.0001,0.0082,0.0020,200,0.0003
0.0502,0.0398,0.0003,0.0001,0.0082,0.0021,200,0.0003
0.0503,0.0399,0.0005,0.0001,0.0088,0.0014,200,0.0003
0.0497,0.0396,0.0002,0.0001,0.0081,0.0018,200,0.0002
0.0507,0.0402,0.0004,0.0001,0.0088,0.0015,200,0.0003
0.0504,0.0396,0.0003,0.0001,0.0089,0.0017,200,0.0002
0.0511,0.0393,0.0004,0.0001,0.0093,0.0024,200,0.0003
0.0507,0.0398,0.0004,0.0001,0.0087,0.0019,200,0.0002
0.0510,0.0389,0.0003,0.0001,0.0089,0.0030,200,0.0002
0.0506,0.0400,0.0004,0.0001,0.0089,0.0015,200,0.0003
0.0500,0.0395,0.0004,0.0001,0.0086,0.0018,200,0.0003
0.0506,0.0396,0.0003,0.0001,0.0094,0.0014,200,0.0003
0.0503,0.0394,0.0003,0.0001,0.0090,0.0018,200,0.0002
0.0587,0.0492,0.0004,0.0001,0.0076,0.0016,200,0.0003
