response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0477,0.0401,0.0004,0.0001,0.0073,0.0002,200,0.0002
0.0479,0.0400,0.0004,0.0001,0.0076,0.0001,200,0.0002
0.0471,0.0396,0.0003,0.0001,0.0071,0.0002,200,0.0002
0.0464,0.0390,0.0003,0.0001,0.0071,0.0001,200,0.0002
0.0495,0.0421,0.0003,0.0001,0.0072,0.0001,200,0.0003
0.0478,0.0402,0.0004,0.0001,0.0073,0.0002,200,0.0002
0.0470,0.0401,0.0004,0.0001,0.0067,0.0001,200,0.0003
0.0468,0.0401,0.0003,0.0001,0.0064,0.0002,200,0.0002
0.0470,0.0400,0.0002,0.0001,0.0067,0.0002,200,0.0002
0.0470,0.0395,0.0003,0.0001,0.0072,0.0001,200,0.0003
0.0473,0.0399,0.0004,0.0001,0.0070,0.0002,200,0.0002
0.0462,0.0393,0.0003,0.0001,0.0067,0.0001,200,0.0002
0.0472,0.0397,0.0004,0.0001,0.0073,0.0001,200,0.0003
0.0476,0.0398,0.0004,0.0001,0.0075,0.0002,200,0.0002
0.0466,0.0395,0.0004,0.0001,0.0068,0.0001,200,0.0003
0.0471,0.0394,0.0004,0.0001,0.0075,0.0001,200,0.0002
0.0479,0.0395,0.0003,0.0001,0.0081,0.0002,200,0.0003
0.0474,0.0398,0.0004,0.0001,0.0072,0.0001,200,0.0003
0.0473,0.0401,0.0005,0.0001,0.0068,0.0002,200,0.0002
0.0471,0.0396,0.0004,0.0001,0.0071,0.0002,200,0.0003
0.0474,0.0396,0.0005,0.0001,0.0075,0.0001,200,0.0003
0.0470,0.0397,0.0005,0.0001,0.0070,0.0001,200,0.0003
0.0478,0.0403,0.0006,0.0001,0.0071,0.0002,200,0.0002
0.0573,0.0498,0.0003,0.0001,0.0072,0.0001,200,0.0003
0.0467,0.0395,0.0003,0.0001,0.0069,0.0001,200,0.0002
0.0470,0.0398,0.0003,0.0001,0.0069,0.0001,200,0.0003
0.0474,0.0398,0.0004,0.0001,0.0073,0.0002,200,0.0002
0.0470,0.0398,0.0004,0.0001,0.0069,0.0001,200,0.0003
0.0475,0.0397,0.0004,0.0001,0.0075,0.0001,200,0.0003
0.0466,0.0394,0.0003,0.0001,0.0069,0.0001,200,0.0003
0.0467,0.0393,0.0002,0.0001,0.0071,0.0001,200,0.0002
0.0469,0.0397,0.0004,0.0001,0.0069,0.0002,200,0.0002
0.0480,0.0399,0.0004,0.0001,0.0079,0.0001,200,0.0002
0.0477,0.0397,0.0003,0.0001,0.0077,0.0001,200,0.0003
0.0479,0.0398,0.0004,0.0001,0.0077,0.0001,200,0.0003
0.0297,0.0245,0.0003,0.0001,0.0048,0.0001,200,0.0003
0.0469,0.0399,0.0004,0.0001,0.0066,0.0001,200,0.0003
0.0463,0.0394,0.0002,0.0001,0.0066,0.0001,200,0.0002
0.0471,0.0399,0.0005,0.0001,0.0069,0.0001,200,0.0003
0.0469,0.0399,0.0004,0.0001,0.0068,0.0001,200,0.0003
0.0463,0.0396,0.0004,0.0001,0.0064,0.0001,200,0.0003
0.0310,0.0239,0.0004,0.0001,0.0068,0.0001,200,0.0003
0.0474,0.0400,0.0005,0.0001,0.0070,0.0001,200,0.0003
0.0469,0.0395,0.0003,0.0001,0.0072,0.0002,200,0.0002
0.0473,0.0397,0.0004,0.0001,0.0072,0.0002,200,0.0002
0.0471,0.0397,0.0003,0.0001,0.0071,0.0001,200,0.0002
0.0304,0.0234,0.0004,0.0001,0.0067,0.0002,200,0.0002
0.0335,0.0272,0.0003,0.0001,0.0060,0.0001,200,0.0003
0.0471,0.0399,0.0004,0.0001,0.0068,0.0001,200,0.0003
0.0467,0.0391,0.0004,0.0001,0.0073,0.0001,200,0.0003
0.0473,0.0403,0.0003,0.0001,0.0068,0.0001,200,0.0003
0.0288,0.0217,0.0003,0.0001,0.0067,0.0002,200,0.0002
0.0550,0.0478,0.0004,0.0001,0.0068,0.0002,200,0.0002
0.0469,0.0396,0.0004,0.0001,0.0070,0.0001,200,0.0003
0.0465,0.0393,0.0003,0.0001,0.0069,0.0002,200,0.0002
0.0478,0.0404,0.0003,0.0001,0.0071,0.0001,200,0.0002
0.0471,0.0396,0.0004,0.0001,0.0071,0.0002,200,0.0002
0.0469,0.0398,0.0004,0.0001,0.0068,0.0001,200,0.0002
0.0498,0.0418,0.0005,0.0001,0.0076,0.0001,200,0.0003
0.0473,0.0404,0.0004,0.0001,0.0065,0.0002,200,0.0003
0.0455,0.0387,0.0004,0.0001,0.0064,0.0001,200,0.0003
0.0463,0.0395,0.0003,0.0001,0.0065,0.0001,200,0.0003
0.0465,0.0395,0.0003,0.0001,0.0067,0.0001,200,0.0002
0.0468,0.0400,0.0004,0.0001,0.0065,0.0001,200,0.0002
0.0466,0.0394,0.0003,0.0001,0.0068,0.0002,200,0.0002
0.0474,0.0397,0.0004,0.0001,0.0074,0.0001,200,0.0002
0.0470,0.0397,0.0004,0.0001,0.0070,0.0002,200,0.0003
0.0474,0.0399,0.0004,0.0001,0.0072,0.0001,200,0.0003
0.0472,0.0397,0.0003,0.0001,0.0073,0.0001,200,0.0003
0.0465,0.0395,0.0005,0.0001,0.0068,0.0001,200,0.0003
0.0465,0.0395,0.0003,0.0001,0.0067,0.0001,200,0.0003
0.0469,0.0397,0.0004,0.0001,0.0069,0.0002,200,0.0002
0.0474,0.0397,0.0004,0.0001,0.0074,0.0001,200,0.0003
0.0472,0.0390,0.0002,0.0001,0.0080,0.0001,200,0.0002
0.0469,0.0393,0.0003,0.0001,0.0073,0.0002,200,0.0002
0.0470,0.0395,0.0003,0.0001,0.0071,0.0001,200,0.0003
0.0471,0.0400,0.0005,0.0001,0.0068,0.0001,200,0.0003
0.0469,0.0398,0.0004,0.0001,0.0067,0.0001,200,0.0003
0.0331,0.0270,0.0003,0.0001,0.0059,0.0001,200,0.0002
0.0461,0.0393,0.0003,0.0001,0.0066,0.0001,200,0.0002
0.0470,0.0399,0.0005,0.0001,0.0067,0.0001,200,0.0003
0.0469,0.0394,0.0003,0.0001,0.0072,0.0001,200,0.0003
0.0299,0.0236,0.0003,0.0001,0.0060,0.0001,200,0.0003
0.0475,0.0400,0.0004,0.0001,0.0072,0.0002,200,0.0003
0.0466,0.0394,0.0003,0.0001,0.0069,0.0001,200,0.0002
0.0467,0.0397,0.0004,0.0001,0.0067,0.0001,200,0.0002
0.0471,0.0398,0.0004,0.0001,0.0070,0.0001,200,0.0003
0.0462,0.0390,0.0003,0.0001,0.0070,0.0001,200,0.0002
0.0478,0.0400,0.0004,0.0001,0.0075,0.0001,200,0.0003
0.0479,0.0396,0.0004,0.0001,0.0080,0.0001,200,0.0002
0.0462,0.0395,0.0004,0.0001,0.0065,0.0001,200,0.0003
0.0461,0.0387,0.0003,0.0001,0.0071,0.0001,200,0.0002
0.0466,0.0392,0.0003,0.0001,0.0071,0.0001,200,0.0002
0.0475,0.0400,0.0005,0.0001,0.0072,0.0001,200,0.0003
0.0469,0.0399,0.0003,0.0001,0.0067,0.0001,200,0.0002
0.0476,0.0400,0.0005,0.0001,0.0073,0.0002,200,0.0003
0.0476,0.0398,0.0004,0.0001,0.0075,0.0002,200,0.0002
0.0468,0.0396,0.0003,0.0001,0.0069,0.0001,200,0.0002
0.0398,0.0333,0.0002,0.0001,0.0062,0.0001,200,0.0002
0.0471,0.0394,0.0003,0.0001,0.0074,0.0001,200,0.0002
