response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0313,0.0257,0.0004,0.0001,0.0054,0.0001,200,0.0002
0.0462,0.0383,0.0003,0.0001,0.0076,0.0001,200,0.0002
0.0465,0.0397,0.0004,0.0001,0.0065,0.0001,200,0.0003
0.0469,0.0398,0.0003,0.0001,0.0069,0.0001,200,0.0002
0.0283,0.0234,0.0004,0.0001,0.0048,0.0001,200,0.0003
0.0316,0.0253,0.0002,0.0001,0.0060,0.0001,200,0.0003
0.0464,0.0393,0.0003,0.0001,0.0068,0.0002,200,0.0003
0.0473,0.0403,0.0003,0.0001,0.0068,0.0001,200,0.0002
0.0464,0.0390,0.0003,0.0001,0.0071,0.0001,200,0.0002
0.0457,0.0394,0.0003,0.0001,0.0061,0.0001,200,0.0002
0.0280,0.0212,0.0004,0.0001,0.0065,0.0001,200,0.0002
0.0461,0.0393,0.0003,0.0001,0.0066,0.0001,200,0.0002
0.0460,0.0389,0.0003,0.0001,0.0070,0.0001,200,0.0002
0.0476,0.0397,0.0004,0.0001,0.0075,0.0002,200,0.0002
0.0335,0.0272,0.0003,0.0001,0.0061,0.0001,200,0.0003
0.0468,0.0398,0.0004,0.0001,0.0066,0.0002,200,0.0003
0.0461,0.0393,0.0004,0.0001,0.0066,0.0001,200,0.0003
0.0471,0.0397,0.0003,0.0001,0.0071,0.0001,200,0.0002
0.0453,0.0397,0.0004,0.0001,0.0053,0.0001,200,0.0002
0.0469,0.0396,0.0004,0.0001,0.0070,0.0001,200,0.0003
0.0473,0.0399,0.0005,0.0001,0.0071,0.0001,200,0.0003
0.0468,0.0398,0.0004,0.0001,0.0067,0.0001,200,0.0002
0.0473,0.0398,0.0004,0.0001,0.0071,0.0001,200,0.0003
0.0468,0.0393,0.0003,0.0001,0.0071,0.0001,200,0.0002
0.0467,0.0394,0.0004,0.0001,0.0072,0.0001,200,0.0003
0.0317,0.0249,0.0005,0.0001,0.0064,0.0001,200,0.0003
0.0466,0.0392,0.0003,0.0001,0.0072,0.0001,200,0.0002
0.0469,0.0396,0.0004,0.0001,0.0070,0.0001,200,0.0003
0.0383,0.0318,0.0004,0.0001,0.0062,0.0001,200,0.0003
0.0472,0.0401,0.0004,0.0001,0.0069,0.0001,200,0.0002
0.0471,0.0398,0.0004,0.0001,0.0070,0.0001,200,0.0003
0.0468,0.0397,0.0005,0.0001,0.0067,0.0001,200,0.0003
0.0469,0.0398,0.0004,0.0001,0.0069,0.0001,200,0.0003
0.0470,0.0397,0.0004,0.0001,0.0070,0.0002,200,0.0002
0.0485,0.0412,0.0004,0.0001,0.0070,0.0002,200,0.0002
0.0468,0.0397,0.0004,0.0001,0.0068,0.0002,200,0.0002
0.0619,0.0349,0.0003,0.0001,0.0267,0.0001,200,0.0002
0.0459,0.0391,0.0003,0.0001,0.0064,0.0002,200,0.0002
0.0467,0.0391,0.0003,0.0001,0.0074,0.0001,200,0.0002
0.0463,0.0393,0.0003,0.0001,0.0066,0.0002,200,0.0003
0.0368,0.0311,0.0003,0.0001,0.0055,0.0001,200,0.0003
0.0473,0.0397,0.0004,0.0001,0.0073,0.0001,200,0.0003
0.0366,0.0296,0.0003,0.0001,0.0067,0.0001,200,0.0002
0.0464,0.0395,0.0003,0.0001,0.0066,0.0001,200,0.0002
0.0470,0.0397,0.0004,0.0001,0.0069,0.0001,200,0.0003
0.0467,0.0400,0.0004,0.0001,0.0064,0.0002,200,0.0002
