response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0927,0.0398,0.0004,0.0001,0.0527,0.0001,200,0.0002
0.0919,0.0399,0.0002,0.0001,0.0518,0.0001,200,0.0002
0.1006,0.0395,0.0003,0.0001,0.0608,0.0001,200,0.0002
0.0881,0.0392,0.0004,0.0001,0.0486,0.0001,200,0.0003
0.0730,0.0266,0.0005,0.0001,0.0461,0.0001,200,0.0003
0.0958,0.0396,0.0003,0.0001,0.0560,0.0001,200,0.0002
0.0890,0.0399,0.0004,0.0001,0.0488,0.0001,200,0.0003
0.1142,0.0398,0.0003,0.0001,0.0741,0.0001,200,0.0003
0.2360,0.0397,0.0005,0.0001,0.1960,0.0001,200,0.0003
0.2426,0.0397,0.0004,0.0001,0.2026,0.0002,200,0.0003
0.0937,0.0395,0.0003,0.0001,0.0539,0.0001,200,0.0002
0.0932,0.0399,0.0003,0.0001,0.0529,0.0002,200,0.0002
0.0858,0.0396,0.0003,0.0001,0.0459,0.0001,200,0.0002
0.0803,0.0398,0.0003,0.0001,0.0402,0.0001,200,0.0002
0.0880,0.0396,0.0003,0.0001,0.0482,0.0001,200,0.0002
0.0878,0.0394,0.0003,0.0001,0.0481,0.0001,200,0.0002
0.0903,0.0398,0.0004,0.0001,0.0502,0.0001,200,0.0003
0.0835,0.0395,0.0003,0.0001,0.0437,0.0001,200,0.0003
0.0845,0.0397,0.0003,0.0001,0.0445,0.0001,200,0.0003
0.1014,0.0397,0.0004,0.0001,0.0614,0.0002,200,0.0003
0.0886,0.0392,0.0003,0.0001,0.0491,0.0001,200,0.0002
0.0759,0.0317,0.0004,0.0001,0.0440,0.0002,200,0.0003
0.0920,0.0395,0.0003,0.0001,0.0521,0.0001,200,0.0003
0.0863,0.0398,0.0003,0.0001,0.0462,0.0001,200,0.0003
0.0943,0.0393,0.0003,0.0001,0.0547,0.0001,200,0.0002
0.0869,0.0396,0.0002,0.0001,0.0470,0.0001,200,0.0002
0.0897,0.0396,0.0003,0.0001,0.0499,0.0001,200,0.0002
0.2365,0.0401,0.0002,0.0001,0.1961,0.0001,200,0.0002
0.2218,0.0397,0.0002,0.0001,0.1819,0.0001,200,0.0002
0.0859,0.0396,0.0004,0.0001,0.0459,0.0001,200,0.0003
0.0863,0.0395,0.0003,0.0001,0.0466,0.0001,200,0.0002
0.1101,0.0429,0.0004,0.0001,0.0669,0.0001,200,0.0003
0.0828,0.0396,0.0004,0.0001,0.0428,0.0001,200,0.0003
0.0859,0.0401,0.0004,0.0001,0.0455,0.0001,200,0.0002
0.0955,0.0394,0.0005,0.0001,0.0557,0.0001,200,0.0003
