response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0477,0.0398,0.0004,0.0001,0.0076,0.0001,200,0.0003
0.0478,0.0395,0.0004,0.0001,0.0080,0.0001,200,0.0003
0.0474,0.0396,0.0004,0.0001,0.0075,0.0001,200,0.0003
0.0476,0.0397,0.0004,0.0001,0.0076,0.0001,200,0.0003
0.0472,0.0400,0.0004,0.0001,0.0069,0.0001,200,0.0002
0.0468,0.0395,0.0004,0.0001,0.0070,0.0001,200,0.0003
0.0476,0.0397,0.0004,0.0001,0.0076,0.0001,200,0.0003
0.0478,0.0399,0.0003,0.0001,0.0076,0.0001,200,0.0003
0.0474,0.0398,0.0006,0.0001,0.0072,0.0001,200,0.0003
0.0474,0.0400,0.0004,0.0001,0.0071,0.0001,200,0.0003
0.0474,0.0396,0.0005,0.0001,0.0074,0.0002,200,0.0003
0.0475,0.0399,0.0004,0.0001,0.0073,0.0001,200,0.0002
0.0474,0.0399,0.0003,0.0001,0.0072,0.0002,200,0.0002
0.0481,0.0399,0.0005,0.0001,0.0078,0.0001,200,0.0003
0.0473,0.0395,0.0003,0.0001,0.0076,0.0001,200,0.0002
0.0473,0.0396,0.0004,0.0001,0.0073,0.0001,200,0.0003
0.0473,0.0398,0.0004,0.0001,0.0072,0.0001,200,0.0002
0.0463,0.0392,0.0003,0.0001,0.0068,0.0001,200,0.0002
0.0473,0.0397,0.0004,0.0001,0.0074,0.0001,200,0.0002
0.0476,0.0399,0.0004,0.0001,0.0074,0.0001,200,0.0003
0.0480,0.0387,0.0003,0.0001,0.0090,0.0002,200,0.0002
0.0475,0.0398,0.0005,0.0001,0.0073,0.0001,200,0.0003
0.0472,0.0397,0.0003,0.0001,0.0072,0.0002,200,0.0002
0.0468,0.0394,0.0003,0.0001,0.0072,0.0001,200,0.0002
0.0472,0.0397,0.0004,0.0001,0.0072,0.0001,200,0.0003
0.0470,0.0398,0.0004,0.0001,0.0070,0.0001,200,0.0003
0.0469,0.0396,0.0003,0.0001,0.0069,0.0002,200,0.0002
0.0475,0.0396,0.0004,0.0001,0.0076,0.0001,200,0.0003
0.0469,0.0398,0.0004,0.0001,0.0069,0.0001,200,0.0002
0.0476,0.0398,0.0003,0.0001,0.0076,0.0001,200,0.0002
0.0476,0.0398,0.0003,0.0001,0.0074,0.0001,200,0.0002
