response-time,status-code,test_name,batch
0.0451,200,float-operation,wasm
0.0442,200,float-operation,wasm
0.0444,200,float-operation,wasm
0.0445,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0435,200,float-operation,wasm
0.0449,200,float-operation,wasm
0.0436,200,float-operation,wasm
0.0403,200,float-operation,wasm
0.0448,200,float-operation,wasm
0.0447,200,float-operation,wasm
0.0437,200,float-operation,wasm
0.0443,200,float-operation,wasm
0.0444,200,float-operation,wasm
0.0447,200,float-operation,wasm
0.0451,200,float-operation,wasm
0.0414,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0439,200,float-operation,wasm
0.0439,200,float-operation,wasm
0.038,200,float-operation,wasm
0.0396,200,float-operation,wasm
0.0441,200,float-operation,wasm
0.0448,200,float-operation,wasm
0.0443,200,float-operation,wasm
0.0442,200,float-operation,wasm
0.0448,200,float-operation,wasm
0.0441,200,float-operation,wasm
0.045,200,float-operation,wasm
0.0452,200,float-operation,wasm
0.044,200,float-operation,wasm
0.0449,200,float-operation,wasm
0.0443,200,float-operation,wasm
0.0448,200,float-operation,wasm
0.0441,200,float-operation,wasm
0.0367,200,float-operation,wasm
0.0447,200,float-operation,wasm
0.0441,200,float-operation,wasm
0.0443,200,float-operation,wasm
0.0443,200,float-operation,wasm
0.0448,200,float-operation,wasm
0.045,200,float-operation,wasm
0.0442,200,float-operation,wasm
0.0448,200,float-operation,wasm
0.0435,200,float-operation,wasm
0.0442,200,float-operation,wasm
0.0444,200,float-operation,wasm
0.0451,200,float-operation,wasm
0.0445,200,float-operation,wasm
0.0442,200,float-operation,wasm
0.0447,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0549,200,float-operation,wasm
0.0276,200,float-operation,wasm
0.0456,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0449,200,float-operation,wasm
0.0448,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.045,200,float-operation,wasm
0.0449,200,float-operation,wasm
0.0431,200,float-operation,wasm
0.0448,200,float-operation,wasm
0.0445,200,float-operation,wasm
0.0447,200,float-operation,wasm
0.0444,200,float-operation,wasm
0.0437,200,float-operation,wasm
0.0356,200,float-operation,wasm
0.0447,200,float-operation,wasm
0.0443,200,float-operation,wasm
0.0434,200,float-operation,wasm
0.0447,200,float-operation,wasm
0.0444,200,float-operation,wasm
0.0447,200,float-operation,wasm
0.0442,200,float-operation,wasm
0.0445,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.045,200,float-operation,wasm
0.0441,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0447,200,float-operation,wasm
0.0449,200,float-operation,wasm
0.0443,200,float-operation,wasm
0.0447,200,float-operation,wasm
0.0448,200,float-operation,wasm
0.0445,200,float-operation,wasm
0.0404,200,float-operation,wasm
0.0445,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0448,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0446,200,float-operation,wasm
0.0442,200,float-operation,wasm
0.0449,200,float-operation,wasm
0.0445,200,float-operation,wasm
0.0283,200,float-operation,wasm
