response-time,status-code,test_name,batch
0.185,200,fuzzysearch,wasm
0.1726,200,fuzzysearch,wasm
0.1413,200,fuzzysearch,wasm
0.1443,200,fuzzysearch,wasm
0.1442,200,fuzzysearch,wasm
0.1426,200,fuzzysearch,wasm
0.1433,200,fuzzysearch,wasm
0.1382,200,fuzzysearch,wasm
0.125,200,fuzzysearch,wasm
0.1258,200,fuzzysearch,wasm
0.1455,200,fuzzysearch,wasm
0.1401,200,fuzzysearch,wasm
0.1384,200,fuzzysearch,wasm
0.1402,200,fuzzysearch,wasm
0.1324,200,fuzzysearch,wasm
0.1445,200,fuzzysearch,wasm
0.0989,200,fuzzysearch,wasm
0.1374,200,fuzzysearch,wasm
0.1418,200,fuzzysearch,wasm
0.1366,200,fuzzysearch,wasm
0.1425,200,fuzzysearch,wasm
0.1419,200,fuzzysearch,wasm
0.1295,200,fuzzysearch,wasm
0.1441,200,fuzzysearch,wasm
0.1418,200,fuzzysearch,wasm
0.1366,200,fuzzysearch,wasm
0.1417,200,fuzzysearch,wasm
0.1397,200,fuzzysearch,wasm
0.1423,200,fuzzysearch,wasm
0.1448,200,fuzzysearch,wasm
0.139,200,fuzzysearch,wasm
0.1378,200,fuzzysearch,wasm
0.1427,200,fuzzysearch,wasm
0.139,200,fuzzysearch,wasm
0.1372,200,fuzzysearch,wasm
0.1763,200,fuzzysearch,wasm
0.1252,200,fuzzysearch,wasm
0.1217,200,fuzzysearch,wasm
0.1393,200,fuzzysearch,wasm
0.1344,200,fuzzysearch,wasm
0.1352,200,fuzzysearch,wasm
0.1395,200,fuzzysearch,wasm
0.1399,200,fuzzysearch,wasm
0.1333,200,fuzzysearch,wasm
0.1383,200,fuzzysearch,wasm
0.1337,200,fuzzysearch,wasm
0.14,200,fuzzysearch,wasm
0.1309,200,fuzzysearch,wasm
0.1439,200,fuzzysearch,wasm
0.1117,200,fuzzysearch,wasm
0.1407,200,fuzzysearch,wasm
0.1419,200,fuzzysearch,wasm
0.1394,200,fuzzysearch,wasm
0.1383,200,fuzzysearch,wasm
0.1411,200,fuzzysearch,wasm
0.1335,200,fuzzysearch,wasm
0.1324,200,fuzzysearch,wasm
0.1378,200,fuzzysearch,wasm
0.1389,200,fuzzysearch,wasm
0.1375,200,fuzzysearch,wasm
0.1387,200,fuzzysearch,wasm
0.1316,200,fuzzysearch,wasm
0.1435,200,fuzzysearch,wasm
0.1196,200,fuzzysearch,wasm
0.129,200,fuzzysearch,wasm
0.1421,200,fuzzysearch,wasm
0.1284,200,fuzzysearch,wasm
0.1417,200,fuzzysearch,wasm
0.1353,200,fuzzysearch,wasm
0.144,200,fuzzysearch,wasm
0.143,200,fuzzysearch,wasm
0.1431,200,fuzzysearch,wasm
0.137,200,fuzzysearch,wasm
0.1304,200,fuzzysearch,wasm
0.1392,200,fuzzysearch,wasm
0.143,200,fuzzysearch,wasm
0.1392,200,fuzzysearch,wasm
0.1424,200,fuzzysearch,wasm
0.1733,200,fuzzysearch,wasm
0.1425,200,fuzzysearch,wasm
0.1496,200,fuzzysearch,wasm
0.1416,200,fuzzysearch,wasm
0.1386,200,fuzzysearch,wasm
0.1394,200,fuzzysearch,wasm
0.1335,200,fuzzysearch,wasm
0.144,200,fuzzysearch,wasm
0.1464,200,fuzzysearch,wasm
0.1369,200,fuzzysearch,wasm
0.142,200,fuzzysearch,wasm
0.1443,200,fuzzysearch,wasm
0.1439,200,fuzzysearch,wasm
0.1437,200,fuzzysearch,wasm
0.1149,200,fuzzysearch,wasm
0.1448,200,fuzzysearch,wasm
0.1457,200,fuzzysearch,wasm
0.1429,200,fuzzysearch,wasm
0.1346,200,fuzzysearch,wasm
0.135,200,fuzzysearch,wasm
0.1255,200,fuzzysearch,wasm
0.1437,200,fuzzysearch,wasm
