response-time,status-code,test_name,batch
0.0547,200,linear-equations,wasm
0.0545,200,linear-equations,wasm
0.0541,200,linear-equations,wasm
0.0576,200,linear-equations,wasm
0.0547,200,linear-equations,wasm
0.0528,200,linear-equations,wasm
0.0345,200,linear-equations,wasm
0.055,200,linear-equations,wasm
0.0544,200,linear-equations,wasm
0.0541,200,linear-equations,wasm
0.0543,200,linear-equations,wasm
0.0546,200,linear-equations,wasm
0.0539,200,linear-equations,wasm
0.053,200,linear-equations,wasm
0.054,200,linear-equations,wasm
0.0546,200,linear-equations,wasm
0.0542,200,linear-equations,wasm
0.055,200,linear-equations,wasm
0.054,200,linear-equations,wasm
0.0544,200,linear-equations,wasm
0.0548,200,linear-equations,wasm
0.0535,200,linear-equations,wasm
0.0545,200,linear-equations,wasm
0.0514,200,linear-equations,wasm
0.0545,200,linear-equations,wasm
0.0541,200,linear-equations,wasm
0.0547,200,linear-equations,wasm
0.0546,200,linear-equations,wasm
0.0551,200,linear-equations,wasm
0.0398,200,linear-equations,wasm
0.0526,200,linear-equations,wasm
0.054,200,linear-equations,wasm
0.0544,200,linear-equations,wasm
0.0583,200,linear-equations,wasm
0.0534,200,linear-equations,wasm
0.0563,200,linear-equations,wasm
0.0552,200,linear-equations,wasm
0.0547,200,linear-equations,wasm
0.0547,200,linear-equations,wasm
0.0548,200,linear-equations,wasm
0.0543,200,linear-equations,wasm
0.0545,200,linear-equations,wasm
0.0545,200,linear-equations,wasm
0.0542,200,linear-equations,wasm
0.0547,200,linear-equations,wasm
0.0537,200,linear-equations,wasm
0.0544,200,linear-equations,wasm
0.0541,200,linear-equations,wasm
0.0542,200,linear-equations,wasm
0.0493,200,linear-equations,wasm
0.047,200,linear-equations,wasm
0.0548,200,linear-equations,wasm
0.0544,200,linear-equations,wasm
0.0359,200,linear-equations,wasm
0.0544,200,linear-equations,wasm
0.054,200,linear-equations,wasm
0.0528,200,linear-equations,wasm
0.0548,200,linear-equations,wasm
0.0538,200,linear-equations,wasm
0.0541,200,linear-equations,wasm
0.0542,200,linear-equations,wasm
0.0548,200,linear-equations,wasm
0.0527,200,linear-equations,wasm
0.0543,200,linear-equations,wasm
0.0523,200,linear-equations,wasm
0.0541,200,linear-equations,wasm
0.0545,200,linear-equations,wasm
0.054,200,linear-equations,wasm
0.0547,200,linear-equations,wasm
0.0551,200,linear-equations,wasm
0.0547,200,linear-equations,wasm
0.0546,200,linear-equations,wasm
0.0542,200,linear-equations,wasm
0.0549,200,linear-equations,wasm
0.054,200,linear-equations,wasm
0.0556,200,linear-equations,wasm
0.0488,200,linear-equations,wasm
0.0541,200,linear-equations,wasm
0.0538,200,linear-equations,wasm
0.0544,200,linear-equations,wasm
0.0544,200,linear-equations,wasm
0.0547,200,linear-equations,wasm
0.0541,200,linear-equations,wasm
0.0542,200,linear-equations,wasm
0.0545,200,linear-equations,wasm
0.0546,200,linear-equations,wasm
0.0543,200,linear-equations,wasm
0.0547,200,linear-equations,wasm
0.0524,200,linear-equations,wasm
0.0548,200,linear-equations,wasm
0.0535,200,linear-equations,wasm
0.0551,200,linear-equations,wasm
0.0541,200,linear-equations,wasm
0.0546,200,linear-equations,wasm
0.0545,200,linear-equations,wasm
0.0557,200,linear-equations,wasm
0.0538,200,linear-equations,wasm
0.0545,200,linear-equations,wasm
0.0545,200,linear-equations,wasm
0.0548,200,linear-equations,wasm
