response-time,status-code,test_name,batch
0.063,200,matmul,wasm
0.0632,200,matmul,wasm
0.0627,200,matmul,wasm
0.0571,200,matmul,wasm
0.0622,200,matmul,wasm
0.063,200,matmul,wasm
0.0347,200,matmul,wasm
0.0628,200,matmul,wasm
0.0627,200,matmul,wasm
0.0626,200,matmul,wasm
0.0619,200,matmul,wasm
0.071,200,matmul,wasm
0.059,200,matmul,wasm
0.062,200,matmul,wasm
0.0622,200,matmul,wasm
0.0628,200,matmul,wasm
0.0626,200,matmul,wasm
0.062,200,matmul,wasm
0.0624,200,matmul,wasm
0.0622,200,matmul,wasm
0.0583,200,matmul,wasm
0.0623,200,matmul,wasm
0.0628,200,matmul,wasm
0.0622,200,matmul,wasm
0.0618,200,matmul,wasm
0.0624,200,matmul,wasm
0.0624,200,matmul,wasm
0.062,200,matmul,wasm
0.0618,200,matmul,wasm
0.0394,200,matmul,wasm
0.0623,200,matmul,wasm
0.062,200,matmul,wasm
0.0621,200,matmul,wasm
0.0635,200,matmul,wasm
0.0623,200,matmul,wasm
0.0429,200,matmul,wasm
0.0435,200,matmul,wasm
0.0621,200,matmul,wasm
0.062,200,matmul,wasm
0.0621,200,matmul,wasm
0.0621,200,matmul,wasm
0.0629,200,matmul,wasm
0.0624,200,matmul,wasm
0.0622,200,matmul,wasm
0.0627,200,matmul,wasm
0.0629,200,matmul,wasm
0.0623,200,matmul,wasm
0.0619,200,matmul,wasm
0.0625,200,matmul,wasm
0.0619,200,matmul,wasm
0.0622,200,matmul,wasm
0.0614,200,matmul,wasm
0.0629,200,matmul,wasm
0.0625,200,matmul,wasm
0.0635,200,matmul,wasm
0.0622,200,matmul,wasm
0.0623,200,matmul,wasm
0.062,200,matmul,wasm
0.0585,200,matmul,wasm
0.0611,200,matmul,wasm
0.0526,200,matmul,wasm
0.0622,200,matmul,wasm
0.0624,200,matmul,wasm
0.0621,200,matmul,wasm
0.0626,200,matmul,wasm
0.0633,200,matmul,wasm
0.0606,200,matmul,wasm
0.0619,200,matmul,wasm
0.0614,200,matmul,wasm
0.0629,200,matmul,wasm
0.06,200,matmul,wasm
0.0612,200,matmul,wasm
0.0619,200,matmul,wasm
0.062,200,matmul,wasm
0.0619,200,matmul,wasm
0.0622,200,matmul,wasm
0.0444,200,matmul,wasm
0.0606,200,matmul,wasm
0.062,200,matmul,wasm
0.0618,200,matmul,wasm
0.0614,200,matmul,wasm
0.0481,200,matmul,wasm
0.0563,200,matmul,wasm
0.0444,200,matmul,wasm
0.0623,200,matmul,wasm
0.0621,200,matmul,wasm
0.0623,200,matmul,wasm
0.063,200,matmul,wasm
0.0626,200,matmul,wasm
0.0621,200,matmul,wasm
0.0598,200,matmul,wasm
0.0578,200,matmul,wasm
0.0623,200,matmul,wasm
0.0623,200,matmul,wasm
0.0619,200,matmul,wasm
0.0421,503,matmul,wasm
0.0625,200,matmul,wasm
0.062,200,matmul,wasm
0.0621,200,matmul,wasm
0.0626,200,matmul,wasm
