response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0670,0.0410,0.0004,0.0001,0.0197,0.0061,200,0.0002
0.0688,0.0407,0.0004,0.0001,0.0196,0.0082,200,0.0003
0.0661,0.0408,0.0003,0.0001,0.0195,0.0056,200,0.0003
0.0698,0.0417,0.0003,0.0001,0.0195,0.0085,200,0.0002
0.0627,0.0405,0.0003,0.0001,0.0170,0.0050,200,0.0002
0.0675,0.0408,0.0004,0.0001,0.0194,0.0071,200,0.0002
0.0640,0.0402,0.0004,0.0001,0.0185,0.0051,200,0.0003
0.0666,0.0410,0.0002,0.0001,0.0192,0.0061,200,0.0002
0.0655,0.0409,0.0003,0.0001,0.0194,0.0050,200,0.0002
0.0665,0.0405,0.0003,0.0001,0.0197,0.0061,200,0.0002
0.0459,0.0305,0.0004,0.0001,0.0108,0.0044,200,0.0002
0.0672,0.0409,0.0005,0.0001,0.0194,0.0067,200,0.0003
0.0683,0.0408,0.0004,0.0001,0.0193,0.0082,200,0.0003
0.0599,0.0390,0.0003,0.0001,0.0153,0.0055,200,0.0002
0.0670,0.0410,0.0003,0.0001,0.0197,0.0062,200,0.0002
0.0767,0.0508,0.0005,0.0001,0.0197,0.0060,200,0.0003
0.0671,0.0415,0.0005,0.0001,0.0195,0.0060,200,0.0003
0.0643,0.0407,0.0003,0.0001,0.0177,0.0058,200,0.0002
0.0663,0.0406,0.0004,0.0001,0.0196,0.0060,200,0.0002
0.0664,0.0402,0.0003,0.0001,0.0200,0.0060,200,0.0002
0.0688,0.0406,0.0003,0.0001,0.0197,0.0083,200,0.0002
0.0672,0.0409,0.0004,0.0001,0.0197,0.0064,200,0.0003
0.0638,0.0412,0.0004,0.0001,0.0171,0.0054,200,0.0003
0.0661,0.0404,0.0004,0.0001,0.0194,0.0061,200,0.0002
0.0642,0.0408,0.0003,0.0001,0.0171,0.0060,200,0.0002
0.0684,0.0417,0.0004,0.0001,0.0193,0.0072,200,0.0002
0.0687,0.0408,0.0003,0.0001,0.0196,0.0081,200,0.0003
0.0603,0.0386,0.0004,0.0001,0.0169,0.0047,200,0.0002
0.0684,0.0407,0.0004,0.0001,0.0196,0.0080,200,0.0003
0.0626,0.0405,0.0003,0.0001,0.0168,0.0050,200,0.0002
0.0670,0.0410,0.0005,0.0001,0.0197,0.0060,200,0.0003
0.0617,0.0373,0.0004,0.0001,0.0195,0.0048,200,0.0002
0.0683,0.0403,0.0003,0.0001,0.0197,0.0081,200,0.0002
0.0538,0.0280,0.0004,0.0001,0.0196,0.0061,200,0.0003
0.0476,0.0220,0.0002,0.0001,0.0195,0.0061,200,0.0002
0.0633,0.0406,0.0003,0.0001,0.0171,0.0054,200,0.0003
0.0611,0.0410,0.0005,0.0001,0.0154,0.0045,200,0.0002
0.0623,0.0406,0.0003,0.0001,0.0172,0.0045,200,0.0002
0.0665,0.0409,0.0004,0.0001,0.0193,0.0061,200,0.0002
0.0676,0.0408,0.0003,0.0001,0.0196,0.0071,200,0.0002
0.0662,0.0405,0.0004,0.0001,0.0196,0.0060,200,0.0003
0.0673,0.0414,0.0003,0.0001,0.0196,0.0062,200,0.0002
0.0671,0.0411,0.0005,0.0001,0.0197,0.0060,200,0.0003
0.0673,0.0404,0.0004,0.0001,0.0196,0.0071,200,0.0003
0.0645,0.0408,0.0003,0.0001,0.0176,0.0059,200,0.0002
0.0666,0.0409,0.0004,0.0001,0.0195,0.0061,200,0.0002
0.0665,0.0406,0.0005,0.0001,0.0197,0.0061,200,0.0002
0.0641,0.0407,0.0003,0.0001,0.0171,0.0062,200,0.0002
0.0672,0.0413,0.0005,0.0001,0.0196,0.0061,200,0.0003
0.0664,0.0407,0.0004,0.0001,0.0194,0.0061,200,0.0003
0.0662,0.0416,0.0003,0.0001,0.0196,0.0048,200,0.0002
0.0676,0.0420,0.0004,0.0001,0.0194,0.0060,200,0.0002
0.0687,0.0407,0.0003,0.0001,0.0198,0.0080,200,0.0003
0.0664,0.0409,0.0004,0.0001,0.0193,0.0061,200,0.0003
0.0674,0.0405,0.0002,0.0001,0.0196,0.0073,200,0.0002
0.0668,0.0409,0.0004,0.0001,0.0198,0.0060,200,0.0003
0.0683,0.0413,0.0005,0.0001,0.0205,0.0062,200,0.0003
0.0553,0.0364,0.0004,0.0001,0.0130,0.0057,200,0.0002
0.0685,0.0408,0.0002,0.0001,0.0195,0.0080,200,0.0003
0.0663,0.0407,0.0002,0.0001,0.0194,0.0061,200,0.0002
0.0666,0.0409,0.0004,0.0001,0.0195,0.0059,200,0.0002
0.0683,0.0408,0.0004,0.0001,0.0194,0.0079,200,0.0002
