response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0451,0.0413,0.0004,0.0001,0.0036,0.0001,200,0.0003
0.0442,0.0408,0.0003,0.0001,0.0032,0.0001,200,0.0002
0.0444,0.0408,0.0004,0.0001,0.0034,0.0001,200,0.0003
0.0445,0.0407,0.0003,0.0001,0.0035,0.0001,200,0.0002
0.0446,0.0408,0.0002,0.0001,0.0035,0.0001,200,0.0002
0.0435,0.0401,0.0003,0.0001,0.0032,0.0001,200,0.0002
0.0449,0.0410,0.0004,0.0001,0.0036,0.0001,200,0.0003
0.0436,0.0399,0.0004,0.0001,0.0034,0.0001,200,0.0002
0.0403,0.0366,0.0003,0.0001,0.0034,0.0002,200,0.0002
0.0448,0.0411,0.0004,0.0001,0.0034,0.0001,200,0.0003
0.0447,0.0408,0.0005,0.0001,0.0035,0.0001,200,0.0003
0.0437,0.0401,0.0003,0.0001,0.0034,0.0002,200,0.0002
0.0443,0.0407,0.0003,0.0001,0.0033,0.0002,200,0.0002
0.0444,0.0406,0.0003,0.0001,0.0035,0.0002,200,0.0002
0.0447,0.0411,0.0004,0.0001,0.0033,0.0002,200,0.0003
0.0451,0.0413,0.0003,0.0001,0.0034,0.0002,200,0.0003
0.0414,0.0382,0.0004,0.0001,0.0029,0.0001,200,0.0002
0.0446,0.0407,0.0003,0.0001,0.0035,0.0002,200,0.0002
0.0446,0.0407,0.0003,0.0001,0.0035,0.0001,200,0.0003
0.0439,0.0404,0.0003,0.0001,0.0033,0.0001,200,0.0002
0.0439,0.0402,0.0004,0.0001,0.0034,0.0001,200,0.0002
0.0380,0.0343,0.0004,0.0001,0.0033,0.0001,200,0.0002
0.0396,0.0360,0.0004,0.0001,0.0034,0.0001,200,0.0002
0.0441,0.0404,0.0004,0.0001,0.0034,0.0001,200,0.0002
0.0448,0.0411,0.0005,0.0001,0.0034,0.0001,200,0.0003
0.0443,0.0405,0.0004,0.0001,0.0035,0.0001,200,0.0003
0.0442,0.0406,0.0003,0.0001,0.0033,0.0002,200,0.0002
0.0448,0.0410,0.0004,0.0001,0.0034,0.0001,200,0.0003
0.0441,0.0405,0.0003,0.0001,0.0033,0.0001,200,0.0002
0.0450,0.0411,0.0005,0.0001,0.0035,0.0001,200,0.0003
0.0452,0.0410,0.0004,0.0001,0.0038,0.0002,200,0.0002
0.0440,0.0402,0.0003,0.0001,0.0036,0.0001,200,0.0002
0.0449,0.0411,0.0004,0.0001,0.0035,0.0002,200,0.0002
0.0443,0.0406,0.0003,0.0001,0.0034,0.0001,200,0.0002
0.0448,0.0411,0.0004,0.0001,0.0034,0.0002,200,0.0002
