response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1850,0.0409,0.0004,0.0001,0.1437,0.0002,200,0.0002
0.1726,0.0413,0.0004,0.0001,0.1310,0.0002,200,0.0002
0.1413,0.0408,0.0005,0.0001,0.1001,0.0001,200,0.0003
0.1443,0.0409,0.0004,0.0001,0.1031,0.0002,200,0.0003
0.1442,0.0400,0.0003,0.0001,0.1040,0.0001,200,0.0002
0.1426,0.0410,0.0004,0.0001,0.1014,0.0001,200,0.0002
0.1433,0.0406,0.0003,0.0001,0.1024,0.0001,200,0.0002
0.1382,0.0407,0.0003,0.0001,0.0972,0.0001,200,0.0002
0.1250,0.0404,0.0004,0.0001,0.0843,0.0001,200,0.0003
0.1258,0.0407,0.0004,0.0001,0.0848,0.0001,200,0.0002
0.1455,0.0411,0.0004,0.0001,0.1041,0.0001,200,0.0003
0.1401,0.0408,0.0003,0.0001,0.0991,0.0001,200,0.0002
0.1384,0.0405,0.0002,0.0001,0.0976,0.0001,200,0.0002
0.1402,0.0407,0.0003,0.0001,0.0992,0.0001,200,0.0003
0.1324,0.0356,0.0002,0.0001,0.0964,0.0001,200,0.0002
0.1445,0.0409,0.0004,0.0001,0.1032,0.0002,200,0.0002
0.0989,0.0295,0.0005,0.0001,0.0691,0.0001,200,0.0003
0.1374,0.0408,0.0004,0.0001,0.0964,0.0001,200,0.0002
0.1418,0.0405,0.0004,0.0001,0.1009,0.0002,200,0.0002
0.1366,0.0407,0.0003,0.0001,0.0956,0.0002,200,0.0002
0.1425,0.0410,0.0005,0.0001,0.1012,0.0001,200,0.0003
0.1419,0.0412,0.0005,0.0001,0.1003,0.0002,200,0.0003
0.1295,0.0407,0.0005,0.0001,0.0885,0.0001,200,0.0003
0.1441,0.0406,0.0005,0.0000,0.1032,0.0002,200,0.0003
0.1418,0.0406,0.0004,0.0001,0.1009,0.0001,200,0.0003
0.1366,0.0402,0.0003,0.0001,0.0961,0.0001,200,0.0002
0.1417,0.0403,0.0003,0.0001,0.1012,0.0001,200,0.0002
0.1397,0.0381,0.0004,0.0001,0.1012,0.0001,200,0.0003
0.1423,0.0410,0.0004,0.0001,0.1009,0.0001,200,0.0003
0.1448,0.0416,0.0004,0.0001,0.1027,0.0002,200,0.0003
0.1390,0.0414,0.0004,0.0001,0.0972,0.0002,200,0.0003
0.1378,0.0406,0.0005,0.0001,0.0969,0.0002,200,0.0002
0.1427,0.0405,0.0003,0.0001,0.1018,0.0002,200,0.0002
0.1390,0.0405,0.0003,0.0001,0.0982,0.0002,200,0.0002
0.1372,0.0407,0.0003,0.0001,0.0962,0.0002,200,0.0002
0.1763,0.0405,0.0003,0.0001,0.1356,0.0001,200,0.0003
0.1252,0.0393,0.0005,0.0001,0.0855,0.0002,200,0.0002
0.1217,0.0408,0.0004,0.0001,0.0806,0.0001,200,0.0003
0.1393,0.0408,0.0005,0.0001,0.0982,0.0001,200,0.0003
0.1344,0.0409,0.0004,0.0001,0.0932,0.0001,200,0.0003
0.1352,0.0409,0.0004,0.0001,0.0940,0.0001,200,0.0003
0.1395,0.0411,0.0003,0.0001,0.0982,0.0001,200,0.0003
0.1399,0.0424,0.0004,0.0001,0.0972,0.0002,200,0.0002
0.1333,0.0408,0.0004,0.0001,0.0922,0.0001,200,0.0003
0.1383,0.0406,0.0003,0.0001,0.0974,0.0002,200,0.0002
0.1337,0.0409,0.0004,0.0001,0.0924,0.0001,200,0.0002
0.1400,0.0409,0.0004,0.0001,0.0987,0.0002,200,0.0003
0.1309,0.0403,0.0003,0.0001,0.0903,0.0001,200,0.0002
0.1439,0.0415,0.0005,0.0001,0.1022,0.0001,200,0.0002
0.1117,0.0221,0.0004,0.0001,0.0893,0.0001,200,0.0002
0.1407,0.0409,0.0003,0.0001,0.0995,0.0002,200,0.0003
0.1419,0.0406,0.0004,0.0001,0.1009,0.0002,200,0.0002
0.1394,0.0406,0.0003,0.0001,0.0984,0.0001,200,0.0002
0.1383,0.0407,0.0003,0.0001,0.0973,0.0002,200,0.0002
0.1411,0.0412,0.0004,0.0001,0.0996,0.0001,200,0.0002
0.1335,0.0404,0.0004,0.0001,0.0927,0.0001,200,0.0003
0.1324,0.0379,0.0004,0.0001,0.0943,0.0001,200,0.0003
0.1378,0.0406,0.0002,0.0001,0.0968,0.0002,200,0.0002
0.1389,0.0406,0.0005,0.0001,0.0980,0.0001,200,0.0003
0.1375,0.0411,0.0004,0.0001,0.0960,0.0001,200,0.0002
0.1387,0.0405,0.0004,0.0001,0.0979,0.0001,200,0.0003
0.1316,0.0409,0.0004,0.0001,0.0904,0.0001,200,0.0002
0.1435,0.0406,0.0002,0.0001,0.1026,0.0001,200,0.0002
0.1196,0.0414,0.0004,0.0001,0.0779,0.0002,200,0.0002
0.1290,0.0412,0.0004,0.0001,0.0875,0.0002,200,0.0003
0.1421,0.0474,0.0003,0.0001,0.0944,0.0002,200,0.0002
0.1284,0.0367,0.0004,0.0001,0.0914,0.0001,200,0.0003
0.1417,0.0412,0.0004,0.0001,0.1002,0.0001,200,0.0003
0.1353,0.0380,0.0004,0.0001,0.0969,0.0002,200,0.0003
0.1440,0.0405,0.0003,0.0001,0.1031,0.0002,200,0.0002
0.1430,0.0411,0.0004,0.0001,0.1015,0.0001,200,0.0003
0.1431,0.0410,0.0004,0.0001,0.1018,0.0001,200,0.0002
0.1370,0.0408,0.0004,0.0001,0.0958,0.0001,200,0.0002
0.1304,0.0382,0.0003,0.0001,0.0919,0.0002,200,0.0002
0.1392,0.0408,0.0004,0.0001,0.0982,0.0001,200,0.0002
0.1430,0.0409,0.0003,0.0001,0.1019,0.0001,200,0.0002
0.1392,0.0408,0.0003,0.0001,0.0982,0.0001,200,0.0002
0.1424,0.0410,0.0004,0.0001,0.1011,0.0001,200,0.0003
0.1733,0.0405,0.0003,0.0001,0.1325,0.0001,200,0.0002
0.1425,0.0409,0.0004,0.0001,0.1013,0.0001,200,0.0002
0.1496,0.0407,0.0005,0.0001,0.1085,0.0001,200,0.0002
0.1416,0.0406,0.0004,0.0001,0.1006,0.0002,200,0.0002
0.1386,0.0408,0.0003,0.0001,0.0976,0.0001,200,0.0003
0.1394,0.0418,0.0003,0.0001,0.0973,0.0001,200,0.0003
0.1335,0.0405,0.0004,0.0001,0.0927,0.0001,200,0.0003
0.1440,0.0415,0.0004,0.0001,0.1021,0.0002,200,0.0002
0.1464,0.0407,0.0003,0.0001,0.1054,0.0001,200,0.0002
