response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0547,0.0410,0.0004,0.0001,0.0133,0.0001,200,0.0003
0.0545,0.0408,0.0003,0.0001,0.0133,0.0002,200,0.0003
0.0541,0.0405,0.0002,0.0001,0.0133,0.0001,200,0.0002
0.0576,0.0407,0.0003,0.0001,0.0166,0.0001,200,0.0002
0.0547,0.0412,0.0004,0.0001,0.0132,0.0001,200,0.0003
0.0528,0.0404,0.0003,0.0001,0.0121,0.0001,200,0.0002
0.0345,0.0263,0.0005,0.0001,0.0079,0.0001,200,0.0003
0.0550,0.0415,0.0004,0.0001,0.0133,0.0001,200,0.0002
0.0544,0.0406,0.0003,0.0001,0.0134,0.0002,200,0.0002
0.0541,0.0405,0.0002,0.0001,0.0132,0.0002,200,0.0002
0.0543,0.0407,0.0003,0.0001,0.0132,0.0002,200,0.0002
0.0546,0.0408,0.0003,0.0001,0.0135,0.0001,200,0.0002
0.0539,0.0404,0.0003,0.0001,0.0133,0.0001,200,0.0002
0.0530,0.0409,0.0005,0.0001,0.0118,0.0002,200,0.0003
0.0540,0.0407,0.0004,0.0001,0.0131,0.0001,200,0.0003
0.0546,0.0410,0.0005,0.0001,0.0132,0.0001,200,0.0003
0.0542,0.0407,0.0003,0.0001,0.0131,0.0002,200,0.0002
0.0550,0.0414,0.0005,0.0001,0.0133,0.0001,200,0.0003
0.0540,0.0405,0.0003,0.0001,0.0132,0.0001,200,0.0002
0.0544,0.0411,0.0003,0.0001,0.0130,0.0002,200,0.0002
0.0548,0.0410,0.0004,0.0001,0.0134,0.0002,200,0.0002
0.0535,0.0404,0.0004,0.0001,0.0128,0.0001,200,0.0003
0.0545,0.0407,0.0004,0.0001,0.0135,0.0001,200,0.0002
0.0514,0.0413,0.0004,0.0001,0.0098,0.0001,200,0.0002
0.0545,0.0410,0.0003,0.0001,0.0132,0.0001,200,0.0002
0.0541,0.0406,0.0002,0.0001,0.0132,0.0001,200,0.0002
0.0547,0.0410,0.0004,0.0001,0.0133,0.0002,200,0.0002
0.0546,0.0409,0.0004,0.0001,0.0133,0.0002,200,0.0002
0.0551,0.0412,0.0004,0.0001,0.0136,0.0002,200,0.0002
0.0398,0.0287,0.0003,0.0001,0.0108,0.0001,200,0.0002
0.0526,0.0405,0.0004,0.0001,0.0119,0.0001,200,0.0002
0.0540,0.0405,0.0003,0.0001,0.0133,0.0001,200,0.0003
0.0544,0.0409,0.0004,0.0001,0.0132,0.0002,200,0.0002
0.0583,0.0445,0.0004,0.0001,0.0134,0.0001,200,0.0003
0.0534,0.0407,0.0003,0.0001,0.0123,0.0002,200,0.0003
0.0563,0.0419,0.0005,0.0001,0.0140,0.0002,200,0.0003
0.0552,0.0415,0.0004,0.0001,0.0134,0.0001,200,0.0003
0.0547,0.0412,0.0004,0.0001,0.0133,0.0001,200,0.0002
0.0547,0.0406,0.0004,0.0001,0.0138,0.0001,200,0.0002
0.0548,0.0406,0.0003,0.0001,0.0139,0.0002,200,0.0002
0.0543,0.0407,0.0004,0.0001,0.0133,0.0001,200,0.0002
0.0545,0.0409,0.0003,0.0001,0.0133,0.0001,200,0.0002
0.0545,0.0409,0.0003,0.0001,0.0133,0.0001,200,0.0002
0.0542,0.0406,0.0004,0.0001,0.0133,0.0001,200,0.0002
0.0547,0.0410,0.0005,0.0001,0.0133,0.0002,200,0.0003
