response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0630,0.0410,0.0004,0.0001,0.0203,0.0016,200,0.0003
0.0632,0.0408,0.0004,0.0001,0.0204,0.0019,200,0.0002
0.0627,0.0408,0.0004,0.0001,0.0201,0.0016,200,0.0002
0.0571,0.0410,0.0005,0.0001,0.0146,0.0013,200,0.0003
0.0622,0.0405,0.0004,0.0001,0.0200,0.0016,200,0.0003
0.0630,0.0412,0.0005,0.0001,0.0200,0.0015,200,0.0003
0.0347,0.0228,0.0004,0.0001,0.0111,0.0007,200,0.0002
0.0628,0.0409,0.0003,0.0001,0.0204,0.0013,200,0.0002
0.0627,0.0416,0.0003,0.0001,0.0197,0.0012,200,0.0003
0.0626,0.0408,0.0004,0.0001,0.0202,0.0014,200,0.0002
0.0619,0.0407,0.0003,0.0001,0.0198,0.0013,200,0.0002
0.0710,0.0498,0.0004,0.0001,0.0199,0.0011,200,0.0002
0.0590,0.0404,0.0003,0.0001,0.0173,0.0011,200,0.0002
0.0620,0.0406,0.0003,0.0001,0.0200,0.0013,200,0.0002
0.0622,0.0406,0.0003,0.0001,0.0198,0.0017,200,0.0002
0.0628,0.0407,0.0003,0.0001,0.0202,0.0018,200,0.0003
0.0626,0.0412,0.0004,0.0001,0.0200,0.0013,200,0.0003
0.0620,0.0409,0.0004,0.0001,0.0196,0.0014,200,0.0002
0.0624,0.0411,0.0004,0.0001,0.0198,0.0014,200,0.0003
0.0622,0.0425,0.0004,0.0001,0.0183,0.0013,200,0.0002
0.0583,0.0399,0.0003,0.0001,0.0173,0.0010,200,0.0003
0.0623,0.0406,0.0003,0.0001,0.0200,0.0017,200,0.0002
0.0628,0.0408,0.0005,0.0001,0.0199,0.0019,200,0.0003
0.0622,0.0407,0.0004,0.0001,0.0200,0.0013,200,0.0002
0.0618,0.0406,0.0003,0.0001,0.0198,0.0013,200,0.0002
0.0624,0.0408,0.0004,0.0001,0.0202,0.0013,200,0.0002
0.0624,0.0407,0.0004,0.0001,0.0198,0.0018,200,0.0003
0.0620,0.0405,0.0003,0.0001,0.0201,0.0014,200,0.0002
0.0618,0.0406,0.0003,0.0001,0.0198,0.0014,200,0.0002
0.0394,0.0260,0.0003,0.0001,0.0126,0.0007,200,0.0002
0.0623,0.0408,0.0004,0.0001,0.0199,0.0014,200,0.0003
0.0620,0.0407,0.0004,0.0001,0.0198,0.0014,200,0.0002
0.0621,0.0407,0.0004,0.0001,0.0197,0.0015,200,0.0002
0.0635,0.0410,0.0004,0.0001,0.0210,0.0014,200,0.0002
0.0623,0.0408,0.0004,0.0001,0.0201,0.0013,200,0.0002
0.0429,0.0236,0.0003,0.0001,0.0182,0.0007,200,0.0003
0.0435,0.0221,0.0003,0.0001,0.0198,0.0014,200,0.0003
0.0621,0.0407,0.0004,0.0001,0.0199,0.0014,200,0.0002
0.0620,0.0403,0.0003,0.0001,0.0203,0.0013,200,0.0002
0.0621,0.0406,0.0003,0.0001,0.0200,0.0014,200,0.0003
0.0621,0.0405,0.0003,0.0001,0.0200,0.0014,200,0.0002
0.0629,0.0409,0.0002,0.0001,0.0204,0.0014,200,0.0002
0.0624,0.0409,0.0003,0.0001,0.0202,0.0012,200,0.0002
0.0622,0.0407,0.0004,0.0001,0.0197,0.0016,200,0.0002
0.0627,0.0410,0.0004,0.0001,0.0198,0.0017,200,0.0002
0.0629,0.0406,0.0003,0.0001,0.0202,0.0019,200,0.0002
0.0623,0.0410,0.0005,0.0001,0.0198,0.0013,200,0.0003
0.0619,0.0405,0.0004,0.0001,0.0200,0.0013,200,0.0002
0.0625,0.0409,0.0004,0.0001,0.0203,0.0012,200,0.0003
0.0619,0.0407,0.0002,0.0001,0.0198,0.0013,200,0.0002
0.0622,0.0410,0.0004,0.0001,0.0199,0.0011,200,0.0002
0.0614,0.0401,0.0003,0.0001,0.0200,0.0012,200,0.0002
0.0629,0.0407,0.0003,0.0001,0.0202,0.0019,200,0.0002
0.0625,0.0409,0.0003,0.0001,0.0201,0.0014,200,0.0002
0.0635,0.0418,0.0005,0.0001,0.0203,0.0012,200,0.0003
0.0622,0.0407,0.0003,0.0001,0.0199,0.0014,200,0.0002
0.0623,0.0407,0.0003,0.0001,0.0201,0.0013,200,0.0002
0.0620,0.0405,0.0004,0.0001,0.0199,0.0013,200,0.0003
0.0585,0.0372,0.0004,0.0001,0.0198,0.0013,200,0.0002
0.0611,0.0405,0.0002,0.0001,0.0190,0.0014,200,0.0002
0.0526,0.0317,0.0004,0.0001,0.0198,0.0010,200,0.0003
0.0622,0.0409,0.0004,0.0001,0.0198,0.0013,200,0.0003
0.0624,0.0408,0.0005,0.0001,0.0201,0.0014,200,0.0003
0.0621,0.0408,0.0003,0.0001,0.0198,0.0013,200,0.0002
0.0626,0.0414,0.0004,0.0001,0.0197,0.0014,200,0.0003
0.0633,0.0418,0.0004,0.0001,0.0200,0.0013,200,0.0002
0.0606,0.0394,0.0003,0.0001,0.0197,0.0013,200,0.0002
0.0619,0.0406,0.0003,0.0001,0.0198,0.0013,200,0.0002
