response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0442,0.0406,0.0004,0.0001,0.0034,0.0001,200,0.0002
0.0450,0.0411,0.0003,0.0001,0.0036,0.0001,200,0.0003
0.0447,0.0407,0.0004,0.0001,0.0037,0.0001,200,0.0002
0.0448,0.0410,0.0003,0.0001,0.0035,0.0002,200,0.0003
0.0446,0.0406,0.0003,0.0001,0.0037,0.0002,200,0.0002
0.0443,0.0404,0.0003,0.0001,0.0037,0.0001,200,0.0002
0.0447,0.0407,0.0003,0.0001,0.0038,0.0001,200,0.0002
0.0451,0.0410,0.0004,0.0001,0.0038,0.0001,200,0.0002
0.0530,0.0490,0.0003,0.0001,0.0037,0.0001,200,0.0002
0.0431,0.0398,0.0003,0.0001,0.0030,0.0001,200,0.0002
0.0445,0.0406,0.0003,0.0001,0.0036,0.0001,200,0.0002
0.0442,0.0402,0.0002,0.0001,0.0038,0.0001,200,0.0002
0.0447,0.0406,0.0004,0.0001,0.0038,0.0001,200,0.0003
0.0447,0.0407,0.0004,0.0001,0.0036,0.0001,200,0.0003
0.0446,0.0404,0.0004,0.0001,0.0039,0.0002,200,0.0003
0.0446,0.0406,0.0003,0.0001,0.0037,0.0002,200,0.0002
0.0448,0.0407,0.0004,0.0001,0.0038,0.0002,200,0.0002
0.0447,0.0407,0.0003,0.0001,0.0036,0.0002,200,0.0003
0.0461,0.0420,0.0004,0.0001,0.0037,0.0002,200,0.0002
0.0448,0.0407,0.0003,0.0001,0.0037,0.0001,200,0.0002
0.0456,0.0415,0.0004,0.0001,0.0039,0.0001,200,0.0003
0.0448,0.0408,0.0004,0.0001,0.0037,0.0001,200,0.0002
0.0432,0.0395,0.0004,0.0001,0.0033,0.0001,200,0.0003
0.0437,0.0407,0.0003,0.0001,0.0028,0.0001,200,0.0002
0.0445,0.0406,0.0003,0.0001,0.0036,0.0001,200,0.0002
0.0445,0.0407,0.0004,0.0001,0.0035,0.0002,200,0.0002
0.0448,0.0408,0.0004,0.0001,0.0036,0.0001,200,0.0003
0.0447,0.0408,0.0004,0.0001,0.0035,0.0002,200,0.0003
0.0456,0.0415,0.0004,0.0001,0.0038,0.0001,200,0.0003
0.0448,0.0409,0.0004,0.0001,0.0037,0.0002,200,0.0002
0.0446,0.0406,0.0004,0.0001,0.0037,0.0001,200,0.0003
0.0476,0.0429,0.0004,0.0001,0.0044,0.0001,200,0.0002
0.0445,0.0405,0.0003,0.0001,0.0038,0.0001,200,0.0002
0.0385,0.0345,0.0004,0.0001,0.0037,0.0002,200,0.0002
0.0447,0.0407,0.0003,0.0001,0.0038,0.0002,200,0.0002
0.0445,0.0405,0.0003,0.0001,0.0037,0.0001,200,0.0002
0.0449,0.0409,0.0005,0.0001,0.0036,0.0001,200,0.0003
0.0446,0.0406,0.0003,0.0001,0.0037,0.0001,200,0.0002
0.0447,0.0407,0.0004,0.0001,0.0037,0.0001,200,0.0003
0.0450,0.0409,0.0005,0.0001,0.0038,0.0001,200,0.0003
0.0489,0.0450,0.0004,0.0001,0.0036,0.0002,200,0.0002
0.0449,0.0410,0.0005,0.0001,0.0036,0.0001,200,0.0003
