response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0882,0.0408,0.0003,0.0001,0.0470,0.0002,200,0.0002
0.0800,0.0407,0.0004,0.0001,0.0389,0.0002,200,0.0002
0.0832,0.0408,0.0005,0.0001,0.0420,0.0001,200,0.0003
0.0801,0.0404,0.0005,0.0001,0.0394,0.0001,200,0.0002
0.0805,0.0400,0.0004,0.0001,0.0403,0.0001,200,0.0002
0.0835,0.0406,0.0003,0.0001,0.0425,0.0002,200,0.0003
0.0865,0.0407,0.0003,0.0001,0.0455,0.0002,200,0.0002
0.0876,0.0449,0.0004,0.0001,0.0425,0.0001,200,0.0002
0.0879,0.0407,0.0003,0.0001,0.0469,0.0002,200,0.0002
0.0836,0.0411,0.0004,0.0001,0.0421,0.0002,200,0.0003
0.0939,0.0386,0.0004,0.0001,0.0550,0.0002,200,0.0002
0.0923,0.0407,0.0004,0.0001,0.0512,0.0002,200,0.0002
0.0432,0.0410,0.0004,0.0001,0.0018,0.0001,502,0.0002
0.0907,0.0403,0.0003,0.0001,0.0500,0.0002,200,0.0002
0.0831,0.0408,0.0003,0.0001,0.0420,0.0001,200,0.0002
0.0818,0.0412,0.0004,0.0001,0.0403,0.0001,200,0.0003
0.0896,0.0399,0.0003,0.0001,0.0494,0.0001,200,0.0002
0.0818,0.0409,0.0004,0.0001,0.0406,0.0002,200,0.0002
0.0829,0.0408,0.0003,0.0001,0.0418,0.0002,200,0.0002
0.0896,0.0412,0.0004,0.0001,0.0480,0.0002,200,0.0003
0.0836,0.0404,0.0003,0.0001,0.0430,0.0001,200,0.0002
0.0789,0.0410,0.0005,0.0001,0.0375,0.0001,200,0.0003
0.0825,0.0406,0.0005,0.0001,0.0417,0.0001,200,0.0002
0.0838,0.0408,0.0005,0.0001,0.0426,0.0001,200,0.0003
0.1057,0.0408,0.0005,0.0001,0.0646,0.0001,200,0.0003
0.0870,0.0404,0.0003,0.0001,0.0463,0.0002,200,0.0002
0.0888,0.0407,0.0002,0.0001,0.0479,0.0001,200,0.0002
0.0876,0.0364,0.0004,0.0001,0.0510,0.0001,200,0.0002
0.0773,0.0407,0.0004,0.0001,0.0363,0.0001,200,0.0002
0.0960,0.0411,0.0003,0.0001,0.0547,0.0001,200,0.0002
0.0803,0.0409,0.0004,0.0001,0.0391,0.0001,200,0.0003
0.0842,0.0409,0.0004,0.0001,0.0431,0.0001,200,0.0003
0.0792,0.0402,0.0004,0.0001,0.0387,0.0001,200,0.0003
0.0826,0.0409,0.0004,0.0001,0.0413,0.0002,200,0.0002
0.1191,0.0297,0.0004,0.0001,0.0891,0.0001,200,0.0003
0.0799,0.0409,0.0004,0.0001,0.0386,0.0001,200,0.0003
0.0789,0.0368,0.0003,0.0001,0.0420,0.0001,200,0.0002
0.1106,0.0409,0.0004,0.0001,0.0695,0.0001,200,0.0002
0.0992,0.0411,0.0004,0.0001,0.0579,0.0001,200,0.0002
0.0843,0.0411,0.0004,0.0001,0.0428,0.0002,200,0.0002
0.0942,0.0408,0.0004,0.0001,0.0531,0.0002,200,0.0002
