response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0461,0.0411,0.0004,0.0001,0.0047,0.0002,200,0.0003
0.0453,0.0407,0.0003,0.0001,0.0042,0.0002,200,0.0002
0.0451,0.0407,0.0004,0.0001,0.0041,0.0002,200,0.0002
0.0455,0.0404,0.0003,0.0001,0.0048,0.0001,200,0.0002
0.0453,0.0404,0.0004,0.0001,0.0048,0.0001,200,0.0002
0.0461,0.0412,0.0004,0.0002,0.0046,0.0001,200,0.0002
0.0459,0.0410,0.0005,0.0001,0.0046,0.0001,200,0.0003
0.0258,0.0224,0.0003,0.0001,0.0032,0.0001,200,0.0002
0.0447,0.0400,0.0003,0.0001,0.0044,0.0001,200,0.0002
0.0457,0.0408,0.0003,0.0001,0.0046,0.0001,200,0.0002
0.0431,0.0386,0.0004,0.0001,0.0041,0.0002,200,0.0002
0.0457,0.0406,0.0002,0.0001,0.0048,0.0001,200,0.0002
0.0455,0.0406,0.0002,0.0001,0.0046,0.0002,200,0.0002
0.0457,0.0406,0.0003,0.0001,0.0048,0.0001,200,0.0002
0.0455,0.0408,0.0003,0.0001,0.0044,0.0001,200,0.0002
0.0456,0.0406,0.0003,0.0001,0.0047,0.0001,200,0.0002
0.0447,0.0399,0.0004,0.0001,0.0046,0.0001,200,0.0002
0.0447,0.0400,0.0003,0.0001,0.0045,0.0001,200,0.0002
0.0457,0.0408,0.0003,0.0001,0.0046,0.0002,200,0.0002
0.0460,0.0410,0.0004,0.0001,0.0047,0.0001,200,0.0002
0.0454,0.0405,0.0004,0.0001,0.0045,0.0002,200,0.0002
0.0433,0.0383,0.0003,0.0001,0.0047,0.0001,200,0.0002
0.0450,0.0407,0.0002,0.0001,0.0040,0.0001,200,0.0002
0.0455,0.0406,0.0002,0.0001,0.0047,0.0001,200,0.0002
0.0459,0.0408,0.0002,0.0001,0.0048,0.0001,200,0.0002
0.0464,0.0414,0.0003,0.0001,0.0047,0.0001,200,0.0002
0.0457,0.0407,0.0003,0.0001,0.0048,0.0001,200,0.0002
0.0459,0.0409,0.0004,0.0001,0.0046,0.0001,200,0.0003
0.0457,0.0406,0.0004,0.0001,0.0049,0.0001,200,0.0002
0.0456,0.0405,0.0003,0.0001,0.0048,0.0001,200,0.0002
0.0445,0.0399,0.0004,0.0002,0.0042,0.0002,200,0.0002
0.0303,0.0263,0.0004,0.0001,0.0036,0.0001,200,0.0003
0.0460,0.0409,0.0004,0.0001,0.0048,0.0002,200,0.0004
0.0463,0.0411,0.0004,0.0001,0.0049,0.0002,200,0.0002
0.0448,0.0400,0.0003,0.0001,0.0046,0.0001,200,0.0002
0.0458,0.0410,0.0004,0.0001,0.0046,0.0001,200,0.0002
0.0461,0.0411,0.0004,0.0001,0.0047,0.0001,200,0.0003
0.0456,0.0407,0.0004,0.0001,0.0046,0.0001,200,0.0003
0.0456,0.0407,0.0004,0.0001,0.0047,0.0001,200,0.0002
0.0410,0.0366,0.0003,0.0001,0.0041,0.0001,200,0.0002
0.0455,0.0405,0.0003,0.0001,0.0047,0.0001,200,0.0002
0.0461,0.0413,0.0003,0.0001,0.0045,0.0001,200,0.0003
0.0454,0.0404,0.0002,0.0001,0.0047,0.0002,200,0.0002
0.0459,0.0408,0.0005,0.0001,0.0047,0.0002,200,0.0003
0.0467,0.0419,0.0005,0.0001,0.0045,0.0001,200,0.0003
0.0446,0.0399,0.0003,0.0001,0.0045,0.0001,200,0.0002
0.0456,0.0409,0.0004,0.0001,0.0043,0.0002,200,0.0002
0.0456,0.0410,0.0005,0.0001,0.0044,0.0001,200,0.0003
0.0458,0.0406,0.0004,0.0001,0.0049,0.0001,200,0.0002
0.0457,0.0407,0.0004,0.0001,0.0048,0.0001,200,0.0002
0.0455,0.0405,0.0004,0.0001,0.0047,0.0001,200,0.0003
0.0458,0.0408,0.0003,0.0001,0.0047,0.0001,200,0.0002
0.0458,0.0407,0.0004,0.0001,0.0048,0.0002,200,0.0002
0.0456,0.0407,0.0003,0.0001,0.0045,0.0002,200,0.0003
0.0278,0.0245,0.0003,0.0001,0.0029,0.0002,200,0.0003
0.0500,0.0462,0.0004,0.0001,0.0035,0.0001,200,0.0003
0.0457,0.0408,0.0005,0.0001,0.0046,0.0001,200,0.0003
0.0446,0.0402,0.0003,0.0001,0.0042,0.0001,200,0.0002
0.0461,0.0409,0.0005,0.0001,0.0047,0.0002,200,0.0003
0.0455,0.0405,0.0002,0.0001,0.0047,0.0002,200,0.0002
0.0460,0.0409,0.0005,0.0001,0.0048,0.0001,200,0.0002
0.0456,0.0408,0.0004,0.0001,0.0046,0.0001,200,0.0003
0.0463,0.0413,0.0004,0.0001,0.0047,0.0001,200,0.0003
0.0459,0.0411,0.0003,0.0001,0.0046,0.0001,200,0.0002
0.0463,0.0412,0.0004,0.0001,0.0047,0.0002,200,0.0002
0.0455,0.0409,0.0004,0.0001,0.0043,0.0002,200,0.0003
0.0456,0.0406,0.0003,0.0001,0.0047,0.0001,200,0.0002
0.0454,0.0406,0.0002,0.0001,0.0046,0.0001,200,0.0002
0.0378,0.0331,0.0004,0.0001,0.0043,0.0002,200,0.0003
0.0458,0.0408,0.0003,0.0001,0.0047,0.0001,200,0.0002
0.0461,0.0411,0.0004,0.0001,0.0046,0.0002,200,0.0002
0.0461,0.0411,0.0004,0.0001,0.0047,0.0001,200,0.0003
0.0454,0.0406,0.0003,0.0001,0.0045,0.0002,200,0.0002
0.0456,0.0407,0.0003,0.0001,0.0047,0.0001,200,0.0002
0.0459,0.0408,0.0004,0.0001,0.0048,0.0002,200,0.0002
