response-time,status-code,test_name,batch
0.0442,200,prime-numbers,wasm
0.045,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.0446,200,prime-numbers,wasm
0.0443,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0451,200,prime-numbers,wasm
0.053,200,prime-numbers,wasm
0.0431,200,prime-numbers,wasm
0.0445,200,prime-numbers,wasm
0.0442,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0446,200,prime-numbers,wasm
0.0446,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0461,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.0456,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.0432,200,prime-numbers,wasm
0.0437,200,prime-numbers,wasm
0.0445,200,prime-numbers,wasm
0.0445,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0456,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.0446,200,prime-numbers,wasm
0.0476,200,prime-numbers,wasm
0.0445,200,prime-numbers,wasm
0.0385,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0445,200,prime-numbers,wasm
0.0449,200,prime-numbers,wasm
0.0446,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.045,200,prime-numbers,wasm
0.0489,200,prime-numbers,wasm
0.0449,200,prime-numbers,wasm
0.0449,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.0438,200,prime-numbers,wasm
0.0442,200,prime-numbers,wasm
0.0443,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0444,200,prime-numbers,wasm
0.0452,200,prime-numbers,wasm
0.0446,200,prime-numbers,wasm
0.0446,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0449,200,prime-numbers,wasm
0.045,200,prime-numbers,wasm
0.0449,200,prime-numbers,wasm
0.0438,200,prime-numbers,wasm
0.045,200,prime-numbers,wasm
0.0444,200,prime-numbers,wasm
0.0442,200,prime-numbers,wasm
0.0449,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.0451,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.0451,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.0252,200,prime-numbers,wasm
0.0442,200,prime-numbers,wasm
0.045,200,prime-numbers,wasm
0.0453,200,prime-numbers,wasm
0.0443,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0444,200,prime-numbers,wasm
0.0454,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0445,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.045,200,prime-numbers,wasm
0.0438,200,prime-numbers,wasm
0.0388,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0451,200,prime-numbers,wasm
0.0445,200,prime-numbers,wasm
0.0445,200,prime-numbers,wasm
0.0445,200,prime-numbers,wasm
0.0443,200,prime-numbers,wasm
0.0456,200,prime-numbers,wasm
0.0442,200,prime-numbers,wasm
0.0441,200,prime-numbers,wasm
0.0451,200,prime-numbers,wasm
0.0451,200,prime-numbers,wasm
0.0452,200,prime-numbers,wasm
0.0449,200,prime-numbers,wasm
0.0449,200,prime-numbers,wasm
0.0447,200,prime-numbers,wasm
0.0417,200,prime-numbers,wasm
0.0448,200,prime-numbers,wasm
0.045,200,prime-numbers,wasm
0.0445,200,prime-numbers,wasm
