response-time,status-code,test_name,batch
0.0882,200,user-manager,wasm
0.08,200,user-manager,wasm
0.0832,200,user-manager,wasm
0.0801,200,user-manager,wasm
0.0805,200,user-manager,wasm
0.0835,200,user-manager,wasm
0.0865,200,user-manager,wasm
0.0876,200,user-manager,wasm
0.0879,200,user-manager,wasm
0.0836,200,user-manager,wasm
0.0939,200,user-manager,wasm
0.0923,200,user-manager,wasm
0.0432,502,user-manager,wasm
0.0907,200,user-manager,wasm
0.0831,200,user-manager,wasm
0.0818,200,user-manager,wasm
0.0896,200,user-manager,wasm
0.0818,200,user-manager,wasm
0.0829,200,user-manager,wasm
0.0896,200,user-manager,wasm
0.0836,200,user-manager,wasm
0.0789,200,user-manager,wasm
0.0825,200,user-manager,wasm
0.0838,200,user-manager,wasm
0.1057,200,user-manager,wasm
0.087,200,user-manager,wasm
0.0888,200,user-manager,wasm
0.0876,200,user-manager,wasm
0.0773,200,user-manager,wasm
0.096,200,user-manager,wasm
0.0803,200,user-manager,wasm
0.0842,200,user-manager,wasm
0.0792,200,user-manager,wasm
0.0826,200,user-manager,wasm
0.1191,200,user-manager,wasm
0.0799,200,user-manager,wasm
0.0789,200,user-manager,wasm
0.1106,200,user-manager,wasm
0.0992,200,user-manager,wasm
0.0843,200,user-manager,wasm
0.0942,200,user-manager,wasm
0.1159,200,user-manager,wasm
0.0942,200,user-manager,wasm
0.097,200,user-manager,wasm
0.0837,200,user-manager,wasm
0.0828,200,user-manager,wasm
0.077,200,user-manager,wasm
0.0811,200,user-manager,wasm
0.0798,200,user-manager,wasm
0.0949,200,user-manager,wasm
0.0848,200,user-manager,wasm
0.0849,200,user-manager,wasm
0.088,200,user-manager,wasm
0.0877,200,user-manager,wasm
0.0877,200,user-manager,wasm
0.0848,200,user-manager,wasm
0.0803,200,user-manager,wasm
0.0872,200,user-manager,wasm
0.0819,200,user-manager,wasm
0.0858,200,user-manager,wasm
0.0788,200,user-manager,wasm
0.0859,200,user-manager,wasm
0.0814,200,user-manager,wasm
0.0856,200,user-manager,wasm
0.0823,200,user-manager,wasm
0.0839,200,user-manager,wasm
0.0793,200,user-manager,wasm
0.0875,200,user-manager,wasm
0.1029,200,user-manager,wasm
0.0844,200,user-manager,wasm
0.0935,200,user-manager,wasm
0.0913,200,user-manager,wasm
0.079,200,user-manager,wasm
0.0833,200,user-manager,wasm
0.0753,200,user-manager,wasm
0.0789,200,user-manager,wasm
0.074,200,user-manager,wasm
0.0914,200,user-manager,wasm
0.0817,200,user-manager,wasm
0.084,200,user-manager,wasm
0.0911,200,user-manager,wasm
0.0848,200,user-manager,wasm
0.0919,200,user-manager,wasm
0.0862,200,user-manager,wasm
0.0819,200,user-manager,wasm
0.0808,200,user-manager,wasm
0.0819,200,user-manager,wasm
0.1002,200,user-manager,wasm
0.09,200,user-manager,wasm
0.0857,200,user-manager,wasm
0.083,200,user-manager,wasm
0.0768,200,user-manager,wasm
0.0856,200,user-manager,wasm
0.0823,200,user-manager,wasm
0.082,200,user-manager,wasm
0.0945,200,user-manager,wasm
0.098,200,user-manager,wasm
0.0863,200,user-manager,wasm
0.0833,200,user-manager,wasm
0.0839,200,user-manager,wasm
