response-time,status-code,test_name,batch
0.0452,200,float-operation,openfaas
0.0694,200,float-operation,openfaas
0.0696,200,float-operation,openfaas
0.07,200,float-operation,openfaas
0.0711,200,float-operation,openfaas
0.0259,200,float-operation,openfaas
0.039,200,float-operation,openfaas
0.0407,200,float-operation,openfaas
0.0419,200,float-operation,openfaas
0.042,200,float-operation,openfaas
0.0399,200,float-operation,openfaas
0.04,200,float-operation,openfaas
0.0931,200,float-operation,openfaas
0.0935,200,float-operation,openfaas
0.0947,200,float-operation,openfaas
0.04,200,float-operation,openfaas
0.0415,200,float-operation,openfaas
0.0642,200,float-operation,openfaas
0.089,200,float-operation,openfaas
0.0904,200,float-operation,openfaas
0.0384,200,float-operation,openfaas
0.0606,200,float-operation,openfaas
0.0623,200,float-operation,openfaas
0.068,200,float-operation,openfaas
0.0698,200,float-operation,openfaas
0.0379,200,float-operation,openfaas
0.0664,200,float-operation,openfaas
0.0666,200,float-operation,openfaas
0.0679,200,float-operation,openfaas
0.0681,200,float-operation,openfaas
0.0386,200,float-operation,openfaas
0.0585,200,float-operation,openfaas
0.1066,200,float-operation,openfaas
0.1072,200,float-operation,openfaas
0.1085,200,float-operation,openfaas
0.0385,200,float-operation,openfaas
0.0391,200,float-operation,openfaas
0.0937,200,float-operation,openfaas
0.0939,200,float-operation,openfaas
0.0954,200,float-operation,openfaas
0.0344,200,float-operation,openfaas
0.0586,200,float-operation,openfaas
0.0606,200,float-operation,openfaas
0.0607,200,float-operation,openfaas
0.0607,200,float-operation,openfaas
0.0454,200,float-operation,openfaas
0.0736,200,float-operation,openfaas
0.0739,200,float-operation,openfaas
0.0748,200,float-operation,openfaas
0.0769,200,float-operation,openfaas
0.0436,200,float-operation,openfaas
0.0443,200,float-operation,openfaas
0.045,200,float-operation,openfaas
0.0741,200,float-operation,openfaas
0.0757,200,float-operation,openfaas
0.0344,200,float-operation,openfaas
0.0555,200,float-operation,openfaas
0.0991,200,float-operation,openfaas
0.0994,200,float-operation,openfaas
0.1011,200,float-operation,openfaas
0.0266,200,float-operation,openfaas
0.0279,200,float-operation,openfaas
0.0293,200,float-operation,openfaas
0.0593,200,float-operation,openfaas
0.0612,200,float-operation,openfaas
0.0387,200,float-operation,openfaas
0.0404,200,float-operation,openfaas
0.0409,200,float-operation,openfaas
0.06,200,float-operation,openfaas
0.0614,200,float-operation,openfaas
0.0438,200,float-operation,openfaas
0.0678,200,float-operation,openfaas
0.0683,200,float-operation,openfaas
0.0763,200,float-operation,openfaas
0.0779,200,float-operation,openfaas
0.044,200,float-operation,openfaas
0.045,200,float-operation,openfaas
0.0455,200,float-operation,openfaas
0.0684,200,float-operation,openfaas
0.0687,200,float-operation,openfaas
0.0462,200,float-operation,openfaas
0.0465,200,float-operation,openfaas
0.047,200,float-operation,openfaas
0.0747,200,float-operation,openfaas
0.0762,200,float-operation,openfaas
0.0435,200,float-operation,openfaas
0.046,200,float-operation,openfaas
0.0464,200,float-operation,openfaas
0.0746,200,float-operation,openfaas
0.0763,200,float-operation,openfaas
0.0538,200,float-operation,openfaas
0.0538,200,float-operation,openfaas
0.0592,200,float-operation,openfaas
0.0849,200,float-operation,openfaas
0.0863,200,float-operation,openfaas
0.0342,200,float-operation,openfaas
0.0522,200,float-operation,openfaas
0.053,200,float-operation,openfaas
0.0536,200,float-operation,openfaas
0.0538,200,float-operation,openfaas
0.038,200,float-operation,openfaas
0.0393,200,float-operation,openfaas
0.0404,200,float-operation,openfaas
0.0706,200,float-operation,openfaas
0.0723,200,float-operation,openfaas
0.0433,200,float-operation,openfaas
0.0445,200,float-operation,openfaas
0.0448,200,float-operation,openfaas
0.0678,200,float-operation,openfaas
0.0688,200,float-operation,openfaas
0.0862,200,float-operation,openfaas
0.0876,200,float-operation,openfaas
0.1067,200,float-operation,openfaas
0.107,200,float-operation,openfaas
0.108,200,float-operation,openfaas
0.0396,200,float-operation,openfaas
0.0398,200,float-operation,openfaas
0.0399,200,float-operation,openfaas
0.0692,200,float-operation,openfaas
0.0709,200,float-operation,openfaas
0.0384,200,float-operation,openfaas
0.0386,200,float-operation,openfaas
0.0395,200,float-operation,openfaas
0.0627,200,float-operation,openfaas
0.0643,200,float-operation,openfaas
0.0394,200,float-operation,openfaas
0.0669,200,float-operation,openfaas
