response-time,status-code,test_name,batch
0.0485,200,linear-equations,openfaas
0.0515,200,linear-equations,openfaas
0.0701,200,linear-equations,openfaas
0.0958,200,linear-equations,openfaas
0.0968,200,linear-equations,openfaas
0.0329,200,linear-equations,openfaas
0.0344,200,linear-equations,openfaas
0.0345,200,linear-equations,openfaas
0.0527,200,linear-equations,openfaas
0.0534,200,linear-equations,openfaas
0.0285,200,linear-equations,openfaas
0.0286,200,linear-equations,openfaas
0.0289,200,linear-equations,openfaas
0.0436,200,linear-equations,openfaas
0.0453,200,linear-equations,openfaas
0.0469,200,linear-equations,openfaas
0.0473,200,linear-equations,openfaas
0.0703,200,linear-equations,openfaas
0.0964,200,linear-equations,openfaas
0.0976,200,linear-equations,openfaas
0.0584,200,linear-equations,openfaas
0.0613,200,linear-equations,openfaas
0.0636,200,linear-equations,openfaas
0.0817,200,linear-equations,openfaas
0.0834,200,linear-equations,openfaas
0.0483,200,linear-equations,openfaas
0.0702,200,linear-equations,openfaas
0.0726,200,linear-equations,openfaas
0.0728,200,linear-equations,openfaas
0.073,200,linear-equations,openfaas
0.06,200,linear-equations,openfaas
0.066,200,linear-equations,openfaas
0.0677,200,linear-equations,openfaas
0.0763,200,linear-equations,openfaas
0.0777,200,linear-equations,openfaas
0.052,200,linear-equations,openfaas
0.0541,200,linear-equations,openfaas
0.0936,200,linear-equations,openfaas
0.0937,200,linear-equations,openfaas
0.0948,200,linear-equations,openfaas
0.0345,200,linear-equations,openfaas
0.0509,200,linear-equations,openfaas
0.0514,200,linear-equations,openfaas
0.058,200,linear-equations,openfaas
0.0597,200,linear-equations,openfaas
0.0365,200,linear-equations,openfaas
0.0548,200,linear-equations,openfaas
0.1005,200,linear-equations,openfaas
0.1018,200,linear-equations,openfaas
0.1021,200,linear-equations,openfaas
0.0368,200,linear-equations,openfaas
0.059,200,linear-equations,openfaas
0.0604,200,linear-equations,openfaas
0.0675,200,linear-equations,openfaas
0.0694,200,linear-equations,openfaas
0.0362,200,linear-equations,openfaas
0.0544,200,linear-equations,openfaas
0.0555,200,linear-equations,openfaas
0.0635,200,linear-equations,openfaas
0.0658,200,linear-equations,openfaas
0.0402,200,linear-equations,openfaas
0.0635,200,linear-equations,openfaas
0.0639,200,linear-equations,openfaas
0.0704,200,linear-equations,openfaas
0.0722,200,linear-equations,openfaas
0.0655,200,linear-equations,openfaas
0.0698,200,linear-equations,openfaas
0.072,200,linear-equations,openfaas
