response-time,status-code,test_name,batch
0.0491,200,matmul,openfaas
0.0495,200,matmul,openfaas
0.0529,200,matmul,openfaas
0.0805,200,matmul,openfaas
0.0818,200,matmul,openfaas
0.0492,200,matmul,openfaas
0.0522,200,matmul,openfaas
0.0525,200,matmul,openfaas
0.0716,200,matmul,openfaas
0.072,200,matmul,openfaas
0.0468,200,matmul,openfaas
0.047,200,matmul,openfaas
0.0474,200,matmul,openfaas
0.0668,200,matmul,openfaas
0.0681,200,matmul,openfaas
0.0295,200,matmul,openfaas
0.0431,200,matmul,openfaas
0.0447,200,matmul,openfaas
0.0479,200,matmul,openfaas
0.0492,200,matmul,openfaas
0.04,200,matmul,openfaas
0.0548,200,matmul,openfaas
0.056,200,matmul,openfaas
0.0626,200,matmul,openfaas
0.0637,200,matmul,openfaas
0.0444,200,matmul,openfaas
0.0446,200,matmul,openfaas
0.0476,200,matmul,openfaas
0.0653,200,matmul,openfaas
0.0662,200,matmul,openfaas
0.0445,200,matmul,openfaas
0.0655,200,matmul,openfaas
0.069,200,matmul,openfaas
0.0726,200,matmul,openfaas
0.0743,200,matmul,openfaas
0.0454,200,matmul,openfaas
0.0667,200,matmul,openfaas
0.0688,200,matmul,openfaas
0.0741,200,matmul,openfaas
0.076,200,matmul,openfaas
0.0392,200,matmul,openfaas
0.0414,200,matmul,openfaas
0.0585,200,matmul,openfaas
0.079,200,matmul,openfaas
0.0803,200,matmul,openfaas
0.0493,200,matmul,openfaas
0.0516,200,matmul,openfaas
0.0571,200,matmul,openfaas
0.0793,200,matmul,openfaas
0.084,200,matmul,openfaas
0.0505,200,matmul,openfaas
0.059,200,matmul,openfaas
0.0644,200,matmul,openfaas
0.0715,200,matmul,openfaas
0.073,200,matmul,openfaas
0.0744,200,matmul,openfaas
0.0783,200,matmul,openfaas
0.0798,200,matmul,openfaas
0.0978,200,matmul,openfaas
0.0989,200,matmul,openfaas
0.0459,200,matmul,openfaas
0.0479,200,matmul,openfaas
0.0486,200,matmul,openfaas
0.0607,200,matmul,openfaas
0.0621,200,matmul,openfaas
0.043,200,matmul,openfaas
0.0456,200,matmul,openfaas
0.0948,200,matmul,openfaas
0.0952,200,matmul,openfaas
0.0966,200,matmul,openfaas
0.0391,200,matmul,openfaas
0.0405,200,matmul,openfaas
0.0414,200,matmul,openfaas
0.0582,200,matmul,openfaas
0.0598,200,matmul,openfaas
0.0506,200,matmul,openfaas
0.0518,200,matmul,openfaas
0.0521,200,matmul,openfaas
0.0724,200,matmul,openfaas
0.0742,200,matmul,openfaas
0.0667,200,matmul,openfaas
0.0777,200,matmul,openfaas
0.0794,200,matmul,openfaas
0.0954,200,matmul,openfaas
0.0968,200,matmul,openfaas
0.037,200,matmul,openfaas
0.0527,200,matmul,openfaas
0.056,200,matmul,openfaas
0.0595,200,matmul,openfaas
0.0622,200,matmul,openfaas
0.0431,200,matmul,openfaas
0.0635,200,matmul,openfaas
0.0667,200,matmul,openfaas
0.0716,200,matmul,openfaas
0.073,200,matmul,openfaas
0.0554,200,matmul,openfaas
0.0587,200,matmul,openfaas
0.0653,200,matmul,openfaas
0.091,200,matmul,openfaas
0.0917,200,matmul,openfaas
0.0599,200,matmul,openfaas
0.0599,200,matmul,openfaas
0.0737,200,matmul,openfaas
0.0972,200,matmul,openfaas
0.0983,200,matmul,openfaas
0.0498,200,matmul,openfaas
0.0508,200,matmul,openfaas
0.0534,200,matmul,openfaas
0.0789,200,matmul,openfaas
0.0801,200,matmul,openfaas
0.0488,200,matmul,openfaas
0.0866,200,matmul,openfaas
0.0876,200,matmul,openfaas
0.0898,200,matmul,openfaas
0.091,200,matmul,openfaas
0.0617,200,matmul,openfaas
0.0671,200,matmul,openfaas
0.0729,200,matmul,openfaas
0.0917,200,matmul,openfaas
0.0929,200,matmul,openfaas
0.0512,200,matmul,openfaas
0.0524,200,matmul,openfaas
0.0532,200,matmul,openfaas
0.072,200,matmul,openfaas
0.0734,200,matmul,openfaas
0.0408,200,matmul,openfaas
0.0413,200,matmul,openfaas
0.0639,200,matmul,openfaas
0.0902,200,matmul,openfaas
0.0906,200,matmul,openfaas
0.0485,200,matmul,openfaas
0.0791,200,matmul,openfaas
0.0813,200,matmul,openfaas
0.0826,200,matmul,openfaas
0.0841,200,matmul,openfaas
0.0478,200,matmul,openfaas
0.0783,200,matmul,openfaas
0.0798,200,matmul,openfaas
0.0817,200,matmul,openfaas
0.0817,200,matmul,openfaas
0.0491,200,matmul,openfaas
0.1292,200,matmul,openfaas
0.1334,200,matmul,openfaas
0.1339,200,matmul,openfaas
0.1348,200,matmul,openfaas
0.0679,200,matmul,openfaas
0.0781,200,matmul,openfaas
0.0807,200,matmul,openfaas
0.0928,200,matmul,openfaas
0.0963,200,matmul,openfaas
0.0742,200,matmul,openfaas
0.0799,200,matmul,openfaas
0.0817,200,matmul,openfaas
0.0969,200,matmul,openfaas
0.0984,200,matmul,openfaas
0.0441,200,matmul,openfaas
0.0472,200,matmul,openfaas
0.0539,200,matmul,openfaas
0.0706,200,matmul,openfaas
0.0723,200,matmul,openfaas
0.0496,200,matmul,openfaas
0.0512,200,matmul,openfaas
0.0529,200,matmul,openfaas
0.0785,200,matmul,openfaas
0.0813,200,matmul,openfaas
0.0461,200,matmul,openfaas
0.047,200,matmul,openfaas
0.0494,200,matmul,openfaas
0.0724,200,matmul,openfaas
0.0744,200,matmul,openfaas
0.0493,200,matmul,openfaas
0.0504,200,matmul,openfaas
0.0687,200,matmul,openfaas
0.0941,200,matmul,openfaas
0.0966,200,matmul,openfaas
0.0467,200,matmul,openfaas
0.0555,200,matmul,openfaas
0.0586,200,matmul,openfaas
0.0739,200,matmul,openfaas
0.0756,200,matmul,openfaas
0.0453,200,matmul,openfaas
0.0645,200,matmul,openfaas
0.0656,200,matmul,openfaas
0.0707,200,matmul,openfaas
0.0728,200,matmul,openfaas
0.0442,200,matmul,openfaas
0.0652,200,matmul,openfaas
0.0669,200,matmul,openfaas
0.0714,200,matmul,openfaas
0.0743,200,matmul,openfaas
0.0482,200,matmul,openfaas
0.07,200,matmul,openfaas
0.0726,200,matmul,openfaas
0.0742,200,matmul,openfaas
0.0752,200,matmul,openfaas
0.0539,200,matmul,openfaas
0.0728,200,matmul,openfaas
0.0756,200,matmul,openfaas
0.081,200,matmul,openfaas
