response-time,status-code,test_name,batch
0.0475,200,n-body,openfaas
0.0573,200,n-body,openfaas
0.0574,200,n-body,openfaas
0.0607,200,n-body,openfaas
0.0704,200,n-body,openfaas
0.0467,200,n-body,openfaas
0.0753,200,n-body,openfaas
0.0755,200,n-body,openfaas
0.0779,200,n-body,openfaas
0.0791,200,n-body,openfaas
0.0391,200,n-body,openfaas
0.0612,200,n-body,openfaas
0.0634,200,n-body,openfaas
0.0639,200,n-body,openfaas
0.0641,200,n-body,openfaas
0.0797,200,n-body,openfaas
0.0796,200,n-body,openfaas
0.0797,200,n-body,openfaas
0.0818,200,n-body,openfaas
0.0834,200,n-body,openfaas
0.0406,200,n-body,openfaas
0.041,200,n-body,openfaas
0.0616,200,n-body,openfaas
0.062,200,n-body,openfaas
0.0638,200,n-body,openfaas
0.0389,200,n-body,openfaas
0.0405,200,n-body,openfaas
0.0587,200,n-body,openfaas
0.0807,200,n-body,openfaas
0.0825,200,n-body,openfaas
0.0358,200,n-body,openfaas
0.0663,200,n-body,openfaas
0.0667,200,n-body,openfaas
0.0686,200,n-body,openfaas
0.0698,200,n-body,openfaas
0.0404,200,n-body,openfaas
0.041,200,n-body,openfaas
0.0412,200,n-body,openfaas
0.0603,200,n-body,openfaas
0.0605,200,n-body,openfaas
0.0537,200,n-body,openfaas
0.0637,200,n-body,openfaas
0.0658,200,n-body,openfaas
0.0739,200,n-body,openfaas
0.076,200,n-body,openfaas
0.0372,200,n-body,openfaas
0.0382,200,n-body,openfaas
0.0573,200,n-body,openfaas
0.0815,200,n-body,openfaas
0.0836,200,n-body,openfaas
0.0401,200,n-body,openfaas
0.0414,200,n-body,openfaas
0.0562,200,n-body,openfaas
0.0596,200,n-body,openfaas
0.0614,200,n-body,openfaas
0.0465,200,n-body,openfaas
0.0688,200,n-body,openfaas
0.0708,200,n-body,openfaas
0.0751,200,n-body,openfaas
0.0766,200,n-body,openfaas
0.0605,200,n-body,openfaas
0.0754,200,n-body,openfaas
0.0772,200,n-body,openfaas
0.087,200,n-body,openfaas
0.0886,200,n-body,openfaas
0.0498,200,n-body,openfaas
0.0654,200,n-body,openfaas
0.0671,200,n-body,openfaas
0.0772,200,n-body,openfaas
0.0794,200,n-body,openfaas
0.0419,200,n-body,openfaas
0.0702,200,n-body,openfaas
0.0708,200,n-body,openfaas
0.0719,200,n-body,openfaas
0.0732,200,n-body,openfaas
0.0456,200,n-body,openfaas
0.0476,200,n-body,openfaas
0.099,200,n-body,openfaas
0.0993,200,n-body,openfaas
0.1009,200,n-body,openfaas
0.0403,200,n-body,openfaas
0.0415,200,n-body,openfaas
0.0426,200,n-body,openfaas
0.0689,200,n-body,openfaas
0.0703,200,n-body,openfaas
0.0394,200,n-body,openfaas
0.041,200,n-body,openfaas
0.0411,200,n-body,openfaas
